,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year,Sprint
0,2675,1B,2B,Stolen Base 2B,588751,Adeiny Hechavarría,621345,A.J. Minter,624424,Michael Conforto,L,Tyler Flowers,452095,4,5,8,False,2019-06-30,Stolen,2B,2019,2020,26.6
1,3039,1B,2B,Stolen Base 2B,588751,Adeiny Hechavarría,656546,Jeff Hoffman,460576,Carlos Gómez,R,Chris Iannetta,455104,4,0,4,False,2019-06-09,Stolen,2B,2019,2020,26.6
2,3214,1B,,Caught Stealing 2B,588751,Adeiny Hechavarría,520980,Pedro Báez,592789,Noah Syndergaard,R,Russell Martin,431145,3,6,6,True,2019-05-29,Caught,2B,2019,2020,26.6
3,3633,1B,2B,Stolen Base 2B,588751,Adeiny Hechavarría,592865,Taylor Williams,643446,Jeff McNeil,R,Yasmani Grandal,518735,2,3,18,True,2019-05-04,Stolen,2B,2019,2020,26.6
4,5518,1B,2B,Stolen Base 2B,588751,Adeiny Hechavarría,621345,A.J. Minter,624424,Michael Conforto,L,Tyler Flowers,452095,4,5,8,False,2019-06-30,Stolen,2B,2019,2020,26.6
5,5882,1B,2B,Stolen Base 2B,588751,Adeiny Hechavarría,656546,Jeff Hoffman,460576,Carlos Gómez,R,Chris Iannetta,455104,4,0,4,False,2019-06-09,Stolen,2B,2019,2020,26.6
6,6057,1B,,Caught Stealing 2B,588751,Adeiny Hechavarría,520980,Pedro Báez,592789,Noah Syndergaard,R,Russell Martin,431145,3,6,6,True,2019-05-29,Caught,2B,2019,2020,26.6
7,6476,1B,2B,Stolen Base 2B,588751,Adeiny Hechavarría,592865,Taylor Williams,643446,Jeff McNeil,R,Yasmani Grandal,518735,2,3,18,True,2019-05-04,Stolen,2B,2019,2020,26.6
8,7442,1B,2B,Stolen Base 2B,588751,Adeiny Hechavarría,621345,A.J. Minter,624424,Michael Conforto,L,Tyler Flowers,452095,4,5,8,False,2019-06-30,Stolen,2B,2019,2020,26.6
9,7806,1B,2B,Stolen Base 2B,588751,Adeiny Hechavarría,656546,Jeff Hoffman,460576,Carlos Gómez,R,Chris Iannetta,455104,4,0,4,False,2019-06-09,Stolen,2B,2019,2020,26.6
10,7981,1B,,Caught Stealing 2B,588751,Adeiny Hechavarría,520980,Pedro Báez,592789,Noah Syndergaard,R,Russell Martin,431145,3,6,6,True,2019-05-29,Caught,2B,2019,2020,26.6
