,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year,Sprint
0,534,1B,2B,Stolen Base 2B,543063,Brandon Crawford,592351,Jon Gray,663698,Joey Bart,R,Elias Díaz,553869,0,7,3,True,2020-09-01,Stolen,2B,2020,2021,25.8
1,817,1B,,Caught Stealing 2B,543063,Brandon Crawford,570240,Félix Peña,643289,Mauricio Dubón,R,Max Stassi,545358,5,6,8,True,2020-08-17,Caught,2B,2020,2021,25.8
2,3377,1B,2B,Stolen Base 2B,543063,Brandon Crawford,592351,Jon Gray,663698,Joey Bart,R,Elias Díaz,553869,0,7,3,True,2020-09-01,Stolen,2B,2020,2021,25.8
3,3660,1B,,Caught Stealing 2B,543063,Brandon Crawford,570240,Félix Peña,643289,Mauricio Dubón,R,Max Stassi,545358,5,6,8,True,2020-08-17,Caught,2B,2020,2021,25.8
4,5301,1B,2B,Stolen Base 2B,543063,Brandon Crawford,592351,Jon Gray,663698,Joey Bart,R,Elias Díaz,553869,0,7,3,True,2020-09-01,Stolen,2B,2020,2021,25.8
5,5584,1B,,Caught Stealing 2B,543063,Brandon Crawford,570240,Félix Peña,643289,Mauricio Dubón,R,Max Stassi,545358,5,6,8,True,2020-08-17,Caught,2B,2020,2021,25.8
6,2052,1B,2B,Stolen Base 2B,543063,Brandon Crawford,601713,Nick Pivetta,519293,Will Smith,R,J.T. Realmuto,592663,9,6,8,False,2019-08-11,Stolen,2B,2019,2020,25.7
7,2511,2B,,Caught Stealing 3B,543063,Brandon Crawford,592222,Alex Claudio,573262,Mike Yastrzemski,L,Yasmani Grandal,518735,1,2,6,True,2019-07-14,Caught,3B,2019,2020,25.7
8,3029,1B,2B,Stolen Base 2B,543063,Brandon Crawford,621111,Walker Buehler,621453,Steven Duggar,R,Austin Barnes,605131,0,1,2,False,2019-06-09,Stolen,2B,2019,2020,25.7
9,3744,1B,2B,Stolen Base 2B,543063,Brandon Crawford,572020,James Paxton,621453,Steven Duggar,L,Austin Romine,519222,1,4,5,False,2019-04-26,Stolen,2B,2019,2020,25.7
10,3829,1B,,Caught Stealing 2B,543063,Brandon Crawford,593144,Richard Rodríguez,607680,Kevin Pillar,R,Francisco Cervelli,465041,2,3,6,True,2019-04-21,Caught,2B,2019,2020,25.7
11,4895,1B,2B,Stolen Base 2B,543063,Brandon Crawford,601713,Nick Pivetta,519293,Will Smith,R,J.T. Realmuto,592663,9,6,8,False,2019-08-11,Stolen,2B,2019,2020,25.7
12,5354,2B,,Caught Stealing 3B,543063,Brandon Crawford,592222,Alex Claudio,573262,Mike Yastrzemski,L,Yasmani Grandal,518735,1,2,6,True,2019-07-14,Caught,3B,2019,2020,25.7
13,5872,1B,2B,Stolen Base 2B,543063,Brandon Crawford,621111,Walker Buehler,621453,Steven Duggar,R,Austin Barnes,605131,0,1,2,False,2019-06-09,Stolen,2B,2019,2020,25.7
14,6587,1B,2B,Stolen Base 2B,543063,Brandon Crawford,572020,James Paxton,621453,Steven Duggar,L,Austin Romine,519222,1,4,5,False,2019-04-26,Stolen,2B,2019,2020,25.7
15,6672,1B,,Caught Stealing 2B,543063,Brandon Crawford,593144,Richard Rodríguez,607680,Kevin Pillar,R,Francisco Cervelli,465041,2,3,6,True,2019-04-21,Caught,2B,2019,2020,25.7
16,6819,1B,2B,Stolen Base 2B,543063,Brandon Crawford,601713,Nick Pivetta,519293,Will Smith,R,J.T. Realmuto,592663,9,6,8,False,2019-08-11,Stolen,2B,2019,2020,25.7
17,7278,2B,,Caught Stealing 3B,543063,Brandon Crawford,592222,Alex Claudio,573262,Mike Yastrzemski,L,Yasmani Grandal,518735,1,2,6,True,2019-07-14,Caught,3B,2019,2020,25.7
18,7796,1B,2B,Stolen Base 2B,543063,Brandon Crawford,621111,Walker Buehler,621453,Steven Duggar,R,Austin Barnes,605131,0,1,2,False,2019-06-09,Stolen,2B,2019,2020,25.7
19,8511,1B,2B,Stolen Base 2B,543063,Brandon Crawford,572020,James Paxton,621453,Steven Duggar,L,Austin Romine,519222,1,4,5,False,2019-04-26,Stolen,2B,2019,2020,25.7
20,8596,1B,,Caught Stealing 2B,543063,Brandon Crawford,593144,Richard Rodríguez,607680,Kevin Pillar,R,Francisco Cervelli,465041,2,3,6,True,2019-04-21,Caught,2B,2019,2020,25.7
21,48,1B,2B,Stolen Base 2B,543063,Brandon Crawford,461325,Tyler Clippard,592178,Kris Bryant,R,Carson Kelly,608348,6,4,8,False,2021-09-28,Stolen,2B,2021,2022,25.5
22,383,1B,,Caught Stealing 2B,543063,Brandon Crawford,677865,Justin Bruihl,573262,Mike Yastrzemski,L,Will Smith,669257,6,2,5,False,2021-09-05,Caught,2B,2021,2022,25.5
23,568,2B,,Caught Stealing 3B,543063,Brandon Crawford,571901,Aaron Loup,592200,Curt Casali,L,Patrick Mazeika,664850,2,3,7,True,2021-08-25,Caught,3B,2021,2022,25.5
24,619,2B,3B,Stolen Base 3B,543063,Brandon Crawford,489265,Sergio Romo,527038,Wilmer Flores,R,Sean Murphy,669221,1,2,9,True,2021-08-22,Stolen,3B,2021,2022,25.5
25,639,2B,,Caught Stealing 3B,543063,Brandon Crawford,518617,Jake Diekman,596103,Austin Slater,L,Sean Murphy,669221,5,4,8,True,2021-08-21,Caught,3B,2021,2022,25.5
26,892,1B,2B,Stolen Base 2B,543063,Brandon Crawford,607188,Jake Faria,456781,Donovan Solano,R,Bryan Holaday,592407,1,7,7,True,2021-08-04,Stolen,2B,2021,2022,25.5
27,971,1B,2B,Stolen Base 2B,543063,Brandon Crawford,664299,Cristian Javier,456781,Donovan Solano,R,Martín Maldonado,455117,7,6,6,False,2021-07-31,Stolen,2B,2021,2022,25.5
28,1287,1B,2B,Stolen Base 2B,543063,Brandon Crawford,453192,Andrew Miller,621453,Steven Duggar,L,Andrew Knizner,668800,3,1,7,False,2021-07-07,Stolen,2B,2021,2022,25.5
29,1374,1B,2B,Stolen Base 2B,543063,Brandon Crawford,656266,J.B. Bukauskas,527038,Wilmer Flores,R,Stephen Vogt,519390,4,7,9,True,2021-07-02,Stolen,2B,2021,2022,25.5
30,1623,1B,2B,Stolen Base 2B,543063,Brandon Crawford,641401,Connor Brogdon,621453,Steven Duggar,R,Andrew Knapp,595284,5,3,8,False,2021-06-18,Stolen,2B,2021,2022,25.5
31,1735,2B,3B,Stolen Base 3B,543063,Brandon Crawford,641851,Kyle McGowin,643565,Mike Tauchman,R,Yan Gomes,543228,0,1,4,True,2021-06-11,Stolen,3B,2021,2022,25.5
32,2305,2B,3B,Stolen Base 3B,543063,Brandon Crawford,453268,Daniel Bard,573131,Darin Ruf,R,Dom Nuñez,624513,6,5,9,True,2021-05-05,Stolen,3B,2021,2022,25.5
33,2588,1B,2B,Stolen Base 2B,543063,Brandon Crawford,641154,Pablo López,622072,Alex Wood,R,Chad Wallach,595453,0,0,2,True,2021-04-18,Stolen,2B,2021,2022,25.5
34,2821,2B,3B,Stolen Base 3B,543063,Brandon Crawford,608716,Drew Steckenrider,456781,Donovan Solano,R,Luis Torrens,620443,3,5,7,True,2021-04-02,Stolen,3B,2021,2022,25.5
35,1972,1B,2B,Stolen Base 2B,543063,Brandon Crawford,461325,Tyler Clippard,592178,Kris Bryant,R,Carson Kelly,608348,6,4,8,False,2021-09-28,Stolen,2B,2021,2022,25.5
36,2307,1B,,Caught Stealing 2B,543063,Brandon Crawford,677865,Justin Bruihl,573262,Mike Yastrzemski,L,Will Smith,669257,6,2,5,False,2021-09-05,Caught,2B,2021,2022,25.5
37,2492,2B,,Caught Stealing 3B,543063,Brandon Crawford,571901,Aaron Loup,592200,Curt Casali,L,Patrick Mazeika,664850,2,3,7,True,2021-08-25,Caught,3B,2021,2022,25.5
38,2543,2B,3B,Stolen Base 3B,543063,Brandon Crawford,489265,Sergio Romo,527038,Wilmer Flores,R,Sean Murphy,669221,1,2,9,True,2021-08-22,Stolen,3B,2021,2022,25.5
39,2563,2B,,Caught Stealing 3B,543063,Brandon Crawford,518617,Jake Diekman,596103,Austin Slater,L,Sean Murphy,669221,5,4,8,True,2021-08-21,Caught,3B,2021,2022,25.5
40,2816,1B,2B,Stolen Base 2B,543063,Brandon Crawford,607188,Jake Faria,456781,Donovan Solano,R,Bryan Holaday,592407,1,7,7,True,2021-08-04,Stolen,2B,2021,2022,25.5
41,2895,1B,2B,Stolen Base 2B,543063,Brandon Crawford,664299,Cristian Javier,456781,Donovan Solano,R,Martín Maldonado,455117,7,6,6,False,2021-07-31,Stolen,2B,2021,2022,25.5
42,3211,1B,2B,Stolen Base 2B,543063,Brandon Crawford,453192,Andrew Miller,621453,Steven Duggar,L,Andrew Knizner,668800,3,1,7,False,2021-07-07,Stolen,2B,2021,2022,25.5
43,3298,1B,2B,Stolen Base 2B,543063,Brandon Crawford,656266,J.B. Bukauskas,527038,Wilmer Flores,R,Stephen Vogt,519390,4,7,9,True,2021-07-02,Stolen,2B,2021,2022,25.5
44,3547,1B,2B,Stolen Base 2B,543063,Brandon Crawford,641401,Connor Brogdon,621453,Steven Duggar,R,Andrew Knapp,595284,5,3,8,False,2021-06-18,Stolen,2B,2021,2022,25.5
45,3659,2B,3B,Stolen Base 3B,543063,Brandon Crawford,641851,Kyle McGowin,643565,Mike Tauchman,R,Yan Gomes,543228,0,1,4,True,2021-06-11,Stolen,3B,2021,2022,25.5
46,4229,2B,3B,Stolen Base 3B,543063,Brandon Crawford,453268,Daniel Bard,573131,Darin Ruf,R,Dom Nuñez,624513,6,5,9,True,2021-05-05,Stolen,3B,2021,2022,25.5
47,4512,1B,2B,Stolen Base 2B,543063,Brandon Crawford,641154,Pablo López,622072,Alex Wood,R,Chad Wallach,595453,0,0,2,True,2021-04-18,Stolen,2B,2021,2022,25.5
48,4745,2B,3B,Stolen Base 3B,543063,Brandon Crawford,608716,Drew Steckenrider,456781,Donovan Solano,R,Luis Torrens,620443,3,5,7,True,2021-04-02,Stolen,3B,2021,2022,25.5
49,3627,1B,2B,Stolen Base 2B,543063,Brandon Crawford,571945,Miles Mikolas,664774,LaMonte Wade Jr.,R,Andrew Knizner,668800,0,0,5,False,2023-04-27,Stolen,2B,2023,2024,25.1
50,3719,1B,2B,Stolen Base 2B,543063,Brandon Crawford,622098,Drew Smith,527038,Wilmer Flores,R,Francisco Alvarez,682626,5,4,8,False,2023-04-23,Stolen,2B,2023,2024,25.1
51,4245,1B,2B,Stolen Base 2B,543063,Brandon Crawford,622772,Jimmy Cordero,669369,Bryce Johnson,R,Jose Trevino,624431,4,7,9,True,2023-04-01,Stolen,2B,2023,2024,25.1
52,8041,1B,2B,Stolen Base 2B,543063,Brandon Crawford,571945,Miles Mikolas,664774,LaMonte Wade Jr.,R,Andrew Knizner,668800,0,0,5,False,2023-04-27,Stolen,2B,2023,2024,25.1
53,8133,1B,2B,Stolen Base 2B,543063,Brandon Crawford,622098,Drew Smith,527038,Wilmer Flores,R,Francisco Alvarez,682626,5,4,8,False,2023-04-23,Stolen,2B,2023,2024,25.1
54,8659,1B,2B,Stolen Base 2B,543063,Brandon Crawford,622772,Jimmy Cordero,669369,Bryce Johnson,R,Jose Trevino,624431,4,7,9,True,2023-04-01,Stolen,2B,2023,2024,25.1
55,1432,1B,2B,Stolen Base 2B,543063,Brandon Crawford,640448,Kyle Finnegan,642731,Thairo Estrada,R,Riley Adams,656180,8,3,6,False,2022-04-30,Stolen,2B,2022,2023,25.8
56,1913,1B,,Caught Stealing 2B,543063,Brandon Crawford,663465,Kolby Allard,573131,Darin Ruf,L,Jose Trevino,624431,4,1,2,False,2022-04-01,Caught,2B,2022,2023,25.8
57,650,2B,,Caught Stealing 3B,543063,Brandon Crawford,571473,Buddy Baumann,605509,Kelby Tomlinson,L,Austin Hedges,595978,2,1,8,False,2017-09-30,Caught,3B,2017,2018,25.8
58,1047,1B,2B,Stolen Base Home,543063,Brandon Crawford,608337,Lucas Giolito,452254,Hunter Pence,R,Kevan Smith,607345,2,4,6,True,2017-09-08,Stolen,Home,2017,2018,25.8
59,1160,1B,,Caught Stealing 2B,543063,Brandon Crawford,458681,Lance Lynn,467055,Pablo Sandoval,R,Yadier Molina,425877,0,1,7,False,2017-09-02,Caught,2B,2017,2018,25.8
60,1304,2B,,Caught Stealing 3B,543063,Brandon Crawford,425844,Zack Greinke,460026,Nick Hundley,R,Chris Iannetta,455104,0,1,2,True,2017-08-25,Caught,3B,2017,2018,25.8
61,1629,1B,2B,Stolen Base 2B,543063,Brandon Crawford,458677,Justin Wilson,605509,Kelby Tomlinson,L,Willson Contreras,575929,6,3,8,False,2017-08-08,Stolen,2B,2017,2018,25.8
62,2656,1B,2B,Stolen Base 2B,543063,Brandon Crawford,592872,Alex Wimmers,452655,Denard Span,R,Jason Castro,488771,8,5,7,False,2017-06-11,Stolen,2B,2017,2018,25.8
63,2999,1B,2B,Stolen Base 2B,543063,Brandon Crawford,572750,Eddie Butler,607776,Mac Williamson,R,Miguel Montero,471083,1,1,4,True,2017-05-25,Stolen,2B,2017,2018,25.8
64,3102,1B,,Caught Stealing 2B,543063,Brandon Crawford,608379,Michael Wacha,456488,Eduardo Núñez,R,Yadier Molina,425877,1,0,6,True,2017-05-19,Caught,2B,2017,2018,25.8
65,22,2B,,Caught Stealing 3B,543063,Brandon Crawford,571473,Buddy Baumann,605509,Kelby Tomlinson,L,Austin Hedges,595978,2,1,8,False,2017-09-30,Caught,3B,2017,2018,25.8
66,419,1B,2B,Stolen Base Home,543063,Brandon Crawford,608337,Lucas Giolito,452254,Hunter Pence,R,Kevan Smith,607345,2,4,6,True,2017-09-08,Stolen,Home,2017,2018,25.8
67,532,1B,,Caught Stealing 2B,543063,Brandon Crawford,458681,Lance Lynn,467055,Pablo Sandoval,R,Yadier Molina,425877,0,1,7,False,2017-09-02,Caught,2B,2017,2018,25.8
68,676,2B,,Caught Stealing 3B,543063,Brandon Crawford,425844,Zack Greinke,460026,Nick Hundley,R,Chris Iannetta,455104,0,1,2,True,2017-08-25,Caught,3B,2017,2018,25.8
69,1001,1B,2B,Stolen Base 2B,543063,Brandon Crawford,458677,Justin Wilson,605509,Kelby Tomlinson,L,Willson Contreras,575929,6,3,8,False,2017-08-08,Stolen,2B,2017,2018,25.8
70,2028,1B,2B,Stolen Base 2B,543063,Brandon Crawford,592872,Alex Wimmers,452655,Denard Span,R,Jason Castro,488771,8,5,7,False,2017-06-11,Stolen,2B,2017,2018,25.8
71,2371,1B,2B,Stolen Base 2B,543063,Brandon Crawford,572750,Eddie Butler,607776,Mac Williamson,R,Miguel Montero,471083,1,1,4,True,2017-05-25,Stolen,2B,2017,2018,25.8
72,2474,1B,,Caught Stealing 2B,543063,Brandon Crawford,608379,Michael Wacha,456488,Eduardo Núñez,R,Yadier Molina,425877,1,0,6,True,2017-05-19,Caught,2B,2017,2018,25.8
73,4611,1B,2B,Stolen Base 2B,543063,Brandon Crawford,453562,Jake Arrieta,605412,Joe Panik,R,Willson Contreras,575929,1,2,6,True,2016-09-03,Stolen,2B,2016,2017,26.0
74,4612,2B,3B,Stolen Base 3B,543063,Brandon Crawford,453562,Jake Arrieta,474832,Brandon Belt,R,Willson Contreras,575929,1,3,6,True,2016-09-03,Stolen,3B,2016,2017,26.0
75,5087,1B,2B,Stolen Base 2B,543063,Brandon Crawford,607457,Kyle Barraclough,452254,Hunter Pence,R,J.T. Realmuto,592663,7,7,8,True,2016-08-08,Stolen,2B,2016,2017,26.0
76,6447,1B,2B,Stolen Base 2B,543063,Brandon Crawford,448306,James Shields,592620,Jarrett Parker,R,Derek Norris,519083,2,0,6,False,2016-05-25,Stolen,2B,2016,2017,26.0
77,6867,1B,2B,Stolen Base 2B,543063,Brandon Crawford,543424,John Lamb,453923,Grégor Blanco,L,Tucker Barnhart,571466,1,1,6,True,2016-05-03,Stolen,2B,2016,2017,26.0
78,6916,1B,2B,Stolen Base 2B,543063,Brandon Crawford,592789,Noah Syndergaard,518516,Madison Bumgarner,R,Kevin Plawecki,608700,0,0,3,True,2016-05-01,Stolen,2B,2016,2017,26.0
79,576,1B,2B,Stolen Base 2B,543063,Brandon Crawford,453562,Jake Arrieta,605412,Joe Panik,R,Willson Contreras,575929,1,2,6,True,2016-09-03,Stolen,2B,2016,2017,26.0
80,577,2B,3B,Stolen Base 3B,543063,Brandon Crawford,453562,Jake Arrieta,474832,Brandon Belt,R,Willson Contreras,575929,1,3,6,True,2016-09-03,Stolen,3B,2016,2017,26.0
81,1052,1B,2B,Stolen Base 2B,543063,Brandon Crawford,607457,Kyle Barraclough,452254,Hunter Pence,R,J.T. Realmuto,592663,7,7,8,True,2016-08-08,Stolen,2B,2016,2017,26.0
82,2412,1B,2B,Stolen Base 2B,543063,Brandon Crawford,448306,James Shields,592620,Jarrett Parker,R,Derek Norris,519083,2,0,6,False,2016-05-25,Stolen,2B,2016,2017,26.0
83,2832,1B,2B,Stolen Base 2B,543063,Brandon Crawford,543424,John Lamb,453923,Grégor Blanco,L,Tucker Barnhart,571466,1,1,6,True,2016-05-03,Stolen,2B,2016,2017,26.0
