,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year,Sprint
0,156,1B,2B,Stolen Base 2B,668930,Brice Turang,665795,Edward Cabrera,621438,Tyrone Taylor,R,Jacob Stallings,607732,4,1,5,True,2023-09-24,Stolen,2B,2023,2024,29.3
1,216,1B,2B,Stolen Base 2B,668930,Brice Turang,663773,Bryan Hoeing,663368,Blake Perkins,R,Nick Fortes,663743,0,10,2,True,2023-09-22,Stolen,2B,2023,2024,29.3
2,334,1B,2B,Stolen Base 2B,668930,Brice Turang,640448,Kyle Finnegan,642715,Willy Adames,R,Drew Millas,686452,1,1,9,False,2023-09-17,Stolen,2B,2023,2024,29.3
3,335,2B,3B,Stolen Base 3B,668930,Brice Turang,640448,Kyle Finnegan,655316,Andruw Monasterio,R,Drew Millas,686452,1,1,9,False,2023-09-17,Stolen,3B,2023,2024,29.3
4,410,1B,2B,Stolen Base 2B,668930,Brice Turang,595345,Steven Okert,621438,Tyrone Taylor,L,Jacob Stallings,607732,4,2,7,False,2023-09-14,Stolen,2B,2023,2024,29.3
5,559,2B,3B,Stolen Base 3B,668930,Brice Turang,640454,Matt Krook,686217,Sal Frelick,L,Austin Wells,669224,2,5,9,True,2023-09-09,Stolen,3B,2023,2024,29.3
6,576,1B,2B,Stolen Base 2B,668930,Brice Turang,666745,Jhony Brito,655316,Andruw Monasterio,R,Austin Wells,669224,2,2,5,True,2023-09-08,Stolen,2B,2023,2024,29.3
7,579,1B,2B,Stolen Base 2B,668930,Brice Turang,669711,Greg Weissert,655316,Andruw Monasterio,R,Austin Wells,669224,2,7,8,True,2023-09-08,Stolen,2B,2023,2024,29.3
8,730,1B,2B,Stolen Base 2B,668930,Brice Turang,605400,Aaron Nola,621438,Tyrone Taylor,R,J.T. Realmuto,592663,2,2,2,False,2023-09-02,Stolen,2B,2023,2024,29.3
9,988,1B,2B,Stolen Base 2B,668930,Brice Turang,571670,Dylan Floro,605119,Brian Anderson,R,Christian Vázquez,543877,7,3,6,False,2023-08-22,Stolen,2B,2023,2024,29.3
10,1024,1B,2B,Stolen Base 2B,668930,Brice Turang,519293,Will Smith,621438,Tyrone Taylor,L,Mitch Garver,641598,1,5,8,True,2023-08-20,Stolen,2B,2023,2024,29.3
11,1077,1B,2B,Stolen Base 2B,668930,Brice Turang,608717,Chris Stratton,621438,Tyrone Taylor,R,Jonah Heim,641680,3,3,6,True,2023-08-18,Stolen,2B,2023,2024,29.3
12,1312,1B,2B,Stolen Base 2B,668930,Brice Turang,663567,Peter Lambert,621438,Tyrone Taylor,R,Elias Díaz,553869,0,1,2,False,2023-08-07,Stolen,2B,2023,2024,29.3
13,1334,1B,2B,Stolen Base 2B,668930,Brice Turang,670912,Johan Oviedo,686894,Joey Wiemer,R,Endy Rodríguez,682848,0,1,3,False,2023-08-06,Stolen,2B,2023,2024,29.3
14,1465,1B,2B,Stolen Base 2B,668930,Brice Turang,680686,Josiah Gray,686894,Joey Wiemer,R,Keibert Ruiz,660688,3,5,4,True,2023-08-01,Stolen,2B,2023,2024,29.3
15,1764,1B,2B,Stolen Base 2B,668930,Brice Turang,605400,Aaron Nola,686894,Joey Wiemer,R,J.T. Realmuto,592663,3,2,5,True,2023-07-18,Stolen,2B,2023,2024,29.3
16,1802,1B,2B,Stolen Base 2B,668930,Brice Turang,622065,Alex Young,686894,Joey Wiemer,L,Luke Maile,571912,0,3,7,True,2023-07-15,Stolen,2B,2023,2024,29.3
17,2001,1B,,Caught Stealing 2B,668930,Brice Turang,543294,Kyle Hendricks,686894,Joey Wiemer,R,Miguel Amaya,665804,1,4,5,False,2023-07-04,Caught,2B,2023,2024,29.3
18,2671,1B,2B,Stolen Base 2B,668930,Brice Turang,666974,Yennier Cano,686894,Joey Wiemer,R,Adley Rutschman,668939,3,3,8,False,2023-06-06,Stolen,2B,2023,2024,29.3
19,2780,1B,2B,Stolen Base 2B,668930,Brice Turang,571656,Buck Farmer,680911,Owen Miller,R,Curt Casali,592200,3,3,7,True,2023-06-02,Stolen,2B,2023,2024,29.3
20,3084,1B,,Caught Stealing 2B,668930,Brice Turang,621107,Zach Eflin,621438,Tyrone Taylor,R,Christian Bethancourt,542194,4,1,3,True,2023-05-20,Caught,2B,2023,2024,29.3
21,3120,1B,2B,Stolen Base 2B,668930,Brice Turang,664126,Pete Fairbanks,642133,Rowdy Tellez,R,Francisco Mejía,642336,1,0,9,True,2023-05-19,Stolen,2B,2023,2024,29.3
22,3173,1B,,Caught Stealing 2B,668930,Brice Turang,663855,Jordan Hicks,686894,Joey Wiemer,R,Andrew Knizner,668800,2,3,6,True,2023-05-16,Caught,2B,2023,2024,29.3
23,3176,1B,2B,Stolen Base 2B,668930,Brice Turang,572403,Drew VerHagen,686894,Joey Wiemer,R,Andrew Knizner,668800,2,3,9,True,2023-05-16,Stolen,2B,2023,2024,29.3
