,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year,Sprint
0,13,1B,2B,Stolen Base 2B,621439,Byron Buxton,425844,Zack Greinke,596146,Max Kepler,R,Martín Maldonado,455117,0,0,1,False,2020-09-29,Stolen,2B,2020,2021,29.9
1,98,1B,2B,Stolen Base 2B,621439,Byron Buxton,663554,Casey Mize,596146,Max Kepler,R,Eric Haase,606992,2,0,3,False,2020-09-23,Stolen,2B,2020,2021,29.9
2,926,1B,2B,Stolen Base 2B,621439,Byron Buxton,458676,Josh Lindblom,596146,Max Kepler,R,Manny Piña,444489,1,2,2,True,2020-08-11,Stolen,2B,2020,2021,29.9
3,1095,1B,,Caught Stealing 2B,621439,Byron Buxton,471911,Carlos Carrasco,596146,Max Kepler,R,Sandy León,506702,3,0,5,False,2020-08-01,Caught,2B,2020,2021,29.9
4,2856,1B,2B,Stolen Base 2B,621439,Byron Buxton,425844,Zack Greinke,596146,Max Kepler,R,Martín Maldonado,455117,0,0,1,False,2020-09-29,Stolen,2B,2020,2021,29.9
5,2941,1B,2B,Stolen Base 2B,621439,Byron Buxton,663554,Casey Mize,596146,Max Kepler,R,Eric Haase,606992,2,0,3,False,2020-09-23,Stolen,2B,2020,2021,29.9
6,3769,1B,2B,Stolen Base 2B,621439,Byron Buxton,458676,Josh Lindblom,596146,Max Kepler,R,Manny Piña,444489,1,2,2,True,2020-08-11,Stolen,2B,2020,2021,29.9
7,3938,1B,,Caught Stealing 2B,621439,Byron Buxton,471911,Carlos Carrasco,596146,Max Kepler,R,Sandy León,506702,3,0,5,False,2020-08-01,Caught,2B,2020,2021,29.9
8,4780,1B,2B,Stolen Base 2B,621439,Byron Buxton,425844,Zack Greinke,596146,Max Kepler,R,Martín Maldonado,455117,0,0,1,False,2020-09-29,Stolen,2B,2020,2021,29.9
9,4865,1B,2B,Stolen Base 2B,621439,Byron Buxton,663554,Casey Mize,596146,Max Kepler,R,Eric Haase,606992,2,0,3,False,2020-09-23,Stolen,2B,2020,2021,29.9
10,5693,1B,2B,Stolen Base 2B,621439,Byron Buxton,458676,Josh Lindblom,596146,Max Kepler,R,Manny Piña,444489,1,2,2,True,2020-08-11,Stolen,2B,2020,2021,29.9
11,5862,1B,,Caught Stealing 2B,621439,Byron Buxton,471911,Carlos Carrasco,596146,Max Kepler,R,Sandy León,506702,3,0,5,False,2020-08-01,Caught,2B,2020,2021,29.9
12,2226,1B,2B,Stolen Base 2B,621439,Byron Buxton,657141,Jordan Yamamoto,501381,Michael Pineda,R,Bryan Holaday,592407,0,1,2,True,2019-08-01,Stolen,2B,2019,2020,29.9
13,2557,1B,2B,Stolen Base 2B,621439,Byron Buxton,595918,A.J. Cole,443558,Nelson Cruz,R,Roberto Pérez,547379,3,5,9,True,2019-07-12,Stolen,2B,2019,2020,29.9
14,2569,1B,2B,Stolen Base 2B,621439,Byron Buxton,642558,Ariel Jurado,596146,Max Kepler,R,Jeff Mathis,425772,1,1,4,False,2019-07-07,Stolen,2B,2019,2020,29.9
15,2621,1B,2B,Stolen Base 2B,621439,Byron Buxton,664196,Tanner Anderson,596146,Max Kepler,R,Chris Herrmann,543302,0,1,4,True,2019-07-04,Stolen,2B,2019,2020,29.9
16,3162,1B,2B,Stolen Base 2B,621439,Byron Buxton,642232,Ryan Yarbrough,641598,Mitch Garver,L,Mike Zunino,572287,0,3,5,True,2019-06-02,Stolen,2B,2019,2020,29.9
17,3278,1B,2B,Stolen Base 2B,621439,Byron Buxton,592229,Dylan Covey,596146,Max Kepler,R,Seby Zavala,664874,1,0,3,False,2019-05-26,Stolen,2B,2019,2020,29.9
18,3357,1B,,Caught Stealing 2B,621439,Byron Buxton,598287,Noé Ramirez,596146,Max Kepler,R,Kevan Smith,607345,3,8,8,True,2019-05-21,Caught,2B,2019,2020,29.9
19,3538,1B,2B,Stolen Base 2B,621439,Byron Buxton,475115,Tyson Ross,596146,Max Kepler,R,Grayson Greiner,606988,0,0,3,False,2019-05-10,Stolen,2B,2019,2020,29.9
20,3566,1B,,Caught Stealing 2B,621439,Byron Buxton,663423,Trent Thornton,596146,Max Kepler,R,Luke Maile,571912,0,1,2,True,2019-05-08,Caught,2B,2019,2020,29.9
21,3671,1B,2B,Stolen Base 2B,621439,Byron Buxton,543521,Collin McHugh,596146,Max Kepler,R,Max Stassi,545358,2,0,3,False,2019-05-01,Stolen,2B,2019,2020,29.9
22,3743,1B,2B,Stolen Base 2B,621439,Byron Buxton,642231,Jimmy Yacabonis,570731,Jonathan Schoop,R,Pedro Severino,600474,6,2,8,False,2019-04-27,Stolen,2B,2019,2020,29.9
23,3792,1B,2B,Stolen Base 2B,621439,Byron Buxton,444468,Héctor Rondón,641598,Mitch Garver,R,Max Stassi,545358,4,4,7,True,2019-04-23,Stolen,2B,2019,2020,29.9
24,3814,1B,,Caught Stealing 2B,621439,Byron Buxton,606965,Chris Devenski,596146,Max Kepler,R,Robinson Chirinos,455139,5,7,8,True,2019-04-22,Caught,2B,2019,2020,29.9
25,3896,1B,2B,Stolen Base 2B,621439,Byron Buxton,453329,Clay Buchholz,596146,Max Kepler,R,Danny Jansen,643376,3,1,2,False,2019-04-18,Stolen,2B,2019,2020,29.9
26,4062,1B,2B,Stolen Base 2B,621439,Byron Buxton,594798,Jacob deGrom,502043,Kyle Gibson,R,Travis d'Arnaud,518595,0,1,2,True,2019-04-09,Stolen,2B,2019,2020,29.9
27,4123,1B,2B,Stolen Base 2B,621439,Byron Buxton,453562,Jake Arrieta,501381,Michael Pineda,R,Andrew Knapp,595284,0,0,3,True,2019-04-06,Stolen,2B,2019,2020,29.9
28,4167,1B,2B,Stolen Base 2B,621439,Byron Buxton,503449,Wily Peralta,592696,Eddie Rosario,R,Cam Gallagher,595956,6,7,9,True,2019-04-03,Stolen,2B,2019,2020,29.9
