,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year,Sprint
0,221,1B,2B,Stolen Base 2B,624415,Cavan Biggio,621107,Zach Eflin,666182,Bo Bichette,R,Andrew Knapp,595284,0,1,3,False,2020-09-18,Stolen,2B,2020,2021,28.3
1,423,2B,3B,Stolen Base 3B,624415,Cavan Biggio,656756,Jordan Montgomery,642133,Rowdy Tellez,L,Kyle Higashioka,543309,1,2,1,False,2020-09-07,Stolen,3B,2020,2021,28.3
2,740,1B,2B,Stolen Base 2B,624415,Cavan Biggio,664126,Pete Fairbanks,545341,Randal Grichuk,R,Mike Zunino,572287,1,1,7,True,2020-08-22,Stolen,2B,2020,2021,28.3
3,909,2B,3B,Stolen Base 3B,624415,Cavan Biggio,572383,Brian Moran,543768,Travis Shaw,L,Ryan Lavarnway,543432,8,11,6,False,2020-08-12,Stolen,3B,2020,2021,28.3
4,933,1B,2B,Stolen Base 2B,624415,Cavan Biggio,596101,Justin Shafer,666182,Bo Bichette,R,Francisco Cervelli,465041,4,1,7,False,2020-08-11,Stolen,2B,2020,2021,28.3
5,1063,1B,2B,Stolen Base 2B,624415,Cavan Biggio,621107,Zach Eflin,666182,Bo Bichette,R,Andrew Knapp,595284,0,1,3,False,2020-08-02,Stolen,2B,2020,2021,28.3
6,1172,1B,2B,Stolen Base 2B,624415,Cavan Biggio,501789,Will Harris,665489,Vladimir Guerrero Jr.,R,Yan Gomes,543228,1,3,8,True,2020-07-28,Stolen,2B,2020,2021,28.3
7,3064,1B,2B,Stolen Base 2B,624415,Cavan Biggio,621107,Zach Eflin,666182,Bo Bichette,R,Andrew Knapp,595284,0,1,3,False,2020-09-18,Stolen,2B,2020,2021,28.3
8,3266,2B,3B,Stolen Base 3B,624415,Cavan Biggio,656756,Jordan Montgomery,642133,Rowdy Tellez,L,Kyle Higashioka,543309,1,2,1,False,2020-09-07,Stolen,3B,2020,2021,28.3
9,3583,1B,2B,Stolen Base 2B,624415,Cavan Biggio,664126,Pete Fairbanks,545341,Randal Grichuk,R,Mike Zunino,572287,1,1,7,True,2020-08-22,Stolen,2B,2020,2021,28.3
10,3752,2B,3B,Stolen Base 3B,624415,Cavan Biggio,572383,Brian Moran,543768,Travis Shaw,L,Ryan Lavarnway,543432,8,11,6,False,2020-08-12,Stolen,3B,2020,2021,28.3
11,3776,1B,2B,Stolen Base 2B,624415,Cavan Biggio,596101,Justin Shafer,666182,Bo Bichette,R,Francisco Cervelli,465041,4,1,7,False,2020-08-11,Stolen,2B,2020,2021,28.3
12,3906,1B,2B,Stolen Base 2B,624415,Cavan Biggio,621107,Zach Eflin,666182,Bo Bichette,R,Andrew Knapp,595284,0,1,3,False,2020-08-02,Stolen,2B,2020,2021,28.3
13,4015,1B,2B,Stolen Base 2B,624415,Cavan Biggio,501789,Will Harris,665489,Vladimir Guerrero Jr.,R,Yan Gomes,543228,1,3,8,True,2020-07-28,Stolen,2B,2020,2021,28.3
14,4988,1B,2B,Stolen Base 2B,624415,Cavan Biggio,621107,Zach Eflin,666182,Bo Bichette,R,Andrew Knapp,595284,0,1,3,False,2020-09-18,Stolen,2B,2020,2021,28.3
