,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year,Sprint
0,387,1B,2B,Stolen Base 2B,621020,Dansby Swanson,657141,Jordan Yamamoto,663586,Austin Riley,R,Chad Wallach,595453,8,2,2,False,2020-09-09,Stolen,2B,2020,2021,28.3
1,615,2B,3B,Stolen Base 3B,621020,Dansby Swanson,592390,Heath Hembree,518595,Travis d'Arnaud,R,J.T. Realmuto,592663,4,4,10,True,2020-08-28,Stolen,3B,2020,2021,28.3
2,1093,1B,2B,Stolen Base 2B,621020,Dansby Swanson,642584,Franklyn Kilome,622666,Johan Camargo,R,Wilson Ramos,467092,5,1,5,False,2020-08-01,Stolen,2B,2020,2021,28.3
3,1118,1B,2B,Stolen Base 2B,621020,Dansby Swanson,476454,Dellin Betances,518692,Freddie Freeman,R,Wilson Ramos,467092,8,10,8,False,2020-07-31,Stolen,2B,2020,2021,28.3
4,1146,1B,2B,Stolen Base 2B,621020,Dansby Swanson,621237,José Alvarado,542255,Ender Inciarte,L,Mike Zunino,572287,7,4,7,False,2020-07-29,Stolen,2B,2020,2021,28.3
5,1242,1B,,Caught Stealing 2B,621020,Dansby Swanson,445213,Brandon Kintzler,452095,Tyler Flowers,R,Jorge Alfaro,595751,0,6,5,False,2020-07-21,Caught,2B,2020,2021,28.3
6,3230,1B,2B,Stolen Base 2B,621020,Dansby Swanson,657141,Jordan Yamamoto,663586,Austin Riley,R,Chad Wallach,595453,8,2,2,False,2020-09-09,Stolen,2B,2020,2021,28.3
7,3458,2B,3B,Stolen Base 3B,621020,Dansby Swanson,592390,Heath Hembree,518595,Travis d'Arnaud,R,J.T. Realmuto,592663,4,4,10,True,2020-08-28,Stolen,3B,2020,2021,28.3
8,3936,1B,2B,Stolen Base 2B,621020,Dansby Swanson,642584,Franklyn Kilome,622666,Johan Camargo,R,Wilson Ramos,467092,5,1,5,False,2020-08-01,Stolen,2B,2020,2021,28.3
9,3961,1B,2B,Stolen Base 2B,621020,Dansby Swanson,476454,Dellin Betances,518692,Freddie Freeman,R,Wilson Ramos,467092,8,10,8,False,2020-07-31,Stolen,2B,2020,2021,28.3
10,3989,1B,2B,Stolen Base 2B,621020,Dansby Swanson,621237,José Alvarado,542255,Ender Inciarte,L,Mike Zunino,572287,7,4,7,False,2020-07-29,Stolen,2B,2020,2021,28.3
11,4085,1B,,Caught Stealing 2B,621020,Dansby Swanson,445213,Brandon Kintzler,452095,Tyler Flowers,R,Jorge Alfaro,595751,0,6,5,False,2020-07-21,Caught,2B,2020,2021,28.3
12,5154,1B,2B,Stolen Base 2B,621020,Dansby Swanson,657141,Jordan Yamamoto,663586,Austin Riley,R,Chad Wallach,595453,8,2,2,False,2020-09-09,Stolen,2B,2020,2021,28.3
13,5382,2B,3B,Stolen Base 3B,621020,Dansby Swanson,592390,Heath Hembree,518595,Travis d'Arnaud,R,J.T. Realmuto,592663,4,4,10,True,2020-08-28,Stolen,3B,2020,2021,28.3
14,5860,1B,2B,Stolen Base 2B,621020,Dansby Swanson,642584,Franklyn Kilome,622666,Johan Camargo,R,Wilson Ramos,467092,5,1,5,False,2020-08-01,Stolen,2B,2020,2021,28.3
15,5885,1B,2B,Stolen Base 2B,621020,Dansby Swanson,476454,Dellin Betances,518692,Freddie Freeman,R,Wilson Ramos,467092,8,10,8,False,2020-07-31,Stolen,2B,2020,2021,28.3
16,5913,1B,2B,Stolen Base 2B,621020,Dansby Swanson,621237,José Alvarado,542255,Ender Inciarte,L,Mike Zunino,572287,7,4,7,False,2020-07-29,Stolen,2B,2020,2021,28.3
17,6009,1B,,Caught Stealing 2B,621020,Dansby Swanson,445213,Brandon Kintzler,452095,Tyler Flowers,R,Jorge Alfaro,595751,0,6,5,False,2020-07-21,Caught,2B,2020,2021,28.3
18,1264,1B,2B,Stolen Base 2B,621020,Dansby Swanson,641341,Tyler Bashlor,645277,Ozzie Albies,R,Tomás Nido,621512,4,4,10,True,2019-09-29,Stolen,2B,2019,2020,28.4
19,1318,1B,2B,Stolen Base 2B,621020,Dansby Swanson,573186,Marcus Stroman,645277,Ozzie Albies,R,Tomás Nido,621512,1,2,2,True,2019-09-27,Stolen,2B,2019,2020,28.4
20,1623,1B,2B,Stolen Base 2B,621020,Dansby Swanson,605400,Aaron Nola,542364,Rafael Ortega,R,J.T. Realmuto,592663,0,4,3,True,2019-09-09,Stolen,2B,2019,2020,28.4
21,2671,2B,3B,Stolen Base 3B,621020,Dansby Swanson,592789,Noah Syndergaard,455976,Nick Markakis,R,Wilson Ramos,467092,1,2,3,True,2019-06-30,Stolen,3B,2019,2020,28.4
22,2673,1B,,Caught Stealing 2B,621020,Dansby Swanson,592789,Noah Syndergaard,518692,Freddie Freeman,R,Wilson Ramos,467092,3,2,5,True,2019-06-30,Caught,2B,2019,2020,28.4
23,3017,2B,3B,Caught Stealing 2B,621020,Dansby Swanson,657566,Montana DuRapau,622666,Johan Camargo,R,Elias Díaz,553869,11,7,8,False,2019-06-10,Caught,2B,2019,2020,28.4
24,3141,1B,2B,Stolen Base 2B,621020,Dansby Swanson,643230,Steven Brault,518626,Josh Donaldson,L,Elias Díaz,553869,0,1,1,True,2019-06-04,Stolen,2B,2019,2020,28.4
25,3142,2B,3B,Stolen Base 2B,621020,Dansby Swanson,643230,Steven Brault,518626,Josh Donaldson,L,Elias Díaz,553869,0,1,1,True,2019-06-04,Stolen,2B,2019,2020,28.4
26,3328,1B,2B,Stolen Base 2B,621020,Dansby Swanson,606625,Reyes Moronta,518626,Josh Donaldson,R,Buster Posey,457763,4,4,13,True,2019-05-23,Stolen,2B,2019,2020,28.4
27,3529,1B,,Caught Stealing 2B,621020,Dansby Swanson,425844,Zack Greinke,518692,Freddie Freeman,R,John Ryan Murphy,571974,0,0,1,True,2019-05-10,Caught,2B,2019,2020,28.4
28,3563,1B,2B,Stolen Base 2B,621020,Dansby Swanson,477132,Clayton Kershaw,622666,Johan Camargo,L,Austin Barnes,605131,0,0,2,True,2019-05-08,Stolen,2B,2019,2020,28.4
29,3604,1B,2B,Stolen Base 2B,621020,Dansby Swanson,621111,Walker Buehler,435263,Brian McCann,R,Austin Barnes,605131,1,0,2,True,2019-05-06,Stolen,2B,2019,2020,28.4
30,3798,2B,3B,Stolen Base 3B,621020,Dansby Swanson,453172,Jared Hughes,452095,Tyler Flowers,R,Tucker Barnhart,571466,7,6,8,True,2019-04-23,Stolen,3B,2019,2020,28.4
31,4019,1B,2B,Stolen Base 2B,621020,Dansby Swanson,544727,Jeurys Familia,622666,Johan Camargo,R,Wilson Ramos,467092,3,6,8,False,2019-04-11,Stolen,2B,2019,2020,28.4
32,4107,1B,2B,Stolen Base 2B,621020,Dansby Swanson,641341,Tyler Bashlor,645277,Ozzie Albies,R,Tomás Nido,621512,4,4,10,True,2019-09-29,Stolen,2B,2019,2020,28.4
