,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year,Sprint
0,550,1B,,Caught Stealing 2B,605233,Derek Fisher,622253,Dillon Tate,543768,Travis Shaw,R,Chance Sisco,642082,2,2,9,False,2020-08-31,Caught,2B,2020,2021,26.4
1,3393,1B,,Caught Stealing 2B,605233,Derek Fisher,622253,Dillon Tate,543768,Travis Shaw,R,Chance Sisco,642082,2,2,9,False,2020-08-31,Caught,2B,2020,2021,26.4
2,5317,1B,,Caught Stealing 2B,605233,Derek Fisher,622253,Dillon Tate,543768,Travis Shaw,R,Chance Sisco,642082,2,2,9,False,2020-08-31,Caught,2B,2020,2021,26.4
3,1888,1B,2B,Stolen Base 2B,605233,Derek Fisher,656954,Justus Sheffield,475253,Justin Smoak,L,Omar Narváez,553882,0,1,1,True,2019-08-23,Stolen,2B,2019,2020,27.9
4,3036,1B,2B,Stolen Base 2B,605233,Derek Fisher,605164,Dylan Bundy,608324,Alex Bregman,R,Pedro Severino,600474,2,0,6,False,2019-06-09,Stolen,2B,2019,2020,27.9
5,3064,1B,2B,Stolen Base 2B,605233,Derek Fisher,571710,Mychal Givens,608324,Alex Bregman,R,Chance Sisco,642082,3,3,10,False,2019-06-07,Stolen,2B,2019,2020,27.9
6,3127,1B,2B,Stolen Base 2B,605233,Derek Fisher,592165,Brandon Brennan,608324,Alex Bregman,R,Omar Narváez,553882,5,6,7,True,2019-06-04,Stolen,2B,2019,2020,27.9
7,3155,1B,,Caught Stealing 2B,605233,Derek Fisher,521230,Liam Hendriks,608324,Alex Bregman,R,Josh Phegley,572033,2,4,7,True,2019-06-02,Caught,2B,2019,2020,27.9
8,3241,1B,2B,Stolen Base 2B,605233,Derek Fisher,452657,Jon Lester,488726,Michael Brantley,L,Willson Contreras,575929,6,3,4,False,2019-05-28,Stolen,2B,2019,2020,27.9
9,4731,1B,2B,Stolen Base 2B,605233,Derek Fisher,656954,Justus Sheffield,475253,Justin Smoak,L,Omar Narváez,553882,0,1,1,True,2019-08-23,Stolen,2B,2019,2020,27.9
10,5879,1B,2B,Stolen Base 2B,605233,Derek Fisher,605164,Dylan Bundy,608324,Alex Bregman,R,Pedro Severino,600474,2,0,6,False,2019-06-09,Stolen,2B,2019,2020,27.9
11,5907,1B,2B,Stolen Base 2B,605233,Derek Fisher,571710,Mychal Givens,608324,Alex Bregman,R,Chance Sisco,642082,3,3,10,False,2019-06-07,Stolen,2B,2019,2020,27.9
