,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year,Sprint
0,83,1B,2B,Stolen Base 2B,518692,Freddie Freeman,445213,Brandon Kintzler,518595,Travis d'Arnaud,R,Chad Wallach,595453,2,4,9,False,2020-09-24,Stolen,2B,2020,2021,26.9
1,301,1B,2B,Stolen Base 2B,518692,Freddie Freeman,453286,Max Scherzer,542303,Marcell Ozuna,R,Kurt Suzuki,435559,1,1,3,True,2020-09-13,Stolen,2B,2020,2021,26.9
2,2926,1B,2B,Stolen Base 2B,518692,Freddie Freeman,445213,Brandon Kintzler,518595,Travis d'Arnaud,R,Chad Wallach,595453,2,4,9,False,2020-09-24,Stolen,2B,2020,2021,26.9
3,3144,1B,2B,Stolen Base 2B,518692,Freddie Freeman,453286,Max Scherzer,542303,Marcell Ozuna,R,Kurt Suzuki,435559,1,1,3,True,2020-09-13,Stolen,2B,2020,2021,26.9
4,4850,1B,2B,Stolen Base 2B,518692,Freddie Freeman,445213,Brandon Kintzler,518595,Travis d'Arnaud,R,Chad Wallach,595453,2,4,9,False,2020-09-24,Stolen,2B,2020,2021,26.9
5,5068,1B,2B,Stolen Base 2B,518692,Freddie Freeman,453286,Max Scherzer,542303,Marcell Ozuna,R,Kurt Suzuki,435559,1,1,3,True,2020-09-13,Stolen,2B,2020,2021,26.9
6,1843,1B,2B,Stolen Base 2B,518692,Freddie Freeman,543532,Tim Melville,518626,Josh Donaldson,R,Dom Nuñez,624513,0,0,4,True,2019-08-26,Stolen,2B,2019,2020,26.3
7,2266,1B,2B,Stolen Base 2B,518692,Freddie Freeman,607200,Erick Fedde,518626,Josh Donaldson,R,Yan Gomes,543228,0,2,3,True,2019-07-30,Stolen,2B,2019,2020,26.3
8,2311,1B,,Caught Stealing 2B,518692,Freddie Freeman,453562,Jake Arrieta,518626,Josh Donaldson,R,Andrew Knapp,595284,0,1,4,True,2019-07-26,Caught,2B,2019,2020,26.3
9,2373,1B,2B,Stolen Base 2B,518692,Freddie Freeman,605452,Joe Ross,518626,Josh Donaldson,R,Kurt Suzuki,435559,0,0,1,False,2019-07-21,Stolen,2B,2019,2020,26.3
10,2672,1B,2B,Stolen Base 2B,518692,Freddie Freeman,592789,Noah Syndergaard,455976,Nick Markakis,R,Wilson Ramos,467092,1,2,3,True,2019-06-30,Stolen,2B,2019,2020,26.3
11,2708,1B,2B,Stolen Base 2B,518692,Freddie Freeman,594798,Jacob deGrom,455976,Nick Markakis,R,Tomás Nido,621512,0,3,3,True,2019-06-28,Stolen,2B,2019,2020,26.3
12,3018,1B,,Caught Stealing 2B,518692,Freddie Freeman,657566,Montana DuRapau,622666,Johan Camargo,R,Elias Díaz,553869,11,7,8,False,2019-06-10,Caught,2B,2019,2020,26.3
13,3193,1B,2B,Stolen Base 2B,518692,Freddie Freeman,605513,Spencer Turnbull,455976,Nick Markakis,R,Grayson Greiner,606988,0,0,1,False,2019-05-31,Stolen,2B,2019,2020,26.3
14,4031,1B,2B,Stolen Base 2B,518692,Freddie Freeman,543532,Tim Melville,518626,Josh Donaldson,R,Dom Nuñez,624513,0,0,4,True,2019-04-10,Stolen,2B,2019,2020,26.3
15,4686,1B,2B,Stolen Base 2B,518692,Freddie Freeman,543532,Tim Melville,518626,Josh Donaldson,R,Dom Nuñez,624513,0,0,4,True,2019-08-26,Stolen,2B,2019,2020,26.3
