,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year,Sprint
0,1884,1B,2B,Stolen Base 2B,467827,Gerardo Parra,543022,Tyler Chatwood,607208,Trea Turner,R,Jonathan Lucroy,518960,2,5,6,True,2019-08-24,Stolen,2B,2019,2021,26.1
1,1885,2B,3B,Stolen Base 3B,467827,Gerardo Parra,594986,Kyle Ryan,594809,Adam Eaton,L,Jonathan Lucroy,518960,2,6,6,True,2019-08-24,Stolen,3B,2019,2021,26.1
2,2051,1B,,Caught Stealing 2B,467827,Gerardo Parra,592332,Kevin Gausman,645302,Victor Robles,R,Tucker Barnhart,571466,6,2,6,False,2019-08-12,Caught,2B,2019,2021,26.1
3,2135,1B,2B,Stolen Base 2B,467827,Gerardo Parra,669214,Conner Menez,665742,Juan Soto,L,Buster Posey,457763,0,2,3,True,2019-08-06,Stolen,2B,2019,2021,26.1
4,3123,1B,,Caught Stealing 2B,467827,Gerardo Parra,605359,Evan Marshall,607208,Trea Turner,R,Welington Castillo,456078,4,1,6,False,2019-06-05,Caught,2B,2019,2021,26.1
5,3174,1B,2B,Stolen Base 2B,467827,Gerardo Parra,621199,Matt Bowman,645302,Victor Robles,R,Tucker Barnhart,571466,2,5,9,True,2019-06-01,Stolen,2B,2019,2021,26.1
6,3337,1B,2B,Stolen Base 2B,467827,Gerardo Parra,607229,Robert Gsellman,607208,Trea Turner,R,Wilson Ramos,467092,3,4,8,True,2019-05-23,Stolen,2B,2019,2021,26.1
7,3436,1B,2B,Stolen Base 2B,467827,Gerardo Parra,607229,Robert Gsellman,435559,Kurt Suzuki,R,Tomás Nido,621512,7,4,7,False,2019-05-16,Stolen,2B,2019,2021,26.1
8,3795,3B,,Caught Stealing Home,467827,Gerardo Parra,663423,Trent Thornton,474832,Brandon Belt,R,Luke Maile,571912,0,0,1,True,2019-04-23,Caught,Home,2019,2021,26.1
9,3857,1B,2B,Stolen Base 2B,467827,Gerardo Parra,592791,Jameson Taillon,457763,Buster Posey,R,Francisco Cervelli,465041,0,0,3,True,2019-04-20,Stolen,2B,2019,2021,26.1
10,3906,1B,2B,Stolen Base 2B,467827,Gerardo Parra,476451,Jeremy Hellickson,502188,Jeff Samardzija,R,Kurt Suzuki,435559,4,2,4,True,2019-04-17,Stolen,2B,2019,2021,26.1
11,4727,1B,2B,Stolen Base 2B,467827,Gerardo Parra,543022,Tyler Chatwood,607208,Trea Turner,R,Jonathan Lucroy,518960,2,5,6,True,2019-08-24,Stolen,2B,2019,2021,26.1
12,4728,2B,3B,Stolen Base 3B,467827,Gerardo Parra,594986,Kyle Ryan,594809,Adam Eaton,L,Jonathan Lucroy,518960,2,6,6,True,2019-08-24,Stolen,3B,2019,2021,26.1
13,4894,1B,,Caught Stealing 2B,467827,Gerardo Parra,592332,Kevin Gausman,645302,Victor Robles,R,Tucker Barnhart,571466,6,2,6,False,2019-08-12,Caught,2B,2019,2021,26.1
14,4978,1B,2B,Stolen Base 2B,467827,Gerardo Parra,669214,Conner Menez,665742,Juan Soto,L,Buster Posey,457763,0,2,3,True,2019-08-06,Stolen,2B,2019,2021,26.1
15,5966,1B,,Caught Stealing 2B,467827,Gerardo Parra,605359,Evan Marshall,607208,Trea Turner,R,Welington Castillo,456078,4,1,6,False,2019-06-05,Caught,2B,2019,2021,26.1
16,6017,1B,2B,Stolen Base 2B,467827,Gerardo Parra,621199,Matt Bowman,645302,Victor Robles,R,Tucker Barnhart,571466,2,5,9,True,2019-06-01,Stolen,2B,2019,2021,26.1
17,6180,1B,2B,Stolen Base 2B,467827,Gerardo Parra,607229,Robert Gsellman,607208,Trea Turner,R,Wilson Ramos,467092,3,4,8,True,2019-05-23,Stolen,2B,2019,2021,26.1
18,6279,1B,2B,Stolen Base 2B,467827,Gerardo Parra,607229,Robert Gsellman,435559,Kurt Suzuki,R,Tomás Nido,621512,7,4,7,False,2019-05-16,Stolen,2B,2019,2021,26.1
19,6638,3B,,Caught Stealing Home,467827,Gerardo Parra,663423,Trent Thornton,474832,Brandon Belt,R,Luke Maile,571912,0,0,1,True,2019-04-23,Caught,Home,2019,2021,26.1
20,6700,1B,2B,Stolen Base 2B,467827,Gerardo Parra,592791,Jameson Taillon,457763,Buster Posey,R,Francisco Cervelli,465041,0,0,3,True,2019-04-20,Stolen,2B,2019,2021,26.1
21,6749,1B,2B,Stolen Base 2B,467827,Gerardo Parra,476451,Jeremy Hellickson,502188,Jeff Samardzija,R,Kurt Suzuki,435559,4,2,4,True,2019-04-17,Stolen,2B,2019,2021,26.1
22,6651,1B,2B,Stolen Base 2B,467827,Gerardo Parra,543022,Tyler Chatwood,607208,Trea Turner,R,Jonathan Lucroy,518960,2,5,6,True,2019-08-24,Stolen,2B,2019,2021,26.1
23,6652,2B,3B,Stolen Base 3B,467827,Gerardo Parra,594986,Kyle Ryan,594809,Adam Eaton,L,Jonathan Lucroy,518960,2,6,6,True,2019-08-24,Stolen,3B,2019,2021,26.1
24,6818,1B,,Caught Stealing 2B,467827,Gerardo Parra,592332,Kevin Gausman,645302,Victor Robles,R,Tucker Barnhart,571466,6,2,6,False,2019-08-12,Caught,2B,2019,2021,26.1
25,6902,1B,2B,Stolen Base 2B,467827,Gerardo Parra,669214,Conner Menez,665742,Juan Soto,L,Buster Posey,457763,0,2,3,True,2019-08-06,Stolen,2B,2019,2021,26.1
26,7890,1B,,Caught Stealing 2B,467827,Gerardo Parra,605359,Evan Marshall,607208,Trea Turner,R,Welington Castillo,456078,4,1,6,False,2019-06-05,Caught,2B,2019,2021,26.1
27,7941,1B,2B,Stolen Base 2B,467827,Gerardo Parra,621199,Matt Bowman,645302,Victor Robles,R,Tucker Barnhart,571466,2,5,9,True,2019-06-01,Stolen,2B,2019,2021,26.1
28,8104,1B,2B,Stolen Base 2B,467827,Gerardo Parra,607229,Robert Gsellman,607208,Trea Turner,R,Wilson Ramos,467092,3,4,8,True,2019-05-23,Stolen,2B,2019,2021,26.1
29,8203,1B,2B,Stolen Base 2B,467827,Gerardo Parra,607229,Robert Gsellman,435559,Kurt Suzuki,R,Tomás Nido,621512,7,4,7,False,2019-05-16,Stolen,2B,2019,2021,26.1
30,8562,3B,,Caught Stealing Home,467827,Gerardo Parra,663423,Trent Thornton,474832,Brandon Belt,R,Luke Maile,571912,0,0,1,True,2019-04-23,Caught,Home,2019,2021,26.1
31,8624,1B,2B,Stolen Base 2B,467827,Gerardo Parra,592791,Jameson Taillon,457763,Buster Posey,R,Francisco Cervelli,465041,0,0,3,True,2019-04-20,Stolen,2B,2019,2021,26.1
32,8673,1B,2B,Stolen Base 2B,467827,Gerardo Parra,476451,Jeremy Hellickson,502188,Jeff Samardzija,R,Kurt Suzuki,435559,4,2,4,True,2019-04-17,Stolen,2B,2019,2021,26.1
33,30,2B,3B,Stolen Base 3B,467827,Gerardo Parra,506433,Yu Darvish,455104,Chris Iannetta,R,Victor Caratini,605170,0,3,3,True,2018-05-02,Stolen,3B,2018,2019,26.4
34,246,1B,2B,Stolen Base 2B,467827,Gerardo Parra,506433,Yu Darvish,453568,Charlie Blackmon,R,Willson Contreras,575929,3,2,5,False,2018-04-21,Stolen,2B,2018,2019,26.4
35,343,1B,2B,Stolen Base 2B,467827,Gerardo Parra,605195,Kyle Crick,641857,Ryan McMahon,R,Francisco Cervelli,465041,2,6,9,True,2018-04-16,Stolen,2B,2018,2019,26.4
36,399,1B,,Caught Stealing 2B,467827,Gerardo Parra,543699,Tanner Roark,455104,Chris Iannetta,R,Pedro Severino,600474,1,2,6,True,2018-04-13,Caught,2B,2018,2019,26.4
37,888,2B,3B,Stolen Base 3B,467827,Gerardo Parra,468504,Jhoulys Chacín,448602,Mark Reynolds,R,Héctor Sánchez,516949,0,0,2,False,2017-09-17,Stolen,3B,2017,2018,26.5
38,1018,2B,3B,Stolen Base 3B,467827,Gerardo Parra,445276,Kenley Jansen,435622,Ian Desmond,R,Austin Barnes,605131,4,6,9,True,2017-09-09,Stolen,3B,2017,2018,26.5
39,1039,1B,,Caught Stealing 2B,467827,Gerardo Parra,548389,Ross Stripling,435622,Ian Desmond,R,Austin Barnes,605131,4,5,8,True,2017-09-08,Caught,2B,2017,2018,26.5
40,2769,1B,,Caught Stealing 2B,467827,Gerardo Parra,605182,Mike Clevinger,596115,Trevor Story,R,Yan Gomes,543228,5,0,3,False,2017-06-06,Caught,2B,2017,2018,26.5
41,2925,1B,,Caught Stealing 2B,467827,Gerardo Parra,543208,Sam Gaviglio,596115,Trevor Story,R,Mike Zunino,572287,2,3,4,False,2017-05-29,Caught,2B,2017,2018,26.5
42,3131,1B,,Caught Stealing 2B,467827,Gerardo Parra,621244,José Berríos,606132,Raimel Tapia,R,Jason Castro,488771,2,0,5,True,2017-05-18,Caught,2B,2017,2018,26.5
43,3135,1B,,Caught Stealing 2B,467827,Gerardo Parra,621244,José Berríos,606132,Raimel Tapia,R,Jason Castro,488771,2,0,5,True,2017-05-17,Caught,2B,2017,2018,26.5
44,3968,1B,,Caught Stealing 2B,467827,Gerardo Parra,503449,Wily Peralta,448602,Mark Reynolds,R,Manny Piña,444489,0,0,2,True,2017-04-05,Caught,2B,2017,2018,26.5
45,260,2B,3B,Stolen Base 3B,467827,Gerardo Parra,468504,Jhoulys Chacín,448602,Mark Reynolds,R,Héctor Sánchez,516949,0,0,2,False,2017-09-17,Stolen,3B,2017,2018,26.5
46,390,2B,3B,Stolen Base 3B,467827,Gerardo Parra,445276,Kenley Jansen,435622,Ian Desmond,R,Austin Barnes,605131,4,6,9,True,2017-09-09,Stolen,3B,2017,2018,26.5
47,411,1B,,Caught Stealing 2B,467827,Gerardo Parra,548389,Ross Stripling,435622,Ian Desmond,R,Austin Barnes,605131,4,5,8,True,2017-09-08,Caught,2B,2017,2018,26.5
48,2141,1B,,Caught Stealing 2B,467827,Gerardo Parra,605182,Mike Clevinger,596115,Trevor Story,R,Yan Gomes,543228,5,0,3,False,2017-06-06,Caught,2B,2017,2018,26.5
49,2297,1B,,Caught Stealing 2B,467827,Gerardo Parra,543208,Sam Gaviglio,596115,Trevor Story,R,Mike Zunino,572287,2,3,4,False,2017-05-29,Caught,2B,2017,2018,26.5
50,2503,1B,,Caught Stealing 2B,467827,Gerardo Parra,621244,José Berríos,606132,Raimel Tapia,R,Jason Castro,488771,2,0,5,True,2017-05-18,Caught,2B,2017,2018,26.5
51,2507,1B,,Caught Stealing 2B,467827,Gerardo Parra,621244,José Berríos,606132,Raimel Tapia,R,Jason Castro,488771,2,0,5,True,2017-05-17,Caught,2B,2017,2018,26.5
52,3340,1B,,Caught Stealing 2B,467827,Gerardo Parra,503449,Wily Peralta,448602,Mark Reynolds,R,Manny Piña,444489,0,0,2,True,2017-04-05,Caught,2B,2017,2018,26.5
53,6233,1B,2B,Stolen Base 2B,467827,Gerardo Parra,571893,Adam Liberatore,448602,Mark Reynolds,L,A.J. Ellis,454560,1,6,6,True,2016-06-06,Stolen,2B,2016,2017,26.4
