,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year,Sprint
0,164,1B,2B,Stolen Base 2B,664056,Harrison Bader,593144,Richard Rodríguez,669242,Tommy Edman,R,John Ryan Murphy,571974,1,2,9,True,2020-09-20,Stolen,2B,2020,2021,29.5
1,274,1B,,Caught Stealing 2B,664056,Harrison Bader,458676,Josh Lindblom,502671,Paul Goldschmidt,R,Omar Narváez,553882,0,0,3,True,2020-09-14,Caught,2B,2020,2021,29.5
2,694,1B,2B,Stolen Base 2B,664056,Harrison Bader,518813,Greg Holland,669242,Tommy Edman,R,Meibrys Viloria,650619,6,0,5,False,2020-08-24,Stolen,2B,2020,2021,29.5
3,1218,1B,2B,Stolen Base 2B,664056,Harrison Bader,605195,Kyle Crick,543939,Kolten Wong,R,John Ryan Murphy,571974,3,1,7,False,2020-07-25,Stolen,2B,2020,2021,29.5
4,3007,1B,2B,Stolen Base 2B,664056,Harrison Bader,593144,Richard Rodríguez,669242,Tommy Edman,R,John Ryan Murphy,571974,1,2,9,True,2020-09-20,Stolen,2B,2020,2021,29.5
5,3117,1B,,Caught Stealing 2B,664056,Harrison Bader,458676,Josh Lindblom,502671,Paul Goldschmidt,R,Omar Narváez,553882,0,0,3,True,2020-09-14,Caught,2B,2020,2021,29.5
6,3537,1B,2B,Stolen Base 2B,664056,Harrison Bader,518813,Greg Holland,669242,Tommy Edman,R,Meibrys Viloria,650619,6,0,5,False,2020-08-24,Stolen,2B,2020,2021,29.5
7,4061,1B,2B,Stolen Base 2B,664056,Harrison Bader,605195,Kyle Crick,543939,Kolten Wong,R,John Ryan Murphy,571974,3,1,7,False,2020-07-25,Stolen,2B,2020,2021,29.5
8,4931,1B,2B,Stolen Base 2B,664056,Harrison Bader,593144,Richard Rodríguez,669242,Tommy Edman,R,John Ryan Murphy,571974,1,2,9,True,2020-09-20,Stolen,2B,2020,2021,29.5
9,5041,1B,,Caught Stealing 2B,664056,Harrison Bader,458676,Josh Lindblom,502671,Paul Goldschmidt,R,Omar Narváez,553882,0,0,3,True,2020-09-14,Caught,2B,2020,2021,29.5
10,5461,1B,2B,Stolen Base 2B,664056,Harrison Bader,518813,Greg Holland,669242,Tommy Edman,R,Meibrys Viloria,650619,6,0,5,False,2020-08-24,Stolen,2B,2020,2021,29.5
11,5985,1B,2B,Stolen Base 2B,664056,Harrison Bader,605195,Kyle Crick,543939,Kolten Wong,R,John Ryan Murphy,571974,3,1,7,False,2020-07-25,Stolen,2B,2020,2021,29.5
12,1477,1B,2B,Stolen Base 2B,664056,Harrison Bader,571578,Patrick Corbin,500874,José A. Martínez,L,Yan Gomes,543228,2,3,6,False,2019-09-17,Stolen,2B,2019,2020,29.4
13,1478,2B,3B,Stolen Base 2B,664056,Harrison Bader,571578,Patrick Corbin,500874,José A. Martínez,L,Yan Gomes,543228,2,3,6,False,2019-09-17,Stolen,2B,2019,2020,29.4
14,1521,2B,3B,Stolen Base 3B,664056,Harrison Bader,543475,Jordan Lyles,451594,Dexter Fowler,R,Yasmani Grandal,518735,2,0,2,False,2019-09-14,Stolen,3B,2019,2020,29.4
15,1545,1B,2B,Stolen Base 2B,664056,Harrison Bader,607188,Jake Faria,451594,Dexter Fowler,R,Jacob Nottingham,641924,5,0,6,False,2019-09-13,Stolen,2B,2019,2020,29.4
16,1656,1B,2B,Stolen Base 2B,664056,Harrison Bader,605280,Clay Holmes,425794,Adam Wainwright,R,Elias Díaz,553869,1,6,6,True,2019-09-07,Stolen,2B,2019,2020,29.4
17,1857,1B,2B,Stolen Base 2B,664056,Harrison Bader,451584,Wade Davis,664854,Ryan Helsley,R,Tony Wolters,547172,7,3,5,False,2019-08-25,Stolen,2B,2019,2020,29.4
18,2385,1B,2B,Stolen Base 2B,664056,Harrison Bader,543101,Anthony DeSclafani,656427,Jack Flaherty,R,Ryan Lavarnway,543432,0,2,2,True,2019-07-21,Stolen,2B,2019,2020,29.4
19,2472,2B,3B,Stolen Base 3B,664056,Harrison Bader,642607,Dario Agrazal,656427,Jack Flaherty,R,Elias Díaz,553869,1,1,5,False,2019-07-16,Stolen,3B,2019,2020,29.4
20,2701,1B,2B,Stolen Base 2B,664056,Harrison Bader,615698,Cal Quantrill,543939,Kolten Wong,R,Austin Hedges,595978,0,1,6,True,2019-06-28,Stolen,2B,2019,2020,29.4
21,2960,2B,3B,Stolen Base 3B,664056,Harrison Bader,594798,Jacob deGrom,656427,Jack Flaherty,R,Wilson Ramos,467092,0,0,3,True,2019-06-14,Stolen,3B,2019,2020,29.4
