,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year,Sprint
0,105,1B,,Caught Stealing 2B,435622,Ian Desmond,592761,Caleb Smith,596115,Trevor Story,L,Bryan Holaday,592407,0,0,1,True,2018-04-29,Caught,2B,2018,2019,27.5
1,115,1B,2B,Stolen Base 2B,435622,Ian Desmond,612672,Wei-Yin Chen,571448,Nolan Arenado,L,J.T. Realmuto,592663,0,0,1,True,2018-04-28,Stolen,2B,2018,2019,27.5
2,229,1B,2B,Stolen Base 2B,435622,Ian Desmond,500779,Jose Quintana,571595,Noel Cuevas,L,Victor Caratini,605170,0,4,2,False,2018-04-22,Stolen,2B,2018,2019,27.5
3,424,1B,2B,Stolen Base 2B,435622,Ian Desmond,571473,Buddy Baumann,471865,Carlos González,L,Austin Hedges,595978,1,0,3,False,2018-04-11,Stolen,2B,2018,2019,27.5
4,630,1B,2B,Stolen Base 2B,435622,Ian Desmond,477132,Clayton Kershaw,518960,Jonathan Lucroy,L,Austin Barnes,605131,2,0,2,False,2017-09-30,Stolen,2B,2017,2018,28.1
5,745,1B,2B,Stolen Base 2B,435622,Ian Desmond,606131,Luis Perdomo,596115,Trevor Story,R,Rocky Gale,502570,2,2,2,True,2017-09-24,Stolen,2B,2017,2018,28.1
6,788,1B,2B,Stolen Base 2B,435622,Ian Desmond,664208,Phil Maton,518960,Jonathan Lucroy,R,Austin Hedges,595978,1,4,7,True,2017-09-22,Stolen,2B,2017,2018,28.1
7,1038,1B,2B,Stolen Base 2B,435622,Ian Desmond,520980,Pedro Báez,506560,Alexi Amarista,R,Austin Barnes,605131,4,5,6,True,2017-09-08,Stolen,2B,2017,2018,28.1
8,1234,1B,2B,Stolen Base 2B,435622,Ian Desmond,594815,Jeff Ferrell,518960,Jonathan Lucroy,R,James McCann,543510,7,3,8,False,2017-08-29,Stolen,2B,2017,2018,28.1
9,2286,1B,2B,Stolen Base 2B,435622,Ian Desmond,592662,Robbie Ray,571448,Nolan Arenado,L,Chris Herrmann,543302,0,1,1,True,2017-06-30,Stolen,2B,2017,2018,28.1
10,2335,1B,2B,Stolen Base 2B,435622,Ian Desmond,621389,Ty Blach,571448,Nolan Arenado,L,Nick Hundley,460026,0,2,1,True,2017-06-28,Stolen,2B,2017,2018,28.1
11,2342,1B,,Caught Stealing 2B,435622,Ian Desmond,473879,Sam Dyson,506560,Alexi Amarista,R,Buster Posey,457763,3,3,11,True,2017-06-27,Caught,2B,2017,2018,28.1
12,2390,1B,2B,Stolen Base 2B,435622,Ian Desmond,435221,Brandon McCarthy,642162,Pat Valaika,R,Yasmani Grandal,518735,0,2,2,True,2017-06-25,Stolen,2B,2017,2018,28.1
13,2553,1B,2B,Stolen Base 2B,435622,Ian Desmond,430912,Matt Cain,471865,Carlos González,R,Nick Hundley,460026,1,1,5,False,2017-06-17,Stolen,2B,2017,2018,28.1
14,2579,1B,2B,Stolen Base 2B,435622,Ian Desmond,519043,Matt Moore,606132,Raimel Tapia,L,Buster Posey,457763,3,0,1,False,2017-06-15,Stolen,2B,2017,2018,28.1
15,2659,1B,2B,Stolen Base 2B,435622,Ian Desmond,453562,Jake Arrieta,642162,Pat Valaika,R,Miguel Montero,471083,4,0,4,True,2017-06-11,Stolen,2B,2017,2018,28.1
16,2714,1B,2B,Stolen Base 2B,435622,Ian Desmond,543557,Mike Montgomery,596115,Trevor Story,L,Miguel Montero,471083,2,0,2,True,2017-06-09,Stolen,2B,2017,2018,28.1
17,2716,1B,,Caught Stealing 2B,435622,Ian Desmond,493157,Koji Uehara,452672,Ryan Hanigan,R,Miguel Montero,471083,3,5,8,True,2017-06-09,Caught,2B,2017,2018,28.1
18,2762,2B,3B,Stolen Base 3B,435622,Ian Desmond,592102,Cody Allen,452672,Ryan Hanigan,R,Roberto Pérez,547379,5,1,7,False,2017-06-07,Stolen,3B,2017,2018,28.1
19,3002,1B,,Caught Stealing 2B,435622,Ian Desmond,592826,Vince Velasquez,571448,Nolan Arenado,R,Cameron Rupp,519237,0,0,3,True,2017-05-25,Caught,2B,2017,2018,28.1
20,3213,1B,2B,Stolen Base 2B,435622,Ian Desmond,622072,Alex Wood,571448,Nolan Arenado,L,Austin Barnes,605131,0,0,1,False,2017-05-13,Stolen,2B,2017,2018,28.1
21,3406,1B,,Caught Stealing 2B,435622,Ian Desmond,606131,Luis Perdomo,448602,Mark Reynolds,R,Héctor Sánchez,516949,0,1,6,True,2017-05-04,Caught,2B,2017,2018,28.1
22,3436,1B,2B,Stolen Base 2B,435622,Ian Desmond,502239,Trevor Cahill,596115,Trevor Story,R,Austin Hedges,595978,0,1,2,True,2017-05-02,Stolen,2B,2017,2018,28.1
23,2,1B,2B,Stolen Base 2B,435622,Ian Desmond,477132,Clayton Kershaw,518960,Jonathan Lucroy,L,Austin Barnes,605131,2,0,2,False,2017-09-30,Stolen,2B,2017,2018,28.1
24,117,1B,2B,Stolen Base 2B,435622,Ian Desmond,606131,Luis Perdomo,596115,Trevor Story,R,Rocky Gale,502570,2,2,2,True,2017-09-24,Stolen,2B,2017,2018,28.1
25,160,1B,2B,Stolen Base 2B,435622,Ian Desmond,664208,Phil Maton,518960,Jonathan Lucroy,R,Austin Hedges,595978,1,4,7,True,2017-09-22,Stolen,2B,2017,2018,28.1
26,410,1B,2B,Stolen Base 2B,435622,Ian Desmond,520980,Pedro Báez,506560,Alexi Amarista,R,Austin Barnes,605131,4,5,6,True,2017-09-08,Stolen,2B,2017,2018,28.1
27,606,1B,2B,Stolen Base 2B,435622,Ian Desmond,594815,Jeff Ferrell,518960,Jonathan Lucroy,R,James McCann,543510,7,3,8,False,2017-08-29,Stolen,2B,2017,2018,28.1
28,1658,1B,2B,Stolen Base 2B,435622,Ian Desmond,592662,Robbie Ray,571448,Nolan Arenado,L,Chris Herrmann,543302,0,1,1,True,2017-06-30,Stolen,2B,2017,2018,28.1
29,1707,1B,2B,Stolen Base 2B,435622,Ian Desmond,621389,Ty Blach,571448,Nolan Arenado,L,Nick Hundley,460026,0,2,1,True,2017-06-28,Stolen,2B,2017,2018,28.1
30,1714,1B,,Caught Stealing 2B,435622,Ian Desmond,473879,Sam Dyson,506560,Alexi Amarista,R,Buster Posey,457763,3,3,11,True,2017-06-27,Caught,2B,2017,2018,28.1
31,1762,1B,2B,Stolen Base 2B,435622,Ian Desmond,435221,Brandon McCarthy,642162,Pat Valaika,R,Yasmani Grandal,518735,0,2,2,True,2017-06-25,Stolen,2B,2017,2018,28.1
32,1925,1B,2B,Stolen Base 2B,435622,Ian Desmond,430912,Matt Cain,471865,Carlos González,R,Nick Hundley,460026,1,1,5,False,2017-06-17,Stolen,2B,2017,2018,28.1
