,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year,Sprint
0,21,1B,2B,Caught Stealing 2B,641487,J.P. Crawford,593423,Frankie Montas,572122,Kyle Seager,R,Sean Murphy,669221,0,0,1,True,2020-09-27,Caught,2B,2020,2021,27.5
1,50,1B,2B,Stolen Base 2B,641487,J.P. Crawford,521230,Liam Hendriks,664034,Ty France,R,Jonah Heim,641680,1,3,8,True,2020-09-26,Stolen,2B,2020,2021,27.5
2,579,1B,,Caught Stealing 2B,641487,J.P. Crawford,605164,Dylan Bundy,664059,Sam Haggerty,R,Anthony Bemboom,621532,3,1,5,True,2020-08-29,Caught,2B,2020,2021,27.5
3,639,1B,2B,Stolen Base 2B,641487,J.P. Crawford,670280,David Bednar,664059,Sam Haggerty,R,Austin Hedges,595978,3,7,7,True,2020-08-27,Stolen,2B,2020,2021,27.5
4,645,1B,2B,Stolen Base 2B,641487,J.P. Crawford,670280,David Bednar,664059,Sam Haggerty,R,Austin Hedges,595978,3,7,7,True,2020-08-26,Stolen,2B,2020,2021,27.5
5,808,1B,2B,Stolen Base 2B,641487,J.P. Crawford,595014,Blake Treinen,664238,Dylan Moore,R,Austin Barnes,605131,1,1,8,True,2020-08-18,Stolen,2B,2020,2021,27.5
6,1012,1B,2B,Stolen Base 2B,641487,J.P. Crawford,527054,Julio Teheran,664238,Dylan Moore,R,Max Stassi,545358,0,0,1,False,2020-08-05,Stolen,2B,2020,2021,27.5
7,1087,1B,,Caught Stealing 2B,641487,J.P. Crawford,571666,Mike Fiers,543592,Austin Nola,R,Sean Murphy,669221,2,0,5,False,2020-08-01,Caught,2B,2020,2021,27.5
8,1127,1B,2B,Stolen Base 2B,641487,J.P. Crawford,605164,Dylan Bundy,572122,Kyle Seager,R,Max Stassi,545358,0,0,1,True,2020-07-30,Stolen,2B,2020,2021,27.5
9,1129,1B,2B,Stolen Base 2B,641487,J.P. Crawford,664918,Kyle Keller,621005,Tim Lopes,R,Max Stassi,545358,2,6,9,True,2020-07-30,Stolen,2B,2020,2021,27.5
