,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year,Sprint
0,1894,1B,,Caught Stealing 2B,545350,Jake Marisnick,598287,Noé Ramirez,502210,Josh Reddick,R,Anthony Bemboom,621532,4,3,6,False,2019-08-23,Caught,2B,2019,2020,28.2
1,2043,1B,2B,Stolen Base 2B,545350,Jake Marisnick,516969,Kelvin Herrera,543807,George Springer,R,Welington Castillo,456078,2,3,7,True,2019-08-13,Stolen,2B,2019,2020,28.2
2,2171,1B,2B,Stolen Base 2B,545350,Jake Marisnick,543483,Matt Magill,502210,Josh Reddick,R,Omar Narváez,553882,3,1,7,False,2019-08-04,Stolen,2B,2019,2020,28.2
3,2446,1B,2B,Stolen Base 2B,545350,Jake Marisnick,570240,Félix Peña,543807,George Springer,R,Dustin Garneau,572863,0,3,2,True,2019-07-17,Stolen,2B,2019,2020,28.2
4,2467,1B,2B,Stolen Base 2B,545350,Jake Marisnick,598287,Noé Ramirez,543807,George Springer,R,Kevan Smith,607345,6,2,6,True,2019-07-16,Stolen,2B,2019,2020,28.2
5,2980,1B,2B,Stolen Base 2B,545350,Jake Marisnick,605288,Adrian Houser,502210,Josh Reddick,R,Yasmani Grandal,518735,3,3,13,False,2019-06-12,Stolen,2B,2019,2020,28.2
6,2999,1B,2B,Stolen Base 2B,545350,Jake Marisnick,642547,Freddy Peralta,608324,Alex Bregman,R,Yasmani Grandal,518735,2,1,2,False,2019-06-11,Stolen,2B,2019,2020,28.2
7,3185,1B,2B,Stolen Base 2B,545350,Jake Marisnick,571666,Mike Fiers,605233,Derek Fisher,R,Josh Phegley,572033,0,0,3,True,2019-05-31,Stolen,2B,2019,2020,28.2
8,3484,1B,2B,Stolen Base 2B,545350,Jake Marisnick,657585,Reed Garrett,543807,George Springer,R,Grayson Greiner,606988,1,6,9,True,2019-05-13,Stolen,2B,2019,2020,28.2
9,3508,1B,2B,Stolen Base 2B,545350,Jake Marisnick,491646,Jeanmar Gómez,455139,Robinson Chirinos,R,Jeff Mathis,425772,9,4,7,False,2019-05-11,Stolen,2B,2019,2020,28.2
10,3694,1B,2B,Stolen Base 2B,545350,Jake Marisnick,501381,Michael Pineda,543807,George Springer,R,Jason Castro,488771,0,1,3,True,2019-04-30,Stolen,2B,2019,2020,28.2
11,4198,1B,,Caught Stealing 2B,545350,Jake Marisnick,592716,Adrian Sampson,543807,George Springer,R,Isiah Kiner-Falefa,643396,1,2,9,True,2019-04-01,Caught,2B,2019,2020,28.2
12,4737,1B,,Caught Stealing 2B,545350,Jake Marisnick,598287,Noé Ramirez,502210,Josh Reddick,R,Anthony Bemboom,621532,4,3,6,False,2019-08-23,Caught,2B,2019,2020,28.2
13,4886,1B,2B,Stolen Base 2B,545350,Jake Marisnick,516969,Kelvin Herrera,543807,George Springer,R,Welington Castillo,456078,2,3,7,True,2019-08-13,Stolen,2B,2019,2020,28.2
14,5014,1B,2B,Stolen Base 2B,545350,Jake Marisnick,543483,Matt Magill,502210,Josh Reddick,R,Omar Narváez,553882,3,1,7,False,2019-08-04,Stolen,2B,2019,2020,28.2
15,5289,1B,2B,Stolen Base 2B,545350,Jake Marisnick,570240,Félix Peña,543807,George Springer,R,Dustin Garneau,572863,0,3,2,True,2019-07-17,Stolen,2B,2019,2020,28.2
16,5310,1B,2B,Stolen Base 2B,545350,Jake Marisnick,598287,Noé Ramirez,543807,George Springer,R,Kevan Smith,607345,6,2,6,True,2019-07-16,Stolen,2B,2019,2020,28.2
17,5823,1B,2B,Stolen Base 2B,545350,Jake Marisnick,605288,Adrian Houser,502210,Josh Reddick,R,Yasmani Grandal,518735,3,3,13,False,2019-06-12,Stolen,2B,2019,2020,28.2
18,5842,1B,2B,Stolen Base 2B,545350,Jake Marisnick,642547,Freddy Peralta,608324,Alex Bregman,R,Yasmani Grandal,518735,2,1,2,False,2019-06-11,Stolen,2B,2019,2020,28.2
19,6028,1B,2B,Stolen Base 2B,545350,Jake Marisnick,571666,Mike Fiers,605233,Derek Fisher,R,Josh Phegley,572033,0,0,3,True,2019-05-31,Stolen,2B,2019,2020,28.2
20,6327,1B,2B,Stolen Base 2B,545350,Jake Marisnick,657585,Reed Garrett,543807,George Springer,R,Grayson Greiner,606988,1,6,9,True,2019-05-13,Stolen,2B,2019,2020,28.2
21,6351,1B,2B,Stolen Base 2B,545350,Jake Marisnick,491646,Jeanmar Gómez,455139,Robinson Chirinos,R,Jeff Mathis,425772,9,4,7,False,2019-05-11,Stolen,2B,2019,2020,28.2
22,6537,1B,2B,Stolen Base 2B,545350,Jake Marisnick,501381,Michael Pineda,543807,George Springer,R,Jason Castro,488771,0,1,3,True,2019-04-30,Stolen,2B,2019,2020,28.2
23,7041,1B,,Caught Stealing 2B,545350,Jake Marisnick,592716,Adrian Sampson,543807,George Springer,R,Isiah Kiner-Falefa,643396,1,2,9,True,2019-04-01,Caught,2B,2019,2020,28.2
