,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year,Sprint
0,3251,1B,2B,Stolen Base 2B,457803,Jay Bruce,613317,Kyle Bird,641487,J.P. Crawford,L,Jeff Mathis,425772,5,2,7,False,2019-05-27,Stolen,2B,2019,2020,24.9
1,6094,1B,2B,Stolen Base 2B,457803,Jay Bruce,613317,Kyle Bird,641487,J.P. Crawford,L,Jeff Mathis,425772,5,2,7,False,2019-05-27,Stolen,2B,2019,2020,24.9
2,8018,1B,2B,Stolen Base 2B,457803,Jay Bruce,613317,Kyle Bird,641487,J.P. Crawford,L,Jeff Mathis,425772,5,2,7,False,2019-05-27,Stolen,2B,2019,2020,24.9
3,93,1B,2B,Stolen Base 2B,457803,Jay Bruce,571951,Bryan Mitchell,453943,Todd Frazier,R,A.J. Ellis,454560,0,2,3,True,2018-04-29,Stolen,2B,2018,2019,26.7
4,418,2B,,Caught Stealing 3B,457803,Jay Bruce,606424,Jarlín García,642708,Amed Rosario,L,Chad Wallach,595453,1,0,5,True,2018-04-11,Caught,3B,2018,2019,26.7
5,1512,1B,2B,Stolen Base 2B,457803,Jay Bruce,542953,Buddy Boshers,467793,Carlos Santana,L,Jason Castro,488771,1,3,7,True,2017-08-15,Stolen,2B,2017,2018,25.5
6,3389,1B,,Caught Stealing 2B,457803,Jay Bruce,543408,Tom Koehler,435522,Neil Walker,R,J.T. Realmuto,592663,1,0,1,False,2017-05-05,Caught,2B,2017,2018,25.5
7,884,1B,2B,Stolen Base 2B,457803,Jay Bruce,542953,Buddy Boshers,467793,Carlos Santana,L,Jason Castro,488771,1,3,7,True,2017-08-15,Stolen,2B,2017,2018,25.5
8,2761,1B,,Caught Stealing 2B,457803,Jay Bruce,543408,Tom Koehler,435522,Neil Walker,R,J.T. Realmuto,592663,1,0,1,False,2017-05-05,Caught,2B,2017,2018,25.5
9,5410,1B,2B,Stolen Base 2B,457803,Jay Bruce,643327,Zack Godley,594807,Adam Duvall,R,Welington Castillo,456078,2,1,1,False,2016-07-24,Stolen,2B,2016,2017,26.3
10,5532,1B,,Caught Stealing 2B,457803,Jay Bruce,605538,Matt Wisler,594807,Adam Duvall,R,Anthony Recker,489232,0,0,2,False,2016-07-18,Caught,2B,2016,2017,26.3
11,5692,1B,,Caught Stealing 2B,457803,Jay Bruce,518748,Justin Grimm,571740,Billy Hamilton,R,Miguel Montero,471083,3,5,9,True,2016-07-06,Caught,2B,2016,2017,26.3
12,6154,1B,2B,Stolen Base 2B,457803,Jay Bruce,596043,Daniel Mengden,594807,Adam Duvall,R,Stephen Vogt,519390,2,1,5,False,2016-06-11,Stolen,2B,2016,2017,26.3
13,7164,1B,2B,Stolen Base 2B,457803,Jay Bruce,407822,Jorge De La Rosa,534627,Tyler Holt,L,Tony Wolters,547172,1,1,2,False,2016-04-19,Stolen,2B,2016,2017,26.3
14,7165,2B,3B,Stolen Base 3B,457803,Jay Bruce,407822,Jorge De La Rosa,596112,Robert Stephenson,L,Tony Wolters,547172,1,1,2,False,2016-04-19,Stolen,3B,2016,2017,26.3
15,1375,1B,2B,Stolen Base 2B,457803,Jay Bruce,643327,Zack Godley,594807,Adam Duvall,R,Welington Castillo,456078,2,1,1,False,2016-07-24,Stolen,2B,2016,2017,26.3
16,1497,1B,,Caught Stealing 2B,457803,Jay Bruce,605538,Matt Wisler,594807,Adam Duvall,R,Anthony Recker,489232,0,0,2,False,2016-07-18,Caught,2B,2016,2017,26.3
17,1657,1B,,Caught Stealing 2B,457803,Jay Bruce,518748,Justin Grimm,571740,Billy Hamilton,R,Miguel Montero,471083,3,5,9,True,2016-07-06,Caught,2B,2016,2017,26.3
18,2119,1B,2B,Stolen Base 2B,457803,Jay Bruce,596043,Daniel Mengden,594807,Adam Duvall,R,Stephen Vogt,519390,2,1,5,False,2016-06-11,Stolen,2B,2016,2017,26.3
19,3129,1B,2B,Stolen Base 2B,457803,Jay Bruce,407822,Jorge De La Rosa,534627,Tyler Holt,L,Tony Wolters,547172,1,1,2,False,2016-04-19,Stolen,2B,2016,2017,26.3
20,3130,2B,3B,Stolen Base 3B,457803,Jay Bruce,407822,Jorge De La Rosa,596112,Robert Stephenson,L,Tony Wolters,547172,1,1,2,False,2016-04-19,Stolen,3B,2016,2017,26.3
21,4782,1B,2B,Stolen Base 2B,457803,Jay Bruce,643327,Zack Godley,594807,Adam Duvall,R,Welington Castillo,456078,2,1,1,False,2016-07-24,Stolen,2B,2016,2017,26.3
22,4904,1B,,Caught Stealing 2B,457803,Jay Bruce,605538,Matt Wisler,594807,Adam Duvall,R,Anthony Recker,489232,0,0,2,False,2016-07-18,Caught,2B,2016,2017,26.3
