,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year,Sprint
0,127,2B,3B,Stolen Base 3B,621563,Joey Wendle,458677,Justin Wilson,595281,Kevin Kiermaier,L,Robinson Chirinos,455139,3,1,7,True,2020-09-22,Stolen,3B,2020,2021,27.9
1,141,2B,3B,Stolen Base 3B,621563,Joey Wendle,594798,Jacob deGrom,595281,Kevin Kiermaier,R,Wilson Ramos,467092,0,1,2,True,2020-09-21,Stolen,3B,2020,2021,27.9
2,143,1B,,Caught Stealing 2B,621563,Joey Wendle,594798,Jacob deGrom,622534,Manuel Margot,R,Wilson Ramos,467092,0,2,4,True,2020-09-21,Caught,2B,2020,2021,27.9
3,318,1B,2B,Stolen Base 2B,621563,Joey Wendle,607391,Chris Mazza,663993,Nathaniel Lowe,R,Kevin Plawecki,608700,4,2,6,False,2020-09-12,Stolen,2B,2020,2021,27.9
4,343,2B,3B,Stolen Base 3B,621563,Joey Wendle,664180,Matt Hall,595281,Kevin Kiermaier,L,Christian Vázquez,543877,2,0,3,False,2020-09-11,Stolen,3B,2020,2021,27.9
5,429,1B,2B,Stolen Base 2B,621563,Joey Wendle,453286,Max Scherzer,596847,Ji Man Choi,R,Kurt Suzuki,435559,1,0,3,True,2020-09-07,Stolen,2B,2020,2021,27.9
6,494,1B,2B,Stolen Base 2B,621563,Joey Wendle,641154,Pablo López,640457,Austin Meadows,R,Jorge Alfaro,595751,1,2,4,False,2020-09-04,Stolen,2B,2020,2021,27.9
7,757,1B,,Caught Stealing 2B,621563,Joey Wendle,542914,Anthony Bass,622534,Manuel Margot,R,Danny Jansen,643376,4,4,8,False,2020-08-21,Caught,2B,2020,2021,27.9
8,888,1B,2B,Stolen Base 2B,621563,Joey Wendle,543699,Tanner Roark,660294,Yoshi Tsutsugo,R,Danny Jansen,643376,0,2,1,True,2020-08-14,Stolen,2B,2020,2021,27.9
9,1044,1B,2B,Stolen Base 2B,621563,Joey Wendle,570488,Phillips Valdez,592669,Hunter Renfroe,R,Christian Vázquez,543877,4,1,6,False,2020-08-04,Stolen,2B,2020,2021,27.9
