,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year,Sprint
0,1182,1B,2B,Stolen Base 2B,642165,Josh VanMeter,518886,Craig Kimbrel,673451,Shogo Akiyama,R,Willson Contreras,575929,5,8,9,False,2020-07-27,Stolen,2B,2020,2021,26.8
1,4025,1B,2B,Stolen Base 2B,642165,Josh VanMeter,518886,Craig Kimbrel,673451,Shogo Akiyama,R,Willson Contreras,575929,5,8,9,False,2020-07-27,Stolen,2B,2020,2021,26.8
2,5949,1B,2B,Stolen Base 2B,642165,Josh VanMeter,518886,Craig Kimbrel,673451,Shogo Akiyama,R,Willson Contreras,575929,5,8,9,False,2020-07-27,Stolen,2B,2020,2021,26.8
3,1435,1B,2B,Stolen Base 2B,642165,Josh VanMeter,501593,Luis Avilán,458015,Joey Votto,L,Wilson Ramos,467092,0,5,8,False,2019-09-20,Stolen,2B,2019,2020,26.5
4,1551,1B,2B,Stolen Base 2B,642165,Josh VanMeter,643290,Justin Dunn,458015,Joey Votto,R,Omar Narváez,553882,0,0,1,True,2019-09-12,Stolen,2B,2019,2020,26.5
5,1552,2B,3B,Stolen Base 3B,642165,Josh VanMeter,643290,Justin Dunn,553993,Eugenio Suárez,R,Omar Narváez,553882,0,0,1,True,2019-09-12,Stolen,3B,2019,2020,26.5
6,1863,1B,2B,Stolen Base 2B,642165,Josh VanMeter,642607,Dario Agrazal,520471,Freddy Galvis,R,Elias Díaz,553869,0,0,1,True,2019-08-25,Stolen,2B,2019,2020,26.5
7,1939,1B,2B,Stolen Base 2B,642165,Josh VanMeter,615698,Cal Quantrill,520471,Freddy Galvis,R,Austin Hedges,595978,0,0,1,False,2019-08-20,Stolen,2B,2019,2020,26.5
8,2082,2B,,Caught Stealing 3B,642165,Josh VanMeter,543294,Kyle Hendricks,606157,Aristides Aquino,R,Jonathan Lucroy,518960,1,0,1,False,2019-08-10,Caught,3B,2019,2020,26.5
9,2174,1B,2B,Stolen Base 2B,642165,Josh VanMeter,527054,Julio Teheran,669222,Nick Senzel,R,Tyler Flowers,452095,0,3,5,True,2019-08-04,Stolen,2B,2019,2020,26.5
10,2203,1B,2B,Stolen Base 2B,642165,Josh VanMeter,592332,Kevin Gausman,669222,Nick Senzel,R,Tyler Flowers,452095,0,3,3,True,2019-08-02,Stolen,2B,2019,2020,26.5
11,2236,1B,2B,Stolen Base 2B,642165,Josh VanMeter,434538,Francisco Liriano,669222,Nick Senzel,L,Elias Díaz,553869,4,0,7,False,2019-07-31,Stolen,2B,2019,2020,26.5
12,2293,1B,,Caught Stealing 2B,642165,Josh VanMeter,545064,Jairo Díaz,669222,Nick Senzel,R,Tony Wolters,547172,3,1,6,False,2019-07-27,Caught,2B,2019,2020,26.5
13,2889,1B,,Caught Stealing 2B,642165,Josh VanMeter,606965,Chris Devenski,669222,Nick Senzel,R,Robinson Chirinos,455139,4,3,8,False,2019-06-18,Caught,2B,2019,2020,26.5
14,3618,1B,2B,Stolen Base 2B,642165,Josh VanMeter,606625,Reyes Moronta,571466,Tucker Barnhart,R,Buster Posey,457763,4,4,7,False,2019-05-05,Stolen,2B,2019,2020,26.5
15,4278,1B,2B,Stolen Base 2B,642165,Josh VanMeter,501593,Luis Avilán,458015,Joey Votto,L,Wilson Ramos,467092,0,5,8,False,2019-09-20,Stolen,2B,2019,2020,26.5
16,4394,1B,2B,Stolen Base 2B,642165,Josh VanMeter,643290,Justin Dunn,458015,Joey Votto,R,Omar Narváez,553882,0,0,1,True,2019-09-12,Stolen,2B,2019,2020,26.5
17,4395,2B,3B,Stolen Base 3B,642165,Josh VanMeter,643290,Justin Dunn,553993,Eugenio Suárez,R,Omar Narváez,553882,0,0,1,True,2019-09-12,Stolen,3B,2019,2020,26.5
18,4706,1B,2B,Stolen Base 2B,642165,Josh VanMeter,642607,Dario Agrazal,520471,Freddy Galvis,R,Elias Díaz,553869,0,0,1,True,2019-08-25,Stolen,2B,2019,2020,26.5
19,4782,1B,2B,Stolen Base 2B,642165,Josh VanMeter,615698,Cal Quantrill,520471,Freddy Galvis,R,Austin Hedges,595978,0,0,1,False,2019-08-20,Stolen,2B,2019,2020,26.5
20,4925,2B,,Caught Stealing 3B,642165,Josh VanMeter,543294,Kyle Hendricks,606157,Aristides Aquino,R,Jonathan Lucroy,518960,1,0,1,False,2019-08-10,Caught,3B,2019,2020,26.5
21,5017,1B,2B,Stolen Base 2B,642165,Josh VanMeter,527054,Julio Teheran,669222,Nick Senzel,R,Tyler Flowers,452095,0,3,5,True,2019-08-04,Stolen,2B,2019,2020,26.5
22,5046,1B,2B,Stolen Base 2B,642165,Josh VanMeter,592332,Kevin Gausman,669222,Nick Senzel,R,Tyler Flowers,452095,0,3,3,True,2019-08-02,Stolen,2B,2019,2020,26.5
23,5079,1B,2B,Stolen Base 2B,642165,Josh VanMeter,434538,Francisco Liriano,669222,Nick Senzel,L,Elias Díaz,553869,4,0,7,False,2019-07-31,Stolen,2B,2019,2020,26.5
24,5136,1B,,Caught Stealing 2B,642165,Josh VanMeter,545064,Jairo Díaz,669222,Nick Senzel,R,Tony Wolters,547172,3,1,6,False,2019-07-27,Caught,2B,2019,2020,26.5
25,5732,1B,,Caught Stealing 2B,642165,Josh VanMeter,606965,Chris Devenski,669222,Nick Senzel,R,Robinson Chirinos,455139,4,3,8,False,2019-06-18,Caught,2B,2019,2020,26.5
26,6461,1B,2B,Stolen Base 2B,642165,Josh VanMeter,606625,Reyes Moronta,571466,Tucker Barnhart,R,Buster Posey,457763,4,4,7,False,2019-05-05,Stolen,2B,2019,2020,26.5
27,6202,1B,2B,Stolen Base 2B,642165,Josh VanMeter,501593,Luis Avilán,458015,Joey Votto,L,Wilson Ramos,467092,0,5,8,False,2019-09-20,Stolen,2B,2019,2020,26.5
28,6318,1B,2B,Stolen Base 2B,642165,Josh VanMeter,643290,Justin Dunn,458015,Joey Votto,R,Omar Narváez,553882,0,0,1,True,2019-09-12,Stolen,2B,2019,2020,26.5
29,6319,2B,3B,Stolen Base 3B,642165,Josh VanMeter,643290,Justin Dunn,553993,Eugenio Suárez,R,Omar Narváez,553882,0,0,1,True,2019-09-12,Stolen,3B,2019,2020,26.5
30,6630,1B,2B,Stolen Base 2B,642165,Josh VanMeter,642607,Dario Agrazal,520471,Freddy Galvis,R,Elias Díaz,553869,0,0,1,True,2019-08-25,Stolen,2B,2019,2020,26.5
31,6706,1B,2B,Stolen Base 2B,642165,Josh VanMeter,615698,Cal Quantrill,520471,Freddy Galvis,R,Austin Hedges,595978,0,0,1,False,2019-08-20,Stolen,2B,2019,2020,26.5
32,6849,2B,,Caught Stealing 3B,642165,Josh VanMeter,543294,Kyle Hendricks,606157,Aristides Aquino,R,Jonathan Lucroy,518960,1,0,1,False,2019-08-10,Caught,3B,2019,2020,26.5
