,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year,Sprint
0,339,1B,2B,Stolen Base 2B,663647,Ke'Bryan Hayes,663460,Kris Bubic,592567,Colin Moran,L,Salvador Perez,521692,3,1,5,True,2020-09-11,Stolen,2B,2020,2021,27.8
1,3182,1B,2B,Stolen Base 2B,663647,Ke'Bryan Hayes,663460,Kris Bubic,592567,Colin Moran,L,Salvador Perez,521692,3,1,5,True,2020-09-11,Stolen,2B,2020,2021,27.8
2,5106,1B,2B,Stolen Base 2B,663647,Ke'Bryan Hayes,663460,Kris Bubic,592567,Colin Moran,L,Salvador Perez,521692,3,1,5,True,2020-09-11,Stolen,2B,2020,2021,27.8
3,110,1B,2B,Stolen Base 2B,663647,Ke'Bryan Hayes,593576,Héctor Neris,660294,Yoshi Tsutsugo,R,J.T. Realmuto,592663,5,6,7,True,2021-09-24,Stolen,2B,2021,2022,27.9
4,165,1B,2B,Stolen Base 2B,663647,Ke'Bryan Hayes,605521,Art Warren,657061,Cole Tucker,R,Tucker Barnhart,571466,2,6,8,True,2021-09-21,Stolen,2B,2021,2022,27.9
5,263,1B,2B,Stolen Base 2B,663647,Ke'Bryan Hayes,661269,Vladimir Gutierrez,660294,Yoshi Tsutsugo,R,Tucker Barnhart,571466,1,2,3,False,2021-09-15,Stolen,2B,2021,2022,27.9
6,356,1B,2B,Stolen Base 2B,663647,Ke'Bryan Hayes,666159,Matt Manning,668804,Bryan Reynolds,R,Dustin Garneau,572863,0,1,1,False,2021-09-08,Stolen,2B,2021,2022,27.9
7,372,1B,2B,Stolen Base 2B,663647,Ke'Bryan Hayes,503449,Wily Peralta,660294,Yoshi Tsutsugo,R,Eric Haase,606992,1,2,4,False,2021-09-07,Stolen,2B,2021,2022,27.9
8,612,1B,2B,Stolen Base 2B,663647,Ke'Bryan Hayes,650668,Humberto Mejía,592567,Colin Moran,R,Carson Kelly,608348,0,0,1,False,2021-08-23,Stolen,2B,2021,2022,27.9
9,734,1B,2B,Stolen Base 2B,663647,Ke'Bryan Hayes,664776,Jake Cousins,668804,Bryan Reynolds,R,Manny Piña,444489,1,2,6,False,2021-08-15,Stolen,2B,2021,2022,27.9
10,1423,1B,2B,Stolen Base 2B,663647,Ke'Bryan Hayes,592351,Jon Gray,668804,Bryan Reynolds,R,Dom Nuñez,624513,0,2,3,True,2021-06-30,Stolen,2B,2021,2022,27.9
11,1547,1B,2B,Stolen Base 2B,663647,Ke'Bryan Hayes,656302,Dylan Cease,668804,Bryan Reynolds,R,Yasmani Grandal,518735,2,2,3,False,2021-06-23,Stolen,2B,2021,2022,27.9
12,1691,1B,,Caught Stealing 2B,663647,Ke'Bryan Hayes,605288,Adrian Houser,668804,Bryan Reynolds,R,Manny Piña,444489,0,0,1,True,2021-06-13,Caught,2B,2021,2022,27.9
13,2034,1B,2B,Stolen Base 2B,663647,Ke'Bryan Hayes,593576,Héctor Neris,660294,Yoshi Tsutsugo,R,J.T. Realmuto,592663,5,6,7,True,2021-09-24,Stolen,2B,2021,2022,27.9
14,2089,1B,2B,Stolen Base 2B,663647,Ke'Bryan Hayes,605521,Art Warren,657061,Cole Tucker,R,Tucker Barnhart,571466,2,6,8,True,2021-09-21,Stolen,2B,2021,2022,27.9
15,2187,1B,2B,Stolen Base 2B,663647,Ke'Bryan Hayes,661269,Vladimir Gutierrez,660294,Yoshi Tsutsugo,R,Tucker Barnhart,571466,1,2,3,False,2021-09-15,Stolen,2B,2021,2022,27.9
16,2280,1B,2B,Stolen Base 2B,663647,Ke'Bryan Hayes,666159,Matt Manning,668804,Bryan Reynolds,R,Dustin Garneau,572863,0,1,1,False,2021-09-08,Stolen,2B,2021,2022,27.9
17,2296,1B,2B,Stolen Base 2B,663647,Ke'Bryan Hayes,503449,Wily Peralta,660294,Yoshi Tsutsugo,R,Eric Haase,606992,1,2,4,False,2021-09-07,Stolen,2B,2021,2022,27.9
