,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year,Sprint
0,119,1B,2B,Stolen Base 2B,650859,Luis Rengifo,605200,Zach Davies,664058,David Fletcher,R,Austin Nola,543592,1,1,2,True,2020-09-22,Stolen,2B,2020,2021,28.1
1,120,1B,2B,Stolen Base 2B,650859,Luis Rengifo,605200,Zach Davies,664058,David Fletcher,R,Austin Nola,543592,1,3,6,True,2020-09-22,Stolen,2B,2020,2021,28.1
2,558,1B,2B,Stolen Base 2B,650859,Luis Rengifo,643290,Justin Dunn,660271,Shohei Ohtani,R,Joseph Odom,641929,0,0,6,False,2020-08-30,Stolen,2B,2020,2021,28.1
3,2962,1B,2B,Stolen Base 2B,650859,Luis Rengifo,605200,Zach Davies,664058,David Fletcher,R,Austin Nola,543592,1,1,2,True,2020-09-22,Stolen,2B,2020,2021,28.1
4,2963,1B,2B,Stolen Base 2B,650859,Luis Rengifo,605200,Zach Davies,664058,David Fletcher,R,Austin Nola,543592,1,3,6,True,2020-09-22,Stolen,2B,2020,2021,28.1
5,3401,1B,2B,Stolen Base 2B,650859,Luis Rengifo,643290,Justin Dunn,660271,Shohei Ohtani,R,Joseph Odom,641929,0,0,6,False,2020-08-30,Stolen,2B,2020,2021,28.1
6,4886,1B,2B,Stolen Base 2B,650859,Luis Rengifo,605200,Zach Davies,664058,David Fletcher,R,Austin Nola,543592,1,1,2,True,2020-09-22,Stolen,2B,2020,2021,28.1
7,4887,1B,2B,Stolen Base 2B,650859,Luis Rengifo,605200,Zach Davies,664058,David Fletcher,R,Austin Nola,543592,1,3,6,True,2020-09-22,Stolen,2B,2020,2021,28.1
8,5325,1B,2B,Stolen Base 2B,650859,Luis Rengifo,643290,Justin Dunn,660271,Shohei Ohtani,R,Joseph Odom,641929,0,0,6,False,2020-08-30,Stolen,2B,2020,2021,28.1
9,1592,1B,2B,Stolen Base 2B,650859,Luis Rengifo,580792,Nick Goody,607345,Kevan Smith,R,Roberto Pérez,547379,3,4,8,False,2019-09-11,Stolen,2B,2019,2020,27.6
10,1947,1B,,Caught Stealing 2B,650859,Luis Rengifo,605260,Taylor Guerrieri,642136,Matt Thaiss,R,Jose Trevino,624431,1,5,8,True,2019-08-20,Caught,2B,2019,2020,27.6
11,2011,1B,,Caught Stealing 2B,650859,Luis Rengifo,664129,Geoff Hartlieb,541600,Wilfredo Tovar,R,Elias Díaz,553869,7,3,8,False,2019-08-14,Caught,2B,2019,2020,27.6
12,2502,2B,3B,Stolen Base 3B,650859,Luis Rengifo,518715,Cory Gearrin,642136,Matt Thaiss,R,Tom Murphy,608596,3,3,6,False,2019-07-14,Stolen,3B,2019,2020,27.6
13,2603,1B,,Caught Stealing 2B,650859,Luis Rengifo,657624,Josh James,664058,David Fletcher,R,Robinson Chirinos,455139,4,5,9,True,2019-07-05,Caught,2B,2019,2020,27.6
14,2663,1B,,Caught Stealing 2B,650859,Luis Rengifo,605260,Taylor Guerrieri,642136,Matt Thaiss,R,Jose Trevino,624431,1,5,8,True,2019-07-01,Caught,2B,2019,2020,27.6
15,3170,1B,,Caught Stealing 2B,650859,Luis Rengifo,543548,Tommy Milone,664058,David Fletcher,L,Tom Murphy,608596,0,3,4,True,2019-06-01,Caught,2B,2019,2020,27.6
16,4435,1B,2B,Stolen Base 2B,650859,Luis Rengifo,580792,Nick Goody,607345,Kevan Smith,R,Roberto Pérez,547379,3,4,8,False,2019-09-11,Stolen,2B,2019,2020,27.6
17,4790,1B,,Caught Stealing 2B,650859,Luis Rengifo,605260,Taylor Guerrieri,642136,Matt Thaiss,R,Jose Trevino,624431,1,5,8,True,2019-08-20,Caught,2B,2019,2020,27.6
18,4854,1B,,Caught Stealing 2B,650859,Luis Rengifo,664129,Geoff Hartlieb,541600,Wilfredo Tovar,R,Elias Díaz,553869,7,3,8,False,2019-08-14,Caught,2B,2019,2020,27.6
