,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year,Sprint
0,123,2B,,Caught Stealing 3B,672580,Maikel Garcia,681857,Reese Olson,521692,Salvador Perez,R,Jake Rogers,668670,0,0,1,True,2023-09-26,Caught,3B,2023,2024,27.9
1,176,1B,2B,Stolen Base 2B,672580,Maikel Garcia,641585,J.P. France,677951,Bobby Witt Jr.,R,Yainer Diaz,673237,0,0,1,True,2023-09-23,Stolen,2B,2023,2024,27.9
2,365,1B,2B,Stolen Base 2B,672580,Maikel Garcia,641585,J.P. France,677951,Bobby Witt Jr.,R,Yainer Diaz,673237,0,0,1,False,2023-09-16,Stolen,2B,2023,2024,27.9
3,458,1B,2B,Stolen Base 2B,672580,Maikel Garcia,656629,Michael Kopech,521692,Salvador Perez,R,Carlos Pérez,656024,9,11,9,True,2023-09-12,Stolen,2B,2023,2024,27.9
4,469,1B,2B,Stolen Base 2B,672580,Maikel Garcia,656629,Michael Kopech,521692,Salvador Perez,R,Carlos Pérez,656024,9,11,9,True,2023-09-11,Stolen,2B,2023,2024,27.9
5,512,1B,,Caught Stealing 2B,672580,Maikel Garcia,621244,José Berríos,677951,Bobby Witt Jr.,R,Alejandro Kirk,672386,0,1,6,True,2023-09-10,Caught,2B,2023,2024,27.9
6,710,1B,2B,Stolen Base 2B,672580,Maikel Garcia,519242,Chris Sale,677951,Bobby Witt Jr.,L,Connor Wong,657136,0,0,3,False,2023-09-03,Stolen,2B,2023,2024,27.9
7,960,1B,2B,Stolen Base 2B,672580,Maikel Garcia,661309,Adrián Martínez,677951,Bobby Witt Jr.,R,Shea Langeliers,669127,0,1,3,True,2023-08-23,Stolen,2B,2023,2024,27.9
8,961,2B,,Caught Stealing 3B,672580,Maikel Garcia,661309,Adrián Martínez,677951,Bobby Witt Jr.,R,Shea Langeliers,669127,0,1,3,True,2023-08-23,Caught,3B,2023,2024,27.9
9,1129,1B,,Caught Stealing 2B,672580,Maikel Garcia,676106,Emerson Hancock,686681,Michael Massey,R,Cal Raleigh,663728,0,0,1,False,2023-08-15,Caught,2B,2023,2024,27.9
10,1292,1B,2B,Stolen Base 2B,672580,Maikel Garcia,659275,Dinelson Lamet,677951,Bobby Witt Jr.,R,Connor Wong,657136,2,3,6,True,2023-08-08,Stolen,2B,2023,2024,27.9
11,1377,1B,2B,Stolen Base 2B,672580,Maikel Garcia,650911,Cristopher Sánchez,677951,Bobby Witt Jr.,L,J.T. Realmuto,592663,3,5,5,True,2023-08-05,Stolen,2B,2023,2024,27.9
12,1378,2B,3B,Stolen Base 3B,672580,Maikel Garcia,650911,Cristopher Sánchez,622110,Matt Duffy,L,J.T. Realmuto,592663,3,6,5,True,2023-08-05,Stolen,3B,2023,2024,27.9
13,1454,1B,2B,Stolen Base 2B,672580,Maikel Garcia,641627,Trevor Gott,677951,Bobby Witt Jr.,R,Francisco Alvarez,682626,3,1,7,False,2023-08-01,Stolen,2B,2023,2024,27.9
14,1878,1B,,Caught Stealing 2B,672580,Maikel Garcia,680704,Nick Sandlin,677951,Bobby Witt Jr.,R,David Fry,681807,1,4,7,True,2023-07-09,Caught,2B,2023,2024,27.9
