,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year,Sprint
0,814,1B,,Caught Stealing 2B,466320,Melky Cabrera,457918,J.A. Happ,543333,Eric Hosmer,L,Luke Maile,571912,0,1,3,True,2017-09-21,Caught,2B,2017,2018,26.0
1,1508,1B,,Caught Stealing 2B,466320,Melky Cabrera,434672,Chris Smith,461235,Brandon Moss,R,Dustin Garneau,572863,0,3,1,True,2017-08-15,Caught,2B,2017,2018,26.0
2,1633,1B,2B,Stolen Base 2B,466320,Melky Cabrera,608379,Michael Wacha,593528,Jorge Bonifacio,R,Yadier Molina,425877,0,1,4,False,2017-08-08,Stolen,2B,2017,2018,26.0
3,186,1B,,Caught Stealing 2B,466320,Melky Cabrera,457918,J.A. Happ,543333,Eric Hosmer,L,Luke Maile,571912,0,1,3,True,2017-09-21,Caught,2B,2017,2018,26.0
4,880,1B,,Caught Stealing 2B,466320,Melky Cabrera,434672,Chris Smith,461235,Brandon Moss,R,Dustin Garneau,572863,0,3,1,True,2017-08-15,Caught,2B,2017,2018,26.0
5,1005,1B,2B,Stolen Base 2B,466320,Melky Cabrera,608379,Michael Wacha,593528,Jorge Bonifacio,R,Yadier Molina,425877,0,1,4,False,2017-08-08,Stolen,2B,2017,2018,26.0
6,4821,1B,2B,Stolen Base 2B,466320,Melky Cabrera,521230,Liam Hendriks,547989,José Abreu,R,Bruce Maxwell,622194,4,2,5,False,2016-08-21,Stolen,2B,2016,2017,26.2
7,5488,1B,2B,Stolen Base 2B,466320,Melky Cabrera,433587,Félix Hernández,547989,José Abreu,R,Mike Zunino,572287,0,4,2,True,2016-07-20,Stolen,2B,2016,2017,26.2
8,786,1B,2B,Stolen Base 2B,466320,Melky Cabrera,521230,Liam Hendriks,547989,José Abreu,R,Bruce Maxwell,622194,4,2,5,False,2016-08-21,Stolen,2B,2016,2017,26.2
9,1453,1B,2B,Stolen Base 2B,466320,Melky Cabrera,433587,Félix Hernández,547989,José Abreu,R,Mike Zunino,572287,0,4,2,True,2016-07-20,Stolen,2B,2016,2017,26.2
10,4193,1B,2B,Stolen Base 2B,466320,Melky Cabrera,521230,Liam Hendriks,547989,José Abreu,R,Bruce Maxwell,622194,4,2,5,False,2016-08-21,Stolen,2B,2016,2017,26.2
11,4860,1B,2B,Stolen Base 2B,466320,Melky Cabrera,433587,Félix Hernández,547989,José Abreu,R,Mike Zunino,572287,0,4,2,True,2016-07-20,Stolen,2B,2016,2017,26.2
12,181,1B,2B,Stolen Base 2B,466320,Melky Cabrera,519166,Neil Ramírez,541645,Avisaíl García,R,Miguel Montero,471083,1,5,8,True,2015-07-11,Stolen,2B,2015,2016,25.6
