,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year,Sprint
0,1339,1B,,Caught Stealing 2B,609280,Miguel Andujar,621261,Corey Oswalt,518934,DJ LeMahieu,R,James McCann,543510,3,0,2,False,2021-07-04,Caught,2B,2021,2022,27.4
1,3263,1B,,Caught Stealing 2B,609280,Miguel Andujar,621261,Corey Oswalt,518934,DJ LeMahieu,R,James McCann,543510,3,0,2,False,2021-07-04,Caught,2B,2021,2022,27.4
2,231,1B,2B,Stolen Base 2B,609280,Miguel Andujar,543294,Kyle Hendricks,669707,Jared Triolo,R,Yan Gomes,543228,0,3,5,True,2023-09-21,Stolen,2B,2023,2024,26.6
3,455,1B,2B,Stolen Base 2B,609280,Miguel Andujar,676395,Robert Garcia,675961,Alika Williams,L,Keibert Ruiz,660688,3,1,5,False,2023-09-12,Stolen,2B,2023,2024,26.6
4,4645,1B,2B,Stolen Base 2B,609280,Miguel Andujar,543294,Kyle Hendricks,669707,Jared Triolo,R,Yan Gomes,543228,0,3,5,True,2023-09-21,Stolen,2B,2023,2024,26.6
5,4869,1B,2B,Stolen Base 2B,609280,Miguel Andujar,676395,Robert Garcia,675961,Alika Williams,L,Keibert Ruiz,660688,3,1,5,False,2023-09-12,Stolen,2B,2023,2024,26.6
6,835,2B,3B,Stolen Base 3B,609280,Miguel Andujar,672282,Reid Detmers,543309,Kyle Higashioka,L,Kurt Suzuki,435559,0,0,2,False,2022-06-02,Stolen,3B,2022,2023,27.7
7,871,1B,2B,Stolen Base 2B,609280,Miguel Andujar,592789,Noah Syndergaard,572761,Matt Carpenter,R,Max Stassi,545358,4,0,1,False,2022-05-31,Stolen,2B,2022,2023,27.7
8,974,1B,2B,Stolen Base 2B,609280,Miguel Andujar,669330,Tyler Wells,608336,Joey Gallo,R,Adley Rutschman,668939,2,0,4,False,2022-05-25,Stolen,2B,2022,2023,27.7
9,2322,1B,2B,Stolen Base 2B,609280,Miguel Andujar,571476,Chris Beck,642180,Tyler Wade,R,Omar Narváez,553882,2,8,8,True,2017-06-28,Stolen,2B,2017,2018,27.8
10,1694,1B,2B,Stolen Base 2B,609280,Miguel Andujar,571476,Chris Beck,642180,Tyler Wade,R,Omar Narváez,553882,2,8,8,True,2017-06-28,Stolen,2B,2017,2018,27.8
