,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year,Sprint
0,217,1B,2B,Stolen Base 2B,645302,Victor Robles,664350,Sixto Sánchez,607208,Trea Turner,R,Jorge Alfaro,595751,0,5,4,True,2020-09-18,Stolen,2B,2020,2021,28.3
1,411,2B,3B,Stolen Base 3B,645302,Victor Robles,642232,Ryan Yarbrough,665742,Juan Soto,L,Michael Pérez,605421,1,0,1,False,2020-09-08,Stolen,3B,2020,2021,28.3
2,471,2B,3B,Stolen Base 3B,645302,Victor Robles,608331,Max Fried,452678,Asdrúbal Cabrera,L,Travis d'Arnaud,518595,0,0,1,True,2020-09-05,Stolen,3B,2020,2021,28.3
3,610,3B,score,Caught Stealing 2B,645302,Victor Robles,527048,Martín Pérez,665742,Juan Soto,L,Christian Vázquez,543877,1,6,4,True,2020-08-28,Caught,2B,2020,2021,28.3
4,728,1B,2B,Stolen Base 2B,645302,Victor Robles,650668,Humberto Mejía,607208,Trea Turner,R,Brian Navarreto,640459,2,1,2,False,2020-08-23,Stolen,2B,2020,2021,28.3
5,1202,1B,,Caught Stealing 2B,645302,Victor Robles,642528,Jonathan Loáisiga,543228,Yan Gomes,R,Gary Sánchez,596142,0,0,2,False,2020-07-26,Caught,2B,2020,2021,28.3
6,1244,1B,2B,Stolen Base 2B,645302,Victor Robles,571710,Mychal Givens,607208,Trea Turner,R,Pedro Severino,600474,6,4,7,False,2020-07-21,Stolen,2B,2020,2021,28.3
7,3060,1B,2B,Stolen Base 2B,645302,Victor Robles,664350,Sixto Sánchez,607208,Trea Turner,R,Jorge Alfaro,595751,0,5,4,True,2020-09-18,Stolen,2B,2020,2021,28.3
8,3254,2B,3B,Stolen Base 3B,645302,Victor Robles,642232,Ryan Yarbrough,665742,Juan Soto,L,Michael Pérez,605421,1,0,1,False,2020-09-08,Stolen,3B,2020,2021,28.3
9,3314,2B,3B,Stolen Base 3B,645302,Victor Robles,608331,Max Fried,452678,Asdrúbal Cabrera,L,Travis d'Arnaud,518595,0,0,1,True,2020-09-05,Stolen,3B,2020,2021,28.3
10,3453,3B,score,Caught Stealing 2B,645302,Victor Robles,527048,Martín Pérez,665742,Juan Soto,L,Christian Vázquez,543877,1,6,4,True,2020-08-28,Caught,2B,2020,2021,28.3
11,3571,1B,2B,Stolen Base 2B,645302,Victor Robles,650668,Humberto Mejía,607208,Trea Turner,R,Brian Navarreto,640459,2,1,2,False,2020-08-23,Stolen,2B,2020,2021,28.3
12,4045,1B,,Caught Stealing 2B,645302,Victor Robles,642528,Jonathan Loáisiga,543228,Yan Gomes,R,Gary Sánchez,596142,0,0,2,False,2020-07-26,Caught,2B,2020,2021,28.3
13,4087,1B,2B,Stolen Base 2B,645302,Victor Robles,571710,Mychal Givens,607208,Trea Turner,R,Pedro Severino,600474,6,4,7,False,2020-07-21,Stolen,2B,2020,2021,28.3
