,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year,Sprint
0,2251,1B,2B,Stolen Base 2B,570560,Yolmer Sánchez,592789,Noah Syndergaard,641553,Adam Engel,R,Tomás Nido,621512,0,2,6,False,2019-07-30,Stolen,2B,2019,2020,26.6
1,2292,2B,3B,Stolen Base 3B,570560,Yolmer Sánchez,543507,Trevor May,641553,Adam Engel,R,Mitch Garver,641598,5,1,8,False,2019-07-27,Stolen,3B,2019,2020,26.6
2,2860,1B,2B,Stolen Base 2B,570560,Yolmer Sánchez,452657,Jon Lester,608337,Lucas Giolito,L,Willson Contreras,575929,5,3,4,True,2019-06-19,Stolen,2B,2019,2020,26.6
3,3209,1B,,Caught Stealing 2B,570560,Yolmer Sánchez,471911,Carlos Carrasco,605508,Charles Tilson,R,Roberto Pérez,547379,4,2,4,False,2019-05-30,Caught,2B,2019,2020,26.6
4,3211,2B,3B,Stolen Base 3B,570560,Yolmer Sánchez,519096,Dan Otero,544725,Leury García,R,Roberto Pérez,547379,9,3,8,False,2019-05-30,Stolen,3B,2019,2020,26.6
5,3872,1B,2B,Stolen Base 2B,570560,Yolmer Sánchez,519455,Jordan Zimmermann,641553,Adam Engel,R,Grayson Greiner,606988,1,2,7,True,2019-04-19,Stolen,2B,2019,2020,26.6
6,3971,1B,,Caught Stealing 2B,570560,Yolmer Sánchez,547888,Masahiro Tanaka,544725,Leury García,R,Kyle Higashioka,543309,1,0,3,True,2019-04-14,Caught,2B,2019,2020,26.6
7,5094,1B,2B,Stolen Base 2B,570560,Yolmer Sánchez,592789,Noah Syndergaard,641553,Adam Engel,R,Tomás Nido,621512,0,2,6,False,2019-07-30,Stolen,2B,2019,2020,26.6
8,5135,2B,3B,Stolen Base 3B,570560,Yolmer Sánchez,543507,Trevor May,641553,Adam Engel,R,Mitch Garver,641598,5,1,8,False,2019-07-27,Stolen,3B,2019,2020,26.6
9,5703,1B,2B,Stolen Base 2B,570560,Yolmer Sánchez,452657,Jon Lester,608337,Lucas Giolito,L,Willson Contreras,575929,5,3,4,True,2019-06-19,Stolen,2B,2019,2020,26.6
10,6052,1B,,Caught Stealing 2B,570560,Yolmer Sánchez,471911,Carlos Carrasco,605508,Charles Tilson,R,Roberto Pérez,547379,4,2,4,False,2019-05-30,Caught,2B,2019,2020,26.6
11,6054,2B,3B,Stolen Base 3B,570560,Yolmer Sánchez,519096,Dan Otero,544725,Leury García,R,Roberto Pérez,547379,9,3,8,False,2019-05-30,Stolen,3B,2019,2020,26.6
12,6715,1B,2B,Stolen Base 2B,570560,Yolmer Sánchez,519455,Jordan Zimmermann,641553,Adam Engel,R,Grayson Greiner,606988,1,2,7,True,2019-04-19,Stolen,2B,2019,2020,26.6
13,6814,1B,,Caught Stealing 2B,570560,Yolmer Sánchez,547888,Masahiro Tanaka,544725,Leury García,R,Kyle Higashioka,543309,1,0,3,True,2019-04-14,Caught,2B,2019,2020,26.6
14,7018,1B,2B,Stolen Base 2B,570560,Yolmer Sánchez,592789,Noah Syndergaard,641553,Adam Engel,R,Tomás Nido,621512,0,2,6,False,2019-07-30,Stolen,2B,2019,2020,26.6
15,7059,2B,3B,Stolen Base 3B,570560,Yolmer Sánchez,543507,Trevor May,641553,Adam Engel,R,Mitch Garver,641598,5,1,8,False,2019-07-27,Stolen,3B,2019,2020,26.6
16,7627,1B,2B,Stolen Base 2B,570560,Yolmer Sánchez,452657,Jon Lester,608337,Lucas Giolito,L,Willson Contreras,575929,5,3,4,True,2019-06-19,Stolen,2B,2019,2020,26.6
17,7976,1B,,Caught Stealing 2B,570560,Yolmer Sánchez,471911,Carlos Carrasco,605508,Charles Tilson,R,Roberto Pérez,547379,4,2,4,False,2019-05-30,Caught,2B,2019,2020,26.6
18,7978,2B,3B,Stolen Base 3B,570560,Yolmer Sánchez,519096,Dan Otero,544725,Leury García,R,Roberto Pérez,547379,9,3,8,False,2019-05-30,Stolen,3B,2019,2020,26.6
19,8639,1B,2B,Stolen Base 2B,570560,Yolmer Sánchez,519455,Jordan Zimmermann,641553,Adam Engel,R,Grayson Greiner,606988,1,2,7,True,2019-04-19,Stolen,2B,2019,2020,26.6
20,8738,1B,,Caught Stealing 2B,570560,Yolmer Sánchez,547888,Masahiro Tanaka,544725,Leury García,R,Kyle Higashioka,543309,1,0,3,True,2019-04-14,Caught,2B,2019,2020,26.6
21,10,1B,,Caught Stealing 2B,570560,Yolmer Sánchez,543606,Jake Odorizzi,641313,Tim Anderson,R,Jason Castro,488771,4,5,5,False,2018-05-03,Caught,2B,2018,2019,27.7
22,183,2B,3B,Stolen Base 3B,570560,Yolmer Sánchez,433587,Félix Hernández,547170,Nicky Delmonico,R,Mike Zunino,572287,1,0,1,False,2018-04-25,Stolen,3B,2018,2019,27.7
23,209,1B,2B,Stolen Base 2B,570560,Yolmer Sánchez,453281,Wade LeBlanc,641313,Tim Anderson,L,Mike Zunino,572287,8,2,5,False,2018-04-23,Stolen,2B,2018,2019,27.7
24,609,1B,2B,Stolen Base 2B,570560,Yolmer Sánchez,448802,Jaime García,641553,Adam Engel,L,Russell Martin,431145,0,0,3,True,2018-04-02,Stolen,2B,2018,2019,27.7
25,678,1B,,Caught Stealing 2B,570560,Yolmer Sánchez,502032,Bud Norris,660162,Yoán Moncada,R,Carlos Pérez,542208,0,0,1,False,2017-09-28,Caught,2B,2017,2018,28.1
26,1093,1B,2B,Stolen Base 2B,570560,Yolmer Sánchez,517593,Danny Salazar,660162,Yoán Moncada,R,Yan Gomes,543228,0,3,1,False,2017-09-05,Stolen,2B,2017,2018,28.1
