,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year,Sprint
0,150,1B,2B,Stolen Base 2B,680869,Zack Gelof,593958,Eduardo Rodriguez,667670,Brent Rooker,L,Jake Rogers,668670,0,2,4,False,2023-09-24,Stolen,2B,2023,2024,28.7
1,254,1B,2B,Stolen Base 2B,680869,Zack Gelof,669923,George Kirby,676116,Ryan Noda,R,Cal Raleigh,663728,0,0,1,False,2023-09-20,Stolen,2B,2023,2024,28.7
2,305,1B,2B,Stolen Base 2B,680869,Zack Gelof,693433,Bryan Woo,664913,Seth Brown,R,Luis Torrens,620443,0,1,3,False,2023-09-18,Stolen,2B,2023,2024,28.7
3,391,1B,2B,Stolen Base 2B,680869,Zack Gelof,663158,Robert Suarez,667670,Brent Rooker,R,Luis Campusano,669134,3,5,8,False,2023-09-15,Stolen,2B,2023,2024,28.7
4,573,2B,,Caught Stealing 3B,680869,Zack Gelof,600917,José Leclerc,676116,Ryan Noda,R,Jonah Heim,641680,3,6,7,True,2023-09-08,Caught,3B,2023,2024,28.7
5,674,1B,2B,Stolen Base 2B,680869,Zack Gelof,621244,José Berríos,676116,Ryan Noda,R,Alejandro Kirk,672386,2,3,6,False,2023-09-04,Stolen,2B,2023,2024,28.7
6,835,1B,2B,Stolen Base 2B,680869,Zack Gelof,693433,Bryan Woo,664913,Seth Brown,R,Brian O'Keefe,657247,0,0,1,True,2023-08-28,Stolen,2B,2023,2024,28.7
7,982,1B,2B,Stolen Base 2B,680869,Zack Gelof,425844,Zack Greinke,542208,Carlos Pérez,R,Salvador Perez,521692,5,4,7,False,2023-08-22,Stolen,2B,2023,2024,28.7
8,1110,2B,3B,Stolen Base 3B,680869,Zack Gelof,669461,Matthew Liberatore,542208,Carlos Pérez,L,Andrew Knizner,668800,0,1,1,True,2023-08-16,Stolen,3B,2023,2024,28.7
9,1323,1B,2B,Stolen Base 2B,680869,Zack Gelof,518397,Scott Alexander,664913,Seth Brown,L,Patrick Bailey,672275,7,6,7,False,2023-08-06,Stolen,2B,2023,2024,28.7
10,1511,1B,2B,Stolen Base 2B,680869,Zack Gelof,656234,Jake Bird,668709,JJ Bleday,R,Elias Díaz,553869,2,6,6,True,2023-07-29,Stolen,2B,2023,2024,28.7
11,1512,2B,3B,Stolen Base 3B,680869,Zack Gelof,656234,Jake Bird,668709,JJ Bleday,R,Elias Díaz,553869,2,6,6,True,2023-07-29,Stolen,3B,2023,2024,28.7
12,1569,1B,2B,Stolen Base 2B,680869,Zack Gelof,502171,Alex Cobb,668709,JJ Bleday,R,Patrick Bailey,672275,1,0,6,True,2023-07-25,Stolen,2B,2023,2024,28.7
13,1654,1B,,Caught Stealing 2B,680869,Zack Gelof,664299,Cristian Javier,668709,JJ Bleday,R,Martín Maldonado,455117,0,0,4,False,2023-07-22,Caught,2B,2023,2024,28.7
14,1806,1B,2B,Stolen Base 2B,680869,Zack Gelof,641154,Pablo López,607054,Jace Peterson,R,Ryan Jeffers,680777,6,7,6,False,2023-07-15,Stolen,2B,2023,2024,28.7
15,1807,2B,3B,Stolen Base 3B,680869,Zack Gelof,641154,Pablo López,669397,Nick Allen,R,Ryan Jeffers,680777,7,7,6,False,2023-07-15,Stolen,3B,2023,2024,28.7
16,4564,1B,2B,Stolen Base 2B,680869,Zack Gelof,593958,Eduardo Rodriguez,667670,Brent Rooker,L,Jake Rogers,668670,0,2,4,False,2023-09-24,Stolen,2B,2023,2024,28.7
17,4668,1B,2B,Stolen Base 2B,680869,Zack Gelof,669923,George Kirby,676116,Ryan Noda,R,Cal Raleigh,663728,0,0,1,False,2023-09-20,Stolen,2B,2023,2024,28.7
18,4719,1B,2B,Stolen Base 2B,680869,Zack Gelof,693433,Bryan Woo,664913,Seth Brown,R,Luis Torrens,620443,0,1,3,False,2023-09-18,Stolen,2B,2023,2024,28.7
19,4805,1B,2B,Stolen Base 2B,680869,Zack Gelof,663158,Robert Suarez,667670,Brent Rooker,R,Luis Campusano,669134,3,5,8,False,2023-09-15,Stolen,2B,2023,2024,28.7
20,4987,2B,,Caught Stealing 3B,680869,Zack Gelof,600917,José Leclerc,676116,Ryan Noda,R,Jonah Heim,641680,3,6,7,True,2023-09-08,Caught,3B,2023,2024,28.7
21,5088,1B,2B,Stolen Base 2B,680869,Zack Gelof,621244,José Berríos,676116,Ryan Noda,R,Alejandro Kirk,672386,2,3,6,False,2023-09-04,Stolen,2B,2023,2024,28.7
22,5249,1B,2B,Stolen Base 2B,680869,Zack Gelof,693433,Bryan Woo,664913,Seth Brown,R,Brian O'Keefe,657247,0,0,1,True,2023-08-28,Stolen,2B,2023,2024,28.7
23,5396,1B,2B,Stolen Base 2B,680869,Zack Gelof,425844,Zack Greinke,542208,Carlos Pérez,R,Salvador Perez,521692,5,4,7,False,2023-08-22,Stolen,2B,2023,2024,28.7
24,5524,2B,3B,Stolen Base 3B,680869,Zack Gelof,669461,Matthew Liberatore,542208,Carlos Pérez,L,Andrew Knizner,668800,0,1,1,True,2023-08-16,Stolen,3B,2023,2024,28.7
25,5737,1B,2B,Stolen Base 2B,680869,Zack Gelof,518397,Scott Alexander,664913,Seth Brown,L,Patrick Bailey,672275,7,6,7,False,2023-08-06,Stolen,2B,2023,2024,28.7
26,5925,1B,2B,Stolen Base 2B,680869,Zack Gelof,656234,Jake Bird,668709,JJ Bleday,R,Elias Díaz,553869,2,6,6,True,2023-07-29,Stolen,2B,2023,2024,28.7
27,5926,2B,3B,Stolen Base 3B,680869,Zack Gelof,656234,Jake Bird,668709,JJ Bleday,R,Elias Díaz,553869,2,6,6,True,2023-07-29,Stolen,3B,2023,2024,28.7
28,5983,1B,2B,Stolen Base 2B,680869,Zack Gelof,502171,Alex Cobb,668709,JJ Bleday,R,Patrick Bailey,672275,1,0,6,True,2023-07-25,Stolen,2B,2023,2024,28.7
29,6068,1B,,Caught Stealing 2B,680869,Zack Gelof,664299,Cristian Javier,668709,JJ Bleday,R,Martín Maldonado,455117,0,0,4,False,2023-07-22,Caught,2B,2023,2024,28.7
30,6220,1B,2B,Stolen Base 2B,680869,Zack Gelof,641154,Pablo López,607054,Jace Peterson,R,Ryan Jeffers,680777,6,7,6,False,2023-07-15,Stolen,2B,2023,2024,28.7
31,6221,2B,3B,Stolen Base 3B,680869,Zack Gelof,641154,Pablo López,669397,Nick Allen,R,Ryan Jeffers,680777,7,7,6,False,2023-07-15,Stolen,3B,2023,2024,28.7
