Start_Base,End_Base,Event,runner_id,runner_name,credit,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year
1B,,Caught Stealing 2B,660271,Shohei Ohtani,Austin Barnes,1,0,2,True,2020-09-27,Caught,2B,2020
2B,3B,Stolen Base 3B,606132,Raimel Tapia,Austin Barnes,1,2,1,False,2020-09-19,Stolen,3B,2020
2B,,Caught Stealing 3B,592518,Manny Machado,Austin Barnes,6,1,7,False,2020-09-14,Caught,3B,2020
1B,2B,Stolen Base 2B,641796,Tim Locastro,Austin Barnes,1,1,3,False,2020-09-08,Stolen,2B,2020
1B,2B,Stolen Base 2B,641796,Tim Locastro,Austin Barnes,6,6,9,False,2020-09-08,Stolen,2B,2020
1B,2B,Stolen Base 2B,606132,Raimel Tapia,Austin Barnes,0,0,1,True,2020-08-22,Stolen,2B,2020
1B,2B,Stolen Base 2B,656541,Sam Hilliard,Austin Barnes,2,1,5,True,2020-08-22,Stolen,2B,2020
1B,2B,Stolen Base 2B,596115,Trevor Story,Austin Barnes,4,1,6,True,2020-08-21,Stolen,2B,2020
1B,2B,Stolen Base 2B,543829,Dee Strange-Gordon,Austin Barnes,0,0,3,True,2020-08-18,Stolen,2B,2020
1B,2B,Stolen Base 2B,641786,Kyle Lewis,Austin Barnes,0,0,4,True,2020-08-18,Stolen,2B,2020
1B,2B,Stolen Base 2B,641487,J.P. Crawford,Austin Barnes,1,1,8,True,2020-08-18,Stolen,2B,2020
1B,2B,Stolen Base 2B,572122,Kyle Seager,Austin Barnes,6,8,7,True,2020-08-17,Stolen,2B,2020
1B,2B,Stolen Base 2B,545361,Mike Trout,Austin Barnes,5,4,5,False,2020-08-15,Stolen,2B,2020
1B,2B,Stolen Base 2B,665487,Fernando Tatis Jr.,Austin Barnes,1,6,5,True,2020-08-11,Stolen,2B,2020
1B,2B,Stolen Base 2B,647304,Josh Naylor,Austin Barnes,2,4,8,False,2020-08-04,Stolen,2B,2020
1B,2B,Stolen Base 2B,516782,Starling Marte,Austin Barnes,0,3,9,False,2020-08-02,Stolen,2B,2020
1B,2B,Stolen Base 2B,664702,Myles Straw,Austin Barnes,1,1,2,False,2020-07-29,Stolen,2B,2020
1B,2B,Stolen Base 2B,664702,Myles Straw,Austin Barnes,2,2,11,False,2020-07-29,Stolen,2B,2020
1B,,Caught Stealing 2B,596103,Austin Slater,Austin Barnes,1,5,6,True,2020-07-25,Caught,2B,2020
1B,2B,Stolen Base 2B,657557,Paul DeJong,Austin Barnes,1,1,4,False,2021-09-09,Stolen,2B,2021
1B,2B,Stolen Base 2B,596103,Austin Slater,Austin Barnes,1,0,5,False,2021-09-03,Stolen,2B,2021
1B,2B,Stolen Base 2B,656541,Sam Hilliard,Austin Barnes,0,3,4,True,2021-08-29,Stolen,2B,2021
1B,2B,Stolen Base 2B,591720,Ronald Torreyes,Austin Barnes,2,0,4,False,2021-08-12,Stolen,2B,2021
1B,,Caught Stealing 2B,501571,Juan Lagares,Austin Barnes,2,1,5,True,2021-08-06,Caught,2B,2021
1B,2B,Stolen Base 2B,664058,David Fletcher,Austin Barnes,2,2,6,True,2021-08-06,Stolen,2B,2021
1B,2B,Stolen Base 2B,608686,Jack Mayfield,Austin Barnes,2,2,8,True,2021-08-06,Stolen,2B,2021
3B,,Caught Stealing Home,660271,Shohei Ohtani,Austin Barnes,2,4,10,True,2021-08-06,Caught,Home,2021
1B,2B,Caught Stealing Home,608686,Jack Mayfield,Austin Barnes,2,4,10,True,2021-08-06,Caught,Home,2021
1B,2B,Stolen Base 2B,596103,Austin Slater,Austin Barnes,4,0,6,False,2021-07-29,Stolen,2B,2021
1B,2B,Stolen Base 2B,542932,Jon Berti,Austin Barnes,4,5,5,False,2021-07-07,Stolen,2B,2021
2B,3B,Stolen Base 3B,642423,Magneuris Sierra,Austin Barnes,5,5,8,False,2021-07-07,Stolen,3B,2021
1B,,Caught Stealing 2B,575929,Willson Contreras,Austin Barnes,0,1,4,True,2021-06-24,Caught,2B,2021
1B,2B,Stolen Base 2B,592178,Kris Bryant,Austin Barnes,0,1,6,True,2021-06-24,Stolen,2B,2021
2B,3B,Stolen Base 3B,643396,Isiah Kiner-Falefa,Austin Barnes,0,0,1,True,2021-06-13,Stolen,3B,2021
1B,2B,Stolen Base 2B,608336,Joey Gallo,Austin Barnes,0,0,1,True,2021-06-13,Stolen,2B,2021
1B,2B,Stolen Base 2B,660670,Ronald Acuña Jr.,Austin Barnes,6,4,7,False,2021-06-05,Stolen,2B,2021
2B,3B,Stolen Base 3B,660670,Ronald Acuña Jr.,Austin Barnes,6,4,7,False,2021-06-05,Stolen,3B,2021
1B,2B,Stolen Base 2B,518692,Freddie Freeman,Austin Barnes,6,4,7,False,2021-06-05,Stolen,2B,2021
1B,,Caught Stealing 2B,444482,David Peralta,Austin Barnes,0,2,4,True,2021-05-19,Caught,2B,2021
1B,2B,Stolen Base 2B,605119,Brian Anderson,Austin Barnes,0,0,2,True,2021-05-16,Stolen,2B,2021
1B,2B,Stolen Base 2B,665862,Jazz Chisholm Jr.,Austin Barnes,2,3,7,True,2021-05-16,Stolen,2B,2021
1B,2B,Stolen Base 2B,545350,Jake Marisnick,Austin Barnes,4,0,1,False,2021-05-04,Stolen,2B,2021
1B,2B,Stolen Base 2B,545121,Ildemaro Vargas,Austin Barnes,6,0,3,False,2021-05-04,Stolen,2B,2021
1B,2B,Stolen Base 2B,545350,Jake Marisnick,Austin Barnes,4,0,1,False,2021-05-03,Stolen,2B,2021
1B,2B,Stolen Base 2B,545121,Ildemaro Vargas,Austin Barnes,6,0,3,False,2021-05-03,Stolen,2B,2021
1B,2B,Stolen Base 2B,669222,Nick Senzel,Austin Barnes,0,0,1,True,2021-04-28,Stolen,2B,2021
2B,,Caught Stealing 3B,669222,Nick Senzel,Austin Barnes,0,0,1,True,2021-04-28,Caught,3B,2021
1B,2B,Stolen Base 2B,630105,Jake Cronenworth,Austin Barnes,2,1,5,True,2021-04-25,Stolen,2B,2021
1B,2B,Stolen Base 2B,665487,Fernando Tatis Jr.,Austin Barnes,2,1,6,True,2021-04-25,Stolen,2B,2021
1B,2B,Stolen Base 2B,592518,Manny Machado,Austin Barnes,7,7,9,True,2021-04-25,Stolen,2B,2021
1B,2B,Stolen Base 2B,605170,Victor Caratini,Austin Barnes,7,7,10,True,2021-04-25,Stolen,2B,2021
2B,3B,Stolen Base 3B,665487,Fernando Tatis Jr.,Austin Barnes,7,7,11,True,2021-04-25,Stolen,3B,2021
1B,2B,Stolen Base 2B,663757,Trent Grisham,Austin Barnes,7,7,11,True,2021-04-25,Stolen,2B,2021
1B,2B,Stolen Base 2B,595777,Jurickson Profar,Austin Barnes,1,6,9,True,2021-04-23,Stolen,2B,2021
1B,2B,Stolen Base 2B,664238,Dylan Moore,Austin Barnes,0,1,8,False,2021-04-20,Stolen,2B,2021
1B,2B,Stolen Base 2B,663757,Trent Grisham,Austin Barnes,0,1,6,False,2021-04-17,Stolen,2B,2021
1B,2B,Stolen Base 2B,607208,Trea Turner,Austin Barnes,1,0,3,True,2021-04-11,Stolen,2B,2021
1B,2B,Stolen Base 2B,643393,Tony Kemp,Austin Barnes,1,4,8,False,2021-04-06,Stolen,2B,2021
1B,2B,Stolen Base 2B,657656,Ramón Laureano,Austin Barnes,1,5,9,False,2021-04-06,Stolen,2B,2021
1B,2B,Stolen Base 2B,572008,Chris Owings,Austin Barnes,5,4,6,False,2021-04-01,Stolen,2B,2021
1B,2B,Stolen Base 2B,572008,Chris Owings,Austin Barnes,8,4,7,False,2021-04-01,Stolen,2B,2021
1B,,Caught Stealing 2B,642731,Thairo Estrada,Austin Barnes,1,0,3,False,2023-09-30,Caught,2B,2023
2B,3B,Stolen Base 3B,453568,Charlie Blackmon,Austin Barnes,7,3,4,False,2023-09-28,Stolen,3B,2023
2B,3B,Stolen Base 3B,666134,Nolan Jones,Austin Barnes,9,3,4,False,2023-09-28,Stolen,3B,2023
1B,2B,Stolen Base 2B,678009,Parker Meadows,Austin Barnes,1,3,7,True,2023-09-20,Stolen,2B,2023
1B,2B,Stolen Base 2B,696285,Jacob Young,Austin Barnes,2,6,5,False,2023-09-10,Stolen,2B,2023
2B,3B,Stolen Base 3B,696285,Jacob Young,Austin Barnes,2,6,5,False,2023-09-10,Stolen,3B,2023
1B,2B,Stolen Base 2B,665862,Jazz Chisholm Jr.,Austin Barnes,1,2,4,False,2023-09-05,Stolen,2B,2023
1B,2B,Stolen Base 2B,682998,Corbin Carroll,Austin Barnes,0,0,3,True,2023-08-30,Stolen,2B,2023
1B,2B,Stolen Base 2B,686823,Will Brennan,Austin Barnes,2,0,2,False,2023-08-24,Stolen,2B,2023
3B,score,Stolen Base Home,672356,Gabriel Arias,Austin Barnes,2,0,2,False,2023-08-24,Stolen,Home,2023
