Start_Base,End_Base,Event,runner_id,runner_name,credit,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year
1B,2B,Stolen Base 2B,660634,Yonny Hernández,Austin Wynns,2,0,7,True,2021-09-23,Stolen,2B,2021
1B,2B,Stolen Base 2B,592663,J.T. Realmuto,Austin Wynns,0,0,1,False,2021-09-21,Stolen,2B,2021
1B,,Caught Stealing 2B,650402,Gleyber Torres,Austin Wynns,1,2,8,True,2021-09-16,Caught,2B,2021
2B,3B,Stolen Base 3B,642180,Tyler Wade,Austin Wynns,3,4,9,True,2021-09-15,Stolen,3B,2021
1B,2B,Stolen Base 2B,650402,Gleyber Torres,Austin Wynns,3,4,9,True,2021-09-15,Stolen,2B,2021
1B,2B,Stolen Base 2B,650402,Gleyber Torres,Austin Wynns,0,5,3,True,2021-09-14,Stolen,2B,2021
1B,2B,Stolen Base 2B,609275,Adalberto Mondesi,Austin Wynns,2,3,9,True,2021-09-06,Stolen,2B,2021
2B,3B,Stolen Base 3B,609275,Adalberto Mondesi,Austin Wynns,2,3,9,True,2021-09-06,Stolen,3B,2021
1B,2B,Stolen Base 2B,666182,Bo Bichette,Austin Wynns,2,2,4,False,2021-09-01,Stolen,2B,2021
1B,2B,Stolen Base 2B,572816,Corey Dickerson,Austin Wynns,4,2,4,False,2021-09-01,Stolen,2B,2021
1B,2B,Stolen Base 2B,543760,Marcus Semien,Austin Wynns,4,2,5,False,2021-09-01,Stolen,2B,2021
1B,2B,Stolen Base 2B,668227,Randy Arozarena,Austin Wynns,0,1,1,True,2021-08-29,Stolen,2B,2021
1B,2B,Stolen Base 2B,594838,Phil Gosselin,Austin Wynns,0,0,1,True,2021-08-25,Stolen,2B,2021
1B,,Caught Stealing 2B,669016,Brandon Marsh,Austin Wynns,2,2,2,True,2021-08-25,Caught,2B,2021
1B,2B,Stolen Base 2B,664040,Brandon Lowe,Austin Wynns,4,2,4,False,2021-08-18,Stolen,2B,2021
1B,2B,Stolen Base 2B,664040,Brandon Lowe,Austin Wynns,3,1,3,True,2021-08-08,Stolen,2B,2021
1B,,Caught Stealing 2B,656537,Derek Hill,Austin Wynns,4,0,6,False,2021-07-29,Caught,2B,2021
1B,,Caught Stealing 2B,640457,Austin Meadows,Austin Wynns,3,3,5,False,2021-07-21,Caught,2B,2021
1B,,Caught Stealing 2B,683734,Andrew Vaughn,Austin Wynns,0,1,2,True,2021-07-10,Caught,2B,2021
1B,2B,Stolen Base 2B,664702,Myles Straw,Austin Wynns,1,1,2,False,2021-06-29,Stolen,2B,2021
1B,,Caught Stealing 2B,664702,Myles Straw,Austin Wynns,1,1,4,False,2021-06-29,Caught,2B,2021
1B,2B,Stolen Base 2B,514888,Jose Altuve,Austin Wynns,3,3,6,False,2021-06-29,Stolen,2B,2021
