Start_Base,End_Base,Event,runner_id,runner_name,credit,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year
1B,2B,Stolen Base 2B,111502,Rico Brogna,Brian Johnson,0,0,5,True,2001-05-11,Stolen,2B,2001
1B,2B,Stolen Base 2B,134342,Ryan Christenson,Brian Johnson,4,3,8,False,2000-06-25,Stolen,2B,2000
1B,,Caught Stealing 2B,111904,Mike Cameron,Brian Johnson,1,3,2,True,2000-06-12,Caught,2B,2000
2B,3B,Stolen Base 3B,115749,Rickey Henderson,Brian Johnson,1,4,3,True,2000-06-12,Stolen,3B,2000
1B,2B,Stolen Base 2B,118808,Mark McLemore,Brian Johnson,1,4,3,True,2000-06-12,Stolen,2B,2000
1B,,Caught Stealing 2B,118808,Mark McLemore,Brian Johnson,1,5,5,True,2000-06-12,Caught,2B,2000
2B,3B,Stolen Base 3B,111531,Adrian Brown,Brian Johnson,0,2,1,True,2000-06-11,Stolen,3B,2000
1B,2B,Stolen Base 2B,124704,Kevin Young,Brian Johnson,2,4,5,True,2000-06-11,Stolen,2B,2000
1B,2B,Stolen Base 2B,111531,Adrian Brown,Brian Johnson,5,8,10,True,2000-06-11,Stolen,2B,2000
1B,2B,Stolen Base 2B,111531,Adrian Brown,Brian Johnson,1,1,3,True,2000-06-09,Stolen,2B,2000
1B,,Caught Stealing 2B,116974,Jason Kendall,Brian Johnson,0,2,1,False,2000-06-03,Caught,2B,2000
1B,2B,Stolen Base 2B,114596,Nomar Garciaparra,Brian Johnson,4,1,3,False,2000-05-30,Stolen,2B,2000
1B,,Caught Stealing 2B,113889,Darin Erstad,Brian Johnson,0,0,1,True,2000-05-28,Caught,2B,2000
1B,2B,Stolen Base 2B,136267,Troy Glaus,Brian Johnson,1,3,4,True,2000-05-26,Stolen,2B,2000
1B,2B,Stolen Base 2B,118638,Jason McDonald,Brian Johnson,2,2,5,True,2000-05-25,Stolen,2B,2000
1B,2B,Stolen Base 2B,117863,Kenny Lofton,Brian Johnson,0,1,1,False,2000-05-14,Stolen,2B,2000
1B,2B,Stolen Base 2B,123272,Jim Thome,Brian Johnson,1,1,4,False,2000-05-14,Stolen,2B,2000
1B,2B,Stolen Base 2B,117863,Kenny Lofton,Brian Johnson,0,0,1,False,2000-05-12,Stolen,2B,2000
1B,2B,Stolen Base 2B,113330,Einar Díaz,Brian Johnson,1,0,3,False,2000-05-12,Stolen,2B,2000
1B,2B,Stolen Base 2B,110010,Jeff Abbott,Brian Johnson,1,1,2,True,2000-05-05,Stolen,2B,2000
1B,2B,Stolen Base 2B,121616,Olmedo Saenz,Brian Johnson,5,5,8,True,2000-05-02,Stolen,2B,2000
1B,2B,Stolen Base 2B,118808,Mark McLemore,Brian Johnson,3,6,6,True,2000-04-29,Stolen,2B,2000
2B,3B,Stolen Base 3B,121347,Alex Rodriguez,Brian Johnson,3,8,6,True,2000-04-29,Stolen,3B,2000
1B,2B,Stolen Base 2B,111867,Miguel Cairo,Brian Johnson,5,1,5,True,2000-04-26,Stolen,2B,2000
1B,2B,Stolen Base 2B,124314,Gerald Williams,Brian Johnson,6,3,7,True,2000-04-26,Stolen,2B,2000
1B,2B,Stolen Base 2B,111867,Miguel Cairo,Brian Johnson,5,5,8,True,2000-04-25,Stolen,2B,2000
1B,2B,Stolen Base 2B,117566,Matt Lawton,Brian Johnson,1,0,1,False,2000-04-19,Stolen,2B,2000
1B,2B,Stolen Base 2B,117566,Matt Lawton,Brian Johnson,2,1,3,False,2000-04-19,Stolen,2B,2000
1B,2B,Stolen Base 2B,124288,Bernie Williams,Brian Johnson,3,2,6,False,2000-04-16,Stolen,2B,2000
1B,2B,Stolen Base 2B,116539,Derek Jeter,Brian Johnson,5,4,7,False,2000-04-16,Stolen,2B,2000
1B,2B,Stolen Base 2B,116539,Derek Jeter,Brian Johnson,0,0,1,False,2000-04-14,Stolen,2B,2000
1B,2B,Stolen Base 2B,117197,Chuck Knoblauch,Brian Johnson,3,2,4,False,2000-04-14,Stolen,2B,2000
1B,2B,Stolen Base 2B,116539,Derek Jeter,Brian Johnson,3,2,4,False,2000-04-14,Stolen,2B,2000
1B,,Caught Stealing 2B,133341,Shane Spencer,Brian Johnson,7,5,7,False,2000-04-14,Caught,2B,2000
2B,3B,Stolen Base 3B,110229,Brady Anderson,Brian Johnson,5,3,8,True,2000-04-13,Stolen,3B,2000
1B,2B,Stolen Base 2B,113291,Delino DeShields,Brian Johnson,5,3,8,True,2000-04-13,Stolen,2B,2000
2B,3B,Stolen Base 2B,113291,Delino DeShields,Brian Johnson,5,3,8,True,2000-04-13,Stolen,2B,2000
1B,2B,Stolen Base 2B,110214,Rich Amaral,Brian Johnson,5,4,8,True,2000-04-13,Stolen,2B,2000
1B,,Caught Stealing 2B,110229,Brady Anderson,Brian Johnson,5,5,11,True,2000-04-11,Caught,2B,2000
1B,2B,Stolen Base 2B,122784,Shannon Stewart,Brian Johnson,0,0,1,False,2000-04-05,Stolen,2B,2000
1B,,Caught Stealing 2B,111792,Homer Bush,Brian Johnson,2,4,8,False,2000-04-05,Caught,2B,2000
1B,2B,Stolen Base 2B,112903,José Cruz Jr.,Brian Johnson,3,4,9,False,2000-04-05,Stolen,2B,2000
1B,2B,Stolen Base 2B,114485,Brad Fullmer,Brian Johnson,0,0,2,False,2000-04-04,Stolen,2B,2000
1B,2B,Stolen Base 2B,114924,Alex Gonzalez,Brian Johnson,2,0,2,False,2000-04-04,Stolen,2B,2000
