Start_Base,End_Base,Event,runner_id,runner_name,credit,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year
2B,3B,Stolen Base 3B,334393,Juan Pierre,Chad Kreuter,0,0,1,True,2001-05-29,Stolen,3B,2001
1B,2B,Stolen Base 2B,120413,Neifi Perez,Chad Kreuter,0,0,1,True,2001-05-29,Stolen,2B,2001
2B,,Caught Stealing 3B,120413,Neifi Perez,Chad Kreuter,1,5,7,True,2001-05-29,Caught,3B,2001
1B,2B,Caught Stealing 3B,123833,Larry Walker,Chad Kreuter,1,5,7,True,2001-05-29,Caught,3B,2001
1B,,Caught Stealing 2B,122205,Terry Shumpert,Chad Kreuter,0,2,3,False,2001-05-23,Caught,2B,2001
2B,3B,Stolen Base 3B,122205,Terry Shumpert,Chad Kreuter,3,4,7,False,2001-05-23,Stolen,3B,2001
1B,2B,Stolen Base 2B,123833,Larry Walker,Chad Kreuter,6,6,6,False,2001-05-22,Stolen,2B,2001
1B,,Caught Stealing 2B,120536,Mike Piazza,Chad Kreuter,3,0,5,False,2001-05-20,Caught,2B,2001
3B,,Caught Stealing Home,400101,Tsuyoshi Shinjo,Chad Kreuter,3,0,6,False,2001-05-20,Caught,Home,2001
1B,2B,Stolen Base 2B,121058,Desi Relaford,Chad Kreuter,1,0,3,False,2001-05-18,Stolen,2B,2001
1B,2B,Stolen Base 2B,133343,Preston Wilson,Chad Kreuter,3,2,8,True,2001-05-09,Stolen,2B,2001
1B,2B,Stolen Base 2B,150439,Gary Matthews,Chad Kreuter,4,0,8,False,2001-05-04,Stolen,2B,2001
1B,2B,Stolen Base 2B,117501,Barry Larkin,Chad Kreuter,3,7,8,False,2001-05-02,Stolen,2B,2001
1B,,Caught Stealing 2B,111548,Emil Brown,Chad Kreuter,0,5,9,True,2001-04-24,Caught,2B,2001
1B,2B,Stolen Base 2B,150435,Wiki Gonzalez,Chad Kreuter,0,1,5,True,2001-04-20,Stolen,2B,2001
1B,2B,Stolen Base 2B,150080,Santiago Perez,Chad Kreuter,1,2,4,False,2001-04-13,Stolen,2B,2001
2B,3B,Stolen Base 3B,116423,Damian Jackson,Chad Kreuter,1,2,5,False,2001-04-13,Stolen,3B,2001
1B,,Caught Stealing 2B,150273,Calvin Murray,Chad Kreuter,0,0,1,True,2001-04-07,Caught,2B,2001
1B,2B,Stolen Base 2B,150273,Calvin Murray,Chad Kreuter,8,2,5,True,2001-04-07,Stolen,2B,2001
1B,,Caught Stealing 2B,122027,Richie Sexson,Chad Kreuter,0,0,4,True,2001-04-02,Caught,2B,2001
1B,2B,Stolen Base 2B,150071,Ronnie Belliard,Chad Kreuter,0,0,5,True,2001-04-02,Stolen,2B,2001
1B,2B,Stolen Base 2B,134002,Ramon Martinez,Chad Kreuter,0,4,9,True,2000-09-27,Stolen,2B,2000
1B,2B,Stolen Base 2B,150432,Mike Darr,Chad Kreuter,0,0,1,True,2000-09-24,Stolen,2B,2000
1B,2B,Stolen Base 2B,150432,Mike Darr,Chad Kreuter,0,2,2,True,2000-09-22,Stolen,2B,2000
1B,2B,Stolen Base 2B,117148,Ryan Klesko,Chad Kreuter,1,2,3,True,2000-09-22,Stolen,2B,2000
1B,2B,Stolen Base 2B,276527,Kory DeHaan,Chad Kreuter,1,2,4,True,2000-09-22,Stolen,2B,2000
1B,2B,Stolen Base 2B,121058,Desi Relaford,Chad Kreuter,2,2,7,True,2000-09-22,Stolen,2B,2000
1B,,Caught Stealing 2B,113240,David Dellucci,Chad Kreuter,0,0,5,True,2000-09-19,Caught,2B,2000
1B,,Caught Stealing 2B,112297,Jeff Cirillo,Chad Kreuter,0,1,1,True,2000-09-15,Caught,2B,2000
1B,2B,Stolen Base 2B,116075,Todd Hollandsworth,Chad Kreuter,0,1,2,True,2000-09-15,Stolen,2B,2000
1B,2B,Stolen Base 2B,116075,Todd Hollandsworth,Chad Kreuter,1,3,6,True,2000-09-15,Stolen,2B,2000
2B,,Caught Stealing 3B,120413,Neifi Perez,Chad Kreuter,3,5,6,True,2000-09-14,Caught,3B,2000
1B,2B,Caught Stealing 3B,112297,Jeff Cirillo,Chad Kreuter,3,5,6,True,2000-09-14,Caught,3B,2000
1B,,Caught Stealing 2B,115394,Jeffrey Hammonds,Chad Kreuter,3,5,9,True,2000-09-14,Caught,2B,2000
2B,,Caught Stealing 3B,116357,Butch Huskey,Chad Kreuter,6,0,1,False,2000-09-09,Caught,3B,2000
1B,2B,Caught Stealing 3B,118490,Brent Mayne,Chad Kreuter,6,0,1,False,2000-09-09,Caught,3B,2000
2B,,Caught Stealing 3B,123842,Todd Walker,Chad Kreuter,7,4,5,False,2000-09-09,Caught,3B,2000
1B,2B,Caught Stealing 3B,116075,Todd Hollandsworth,Chad Kreuter,7,4,5,False,2000-09-09,Caught,3B,2000
1B,,Caught Stealing 2B,150253,Alex Hernandez,Chad Kreuter,1,5,5,True,2000-09-04,Caught,2B,2000
1B,,Caught Stealing 2B,110029,Bobby Abreu,Chad Kreuter,1,1,6,True,2000-09-01,Caught,2B,2000
1B,2B,Stolen Base 2B,115263,Ricky Gutierrez,Chad Kreuter,5,1,3,False,2000-08-27,Stolen,2B,2000
2B,3B,Stolen Base 3B,115263,Ricky Gutierrez,Chad Kreuter,0,0,4,False,2000-08-25,Stolen,3B,2000
1B,2B,Stolen Base 2B,111673,Damon Buford,Chad Kreuter,0,0,4,False,2000-08-25,Stolen,2B,2000
1B,,Caught Stealing 2B,150398,Geoff Blum,Chad Kreuter,0,0,2,True,2000-08-24,Caught,2B,2000
1B,,Caught Stealing 2B,134341,Jay Payton,Chad Kreuter,3,1,5,True,2000-08-19,Caught,2B,2000
1B,,Caught Stealing 2B,112116,Luis Castillo,Chad Kreuter,0,0,1,False,2000-08-15,Caught,2B,2000
3B,score,Stolen Base Home,116358,Jeff Huson,Chad Kreuter,1,3,3,True,2000-08-09,Stolen,Home,2000
1B,2B,Stolen Base 2B,124695,Eric Young Sr.,Chad Kreuter,1,3,3,True,2000-08-09,Stolen,2B,2000
1B,2B,Stolen Base 2B,115263,Ricky Gutierrez,Chad Kreuter,1,4,3,True,2000-08-09,Stolen,2B,2000
1B,,Caught Stealing 2B,150255,Warren Morris,Chad Kreuter,3,5,2,False,2000-08-02,Caught,2B,2000
2B,3B,Stolen Base 3B,122522,Luis Sojo,Chad Kreuter,1,0,2,False,2000-08-01,Stolen,3B,2000
