Start_Base,End_Base,Event,runner_id,runner_name,credit,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year
1B,2B,Stolen Base 2B,455759,Chris Young,Chris Iannetta,3,5,9,True,2008-09-20,Stolen,2B,2008
1B,,Caught Stealing 2B,461314,Matt Kemp,Chris Iannetta,0,0,6,True,2008-09-14,Caught,2B,2008
2B,3B,Stolen Base 3B,453923,Grégor Blanco,Chris Iannetta,4,4,6,False,2008-09-11,Stolen,3B,2008
1B,2B,Stolen Base 2B,461811,Josh Anderson,Chris Iannetta,0,0,1,False,2008-09-09,Stolen,2B,2008
1B,,Caught Stealing 2B,408299,Omar Infante,Chris Iannetta,3,2,5,False,2008-09-09,Caught,2B,2008
1B,2B,Stolen Base 2B,116706,Chipper Jones,Chris Iannetta,4,3,7,False,2008-09-09,Stolen,2B,2008
1B,2B,Stolen Base 2B,430631,Reggie Abercrombie,Chris Iannetta,0,0,2,True,2008-09-07,Stolen,2B,2008
1B,2B,Stolen Base 2B,456422,Michael Bourn,Chris Iannetta,0,1,3,True,2008-09-07,Stolen,2B,2008
1B,2B,Stolen Base 2B,430631,Reggie Abercrombie,Chris Iannetta,0,3,3,True,2008-09-07,Stolen,2B,2008
1B,2B,Stolen Base 2B,452254,Hunter Pence,Chris Iannetta,5,7,9,True,2008-09-07,Stolen,2B,2008
1B,2B,Stolen Base 2B,456422,Michael Bourn,Chris Iannetta,5,0,6,True,2008-09-05,Stolen,2B,2008
1B,2B,Stolen Base 2B,133160,Randy Winn,Chris Iannetta,0,0,1,False,2008-08-26,Stolen,2B,2008
1B,,Caught Stealing 2B,457803,Jay Bruce,Chris Iannetta,2,3,9,True,2008-08-24,Caught,2B,2008
1B,2B,Stolen Base 2B,279913,Corey Patterson,Chris Iannetta,2,3,9,True,2008-08-24,Stolen,2B,2008
1B,2B,Stolen Base 2B,447736,Chris Dickerson,Chris Iannetta,0,6,4,True,2008-08-22,Stolen,2B,2008
1B,2B,Stolen Base 2B,408252,Brandon Phillips,Chris Iannetta,0,7,5,True,2008-08-22,Stolen,2B,2008
1B,2B,Stolen Base 2B,120903,Manny Ramirez,Chris Iannetta,0,1,4,False,2008-08-21,Stolen,2B,2008
1B,,Caught Stealing 2B,466988,Emilio Bonifácio,Chris Iannetta,1,0,3,False,2008-08-17,Caught,2B,2008
1B,2B,Stolen Base 2B,466988,Emilio Bonifácio,Chris Iannetta,2,4,4,True,2008-08-07,Stolen,2B,2008
1B,2B,Stolen Base 2B,434681,Pete Orr,Chris Iannetta,2,6,5,True,2008-08-07,Stolen,2B,2008
1B,2B,Stolen Base 2B,466988,Emilio Bonifácio,Chris Iannetta,2,4,4,True,2008-08-06,Stolen,2B,2008
1B,2B,Stolen Base 2B,434681,Pete Orr,Chris Iannetta,2,6,5,True,2008-08-06,Stolen,2B,2008
2B,3B,Stolen Base 3B,150071,Ronnie Belliard,Chris Iannetta,0,2,7,True,2008-08-05,Stolen,3B,2008
1B,,Caught Stealing 2B,434670,Hanley Ramirez,Chris Iannetta,0,0,1,False,2008-08-01,Caught,2B,2008
2B,3B,Stolen Base 3B,136860,Carlos Beltrán,Chris Iannetta,1,0,4,False,2008-07-12,Stolen,3B,2008
