Start_Base,End_Base,Event,runner_id,runner_name,credit,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year
1B,2B,Stolen Base 2B,400284,Chase Utley,Eli Whiteside,1,2,4,True,2009-08-02,Stolen,2B,2009
2B,,Caught Stealing 3B,150029,Jayson Werth,Eli Whiteside,1,2,4,True,2009-08-02,Caught,3B,2009
1B,2B,Stolen Base 2B,452234,Seth Smith,Eli Whiteside,0,0,1,False,2009-07-26,Stolen,2B,2009
1B,2B,Stolen Base 2B,453064,Troy Tulowitzki,Eli Whiteside,3,1,5,False,2009-07-26,Stolen,2B,2009
1B,,Caught Stealing 2B,150275,Yorvit Torrealba,Eli Whiteside,4,2,8,False,2009-07-26,Caught,2B,2009
1B,2B,Stolen Base 2B,457705,Andrew McCutchen,Eli Whiteside,1,0,6,False,2009-07-18,Stolen,2B,2009
2B,3B,Stolen Base 3B,465784,Everth Cabrera,Eli Whiteside,2,1,8,True,2009-07-11,Stolen,3B,2009
1B,2B,Stolen Base 2B,430565,Kazuo Matsui,Eli Whiteside,0,4,7,True,2009-07-05,Stolen,2B,2009
1B,2B,Stolen Base 2B,456422,Michael Bourn,Eli Whiteside,0,4,8,True,2009-07-05,Stolen,2B,2009
1B,2B,Stolen Base 2B,204020,Lance Berkman,Eli Whiteside,0,0,1,True,2009-07-04,Stolen,2B,2009
2B,3B,Stolen Base 3B,455759,Chris Young,Eli Whiteside,1,0,4,False,2009-06-11,Stolen,3B,2009
1B,2B,Stolen Base 2B,324432,Augie Ojeda,Eli Whiteside,1,0,4,False,2009-06-11,Stolen,2B,2009
1B,2B,Stolen Base 2B,457708,Justin Upton,Eli Whiteside,1,0,5,False,2009-06-11,Stolen,2B,2009
2B,,Caught Stealing 3B,457708,Justin Upton,Eli Whiteside,2,0,7,False,2009-06-11,Caught,3B,2009
1B,2B,Caught Stealing 3B,452220,Stephen Drew,Eli Whiteside,2,0,7,False,2009-06-11,Caught,3B,2009
1B,2B,Stolen Base 2B,457705,Andrew McCutchen,Eli Whiteside,0,1,4,True,2014-06-21,Stolen,2B,2014
1B,2B,Stolen Base 2B,519184,Ben Revere,Eli Whiteside,0,1,1,False,2014-06-15,Stolen,2B,2014
1B,2B,Stolen Base 2B,276519,Jimmy Rollins,Eli Whiteside,4,3,5,False,2014-06-14,Stolen,2B,2014
1B,2B,Stolen Base 2B,431145,Russell Martin,Eli Whiteside,0,2,2,False,2014-06-10,Stolen,2B,2014
