Start_Base,End_Base,Event,runner_id,runner_name,credit,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year
1B,2B,Stolen Base 2B,113028,Johnny Damon,Geronimo Gil,0,0,1,True,2002-09-23,Stolen,2B,2002
1B,2B,Stolen Base 2B,114260,Cliff Floyd,Geronimo Gil,2,3,8,True,2002-09-23,Stolen,2B,2002
1B,,Caught Stealing 2B,275930,David Eckstein,Geronimo Gil,0,2,6,True,2002-09-07,Caught,2B,2002
1B,2B,Stolen Base 2B,408210,Chone Figgins,Geronimo Gil,2,3,10,True,2002-09-07,Stolen,2B,2002
1B,2B,Stolen Base 2B,121252,Ruben Rivera,Geronimo Gil,0,2,2,True,2002-09-05,Stolen,2B,2002
1B,2B,Stolen Base 2B,136267,Troy Glaus,Geronimo Gil,5,2,7,False,2002-08-30,Stolen,2B,2002
1B,,Caught Stealing 2B,121358,Ivan Rodriguez,Geronimo Gil,0,1,2,False,2002-08-28,Caught,2B,2002
1B,2B,Stolen Base 2B,116075,Todd Hollandsworth,Geronimo Gil,4,2,7,False,2002-08-28,Stolen,2B,2002
1B,,Caught Stealing 2B,407861,Orlando Hudson,Geronimo Gil,2,5,8,True,2002-08-25,Caught,2B,2002
1B,2B,Stolen Base 2B,400134,Eric Hinske,Geronimo Gil,3,8,7,True,2002-08-24,Stolen,2B,2002
1B,2B,Stolen Base 2B,114909,Chris Gomez,Geronimo Gil,1,1,5,True,2002-08-21,Stolen,2B,2002
1B,2B,Stolen Base 2B,408307,Carl Crawford,Geronimo Gil,2,1,5,True,2002-08-20,Stolen,2B,2002
1B,2B,Stolen Base 2B,150466,Brent Abernathy,Geronimo Gil,3,7,8,True,2002-08-19,Stolen,2B,2002
1B,2B,Stolen Base 2B,116338,Torii Hunter,Geronimo Gil,1,1,1,False,2002-08-14,Stolen,2B,2002
1B,2B,Stolen Base 2B,407380,Dustan Mohr,Geronimo Gil,4,3,8,False,2002-08-14,Stolen,2B,2002
1B,,Caught Stealing 2B,150218,Jacque Jones,Geronimo Gil,0,0,1,False,2002-08-13,Caught,2B,2002
1B,2B,Stolen Base 2B,150217,Cristian Guzman,Geronimo Gil,5,4,5,True,2002-08-07,Stolen,2B,2002
1B,2B,Stolen Base 2B,277409,Jared Sandberg,Geronimo Gil,1,4,4,False,2002-07-31,Stolen,2B,2002
1B,,Caught Stealing 2B,408307,Carl Crawford,Geronimo Gil,6,0,1,False,2002-07-30,Caught,2B,2002
1B,,Caught Stealing 2B,113028,Johnny Damon,Geronimo Gil,0,0,3,False,2002-07-27,Caught,2B,2002
1B,,Caught Stealing 2B,117863,Kenny Lofton,Geronimo Gil,0,0,1,True,2002-07-21,Caught,2B,2002
1B,2B,Stolen Base 2B,218595,Chris Woodward,Geronimo Gil,0,0,2,False,2002-07-17,Stolen,2B,2002
1B,2B,Stolen Base 2B,122784,Shannon Stewart,Geronimo Gil,2,0,2,False,2002-07-17,Stolen,2B,2002
1B,2B,Stolen Base 2B,111904,Mike Cameron,Geronimo Gil,1,1,4,True,2002-07-16,Stolen,2B,2002
1B,2B,Stolen Base 2B,111904,Mike Cameron,Geronimo Gil,6,1,7,True,2002-07-16,Stolen,2B,2002
1B,,Caught Stealing 2B,400085,Ichiro Suzuki,Geronimo Gil,0,0,1,True,2002-07-15,Caught,2B,2002
1B,,Caught Stealing 2B,150433,Ben Davis,Geronimo Gil,6,5,7,True,2002-07-15,Caught,2B,2002
1B,2B,Stolen Base 2B,150239,Terrence Long,Geronimo Gil,0,1,4,True,2002-07-12,Stolen,2B,2002
1B,,Caught Stealing 2B,276545,Michael Young,Geronimo Gil,3,2,4,False,2002-07-05,Caught,2B,2002
1B,,Caught Stealing 2B,275930,David Eckstein,Geronimo Gil,0,0,6,False,2002-07-03,Caught,2B,2002
1B,,Caught Stealing 2B,275930,David Eckstein,Geronimo Gil,0,0,1,False,2002-07-02,Caught,2B,2002
2B,,Caught Stealing 3B,121409,Scott Rolen,Geronimo Gil,2,3,4,True,2002-06-28,Caught,3B,2002
1B,,Caught Stealing 2B,124288,Bernie Williams,Geronimo Gil,0,2,1,True,2002-06-26,Caught,2B,2002
1B,2B,Stolen Base 2B,114739,Jason Giambi,Geronimo Gil,2,2,3,True,2002-06-25,Stolen,2B,2002
1B,2B,Stolen Base 2B,150093,Alfonso Soriano,Geronimo Gil,4,3,9,True,2002-06-25,Stolen,2B,2002
1B,2B,Stolen Base 2B,400101,Tsuyoshi Shinjo,Geronimo Gil,0,1,6,False,2002-06-23,Stolen,2B,2002
1B,2B,Stolen Base 2B,112736,Craig Counsell,Geronimo Gil,2,1,3,False,2002-06-18,Stolen,2B,2002
1B,2B,Stolen Base 2B,276519,Jimmy Rollins,Geronimo Gil,1,3,7,False,2002-06-16,Stolen,2B,2002
1B,2B,Stolen Base 2B,116852,Eric Karros,Geronimo Gil,3,3,3,True,2002-06-08,Stolen,2B,2002
1B,2B,Stolen Base 2B,134181,Adrian Beltré,Geronimo Gil,3,3,4,True,2002-06-08,Stolen,2B,2002
1B,2B,Stolen Base 2B,134001,Paul Lo Duca,Geronimo Gil,3,6,7,True,2002-06-08,Stolen,2B,2002
1B,,Caught Stealing 2B,116539,Derek Jeter,Geronimo Gil,4,5,5,False,2002-06-04,Caught,2B,2002
1B,,Caught Stealing 2B,124388,Enrique Wilson,Geronimo Gil,1,2,7,False,2002-06-03,Caught,2B,2002
1B,2B,Stolen Base 2B,124314,Gerald Williams,Geronimo Gil,3,4,9,False,2002-06-03,Stolen,2B,2002
1B,2B,Stolen Base 2B,400085,Ichiro Suzuki,Geronimo Gil,0,0,1,True,2002-06-01,Stolen,2B,2002
1B,2B,Stolen Base 2B,400085,Ichiro Suzuki,Geronimo Gil,0,1,6,True,2002-06-01,Stolen,2B,2002
1B,2B,Stolen Base 2B,118808,Mark McLemore,Geronimo Gil,0,1,6,True,2002-06-01,Stolen,2B,2002
1B,,Caught Stealing 2B,400085,Ichiro Suzuki,Geronimo Gil,2,3,9,True,2002-06-01,Caught,2B,2002
1B,,Caught Stealing 2B,112297,Jeff Cirillo,Geronimo Gil,0,5,4,True,2002-05-31,Caught,2B,2002
1B,2B,Stolen Base 2B,136767,Eric Chavez,Geronimo Gil,5,5,5,True,2002-05-29,Stolen,2B,2002
1B,2B,Stolen Base 2B,136767,Eric Chavez,Geronimo Gil,2,4,3,True,2002-05-28,Stolen,2B,2002
1B,,Caught Stealing 2B,136722,Carlos Guillén,Geronimo Gil,0,1,5,False,2002-05-25,Caught,2B,2002
1B,,Caught Stealing 2B,400085,Ichiro Suzuki,Geronimo Gil,0,1,3,False,2002-05-24,Caught,2B,2002
1B,2B,Stolen Base 2B,111904,Mike Cameron,Geronimo Gil,6,1,5,False,2002-05-24,Stolen,2B,2002
1B,,Caught Stealing 2B,118808,Mark McLemore,Geronimo Gil,6,2,6,False,2002-05-24,Caught,2B,2002
1B,2B,Stolen Base 2B,123690,Randy Velarde,Geronimo Gil,0,0,1,False,2002-05-23,Stolen,2B,2002
1B,2B,Stolen Base 2B,150132,Steve Cox,Geronimo Gil,3,3,7,True,2002-05-18,Stolen,2B,2002
1B,2B,Stolen Base 2B,133160,Randy Winn,Geronimo Gil,3,5,9,True,2002-05-18,Stolen,2B,2002
1B,2B,Stolen Base 2B,110394,Bruce Aven,Geronimo Gil,1,0,4,False,2002-05-15,Stolen,2B,2002
1B,2B,Stolen Base 2B,123675,Greg Vaughn,Geronimo Gil,0,3,4,False,2002-05-11,Stolen,2B,2002
1B,,Caught Stealing 2B,123272,Jim Thome,Geronimo Gil,1,5,7,True,2002-05-08,Caught,2B,2002
1B,2B,Stolen Base 2B,136860,Carlos Beltrán,Geronimo Gil,2,4,3,False,2002-04-26,Stolen,2B,2002
1B,2B,Stolen Base 2B,132620,Donnie Sadler,Geronimo Gil,5,5,8,False,2002-04-26,Stolen,2B,2002
1B,2B,Stolen Base 2B,114596,Nomar Garciaparra,Geronimo Gil,0,0,1,True,2002-04-24,Stolen,2B,2002
1B,2B,Stolen Base 2B,113028,Johnny Damon,Geronimo Gil,6,2,5,True,2002-04-23,Stolen,2B,2002
1B,2B,Stolen Base 2B,116641,Russ Johnson,Geronimo Gil,1,1,2,False,2002-04-20,Stolen,2B,2002
1B,2B,Stolen Base 2B,116539,Derek Jeter,Geronimo Gil,0,0,1,False,2002-04-16,Stolen,2B,2002
1B,2B,Stolen Base 2B,150093,Alfonso Soriano,Geronimo Gil,4,3,7,False,2002-04-16,Stolen,2B,2002
1B,2B,Stolen Base 2B,117863,Kenny Lofton,Geronimo Gil,3,9,5,False,2002-04-14,Stolen,2B,2002
