Start_Base,End_Base,Event,runner_id,runner_name,credit,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year
2B,3B,Stolen Base 3B,542979,Keon Broxton,Isiah Kiner-Falefa,1,5,2,True,2019-06-04,Stolen,3B,2019
1B,2B,Stolen Base 2B,621006,Richie Martin,Isiah Kiner-Falefa,1,5,2,True,2019-06-04,Stolen,2B,2019
1B,2B,Stolen Base 2B,609275,Adalberto Mondesi,Isiah Kiner-Falefa,0,2,5,True,2019-05-31,Stolen,2B,2019
1B,2B,Stolen Base 2B,609275,Adalberto Mondesi,Isiah Kiner-Falefa,6,2,8,True,2019-05-31,Stolen,2B,2019
1B,2B,Stolen Base 2B,664058,David Fletcher,Isiah Kiner-Falefa,7,5,8,False,2019-05-26,Stolen,2B,2019
1B,2B,Stolen Base 2B,460086,Alex Gordon,Isiah Kiner-Falefa,7,0,2,False,2019-05-14,Stolen,2B,2019
1B,,Caught Stealing 2B,593160,Whit Merrifield,Isiah Kiner-Falefa,9,4,3,False,2019-05-14,Caught,2B,2019
1B,2B,Stolen Base 2B,657656,Ramón Laureano,Isiah Kiner-Falefa,2,2,2,False,2019-04-23,Stolen,2B,2019
1B,2B,Stolen Base 2B,592743,Andrelton Simmons,Isiah Kiner-Falefa,0,2,2,False,2019-04-07,Stolen,2B,2019
1B,2B,Stolen Base 2B,592743,Andrelton Simmons,Isiah Kiner-Falefa,0,0,3,False,2019-04-06,Stolen,2B,2019
1B,2B,Stolen Base 2B,664058,David Fletcher,Isiah Kiner-Falefa,5,1,8,False,2019-04-06,Stolen,2B,2019
1B,,Caught Stealing 2B,545350,Jake Marisnick,Isiah Kiner-Falefa,1,2,9,True,2019-04-01,Caught,2B,2019
1B,,Caught Stealing 2B,605480,Mallex Smith,Isiah Kiner-Falefa,0,1,6,True,2018-09-17,Caught,2B,2018
1B,,Caught Stealing 2B,457708,Justin Upton,Isiah Kiner-Falefa,0,0,2,False,2018-09-11,Caught,2B,2018
1B,2B,Stolen Base 2B,545361,Mike Trout,Isiah Kiner-Falefa,1,0,6,False,2018-09-11,Stolen,2B,2018
2B,3B,Stolen Base 3B,664058,David Fletcher,Isiah Kiner-Falefa,0,1,1,True,2018-09-04,Stolen,3B,2018
1B,2B,Stolen Base 2B,545361,Mike Trout,Isiah Kiner-Falefa,0,1,1,True,2018-09-04,Stolen,2B,2018
1B,2B,Stolen Base 2B,518466,Jabari Blash,Isiah Kiner-Falefa,0,1,2,True,2018-09-04,Stolen,2B,2018
1B,2B,Stolen Base 2B,592743,Andrelton Simmons,Isiah Kiner-Falefa,4,2,6,True,2018-09-04,Stolen,2B,2018
3B,,Caught Stealing Home,624577,Yasiel Puig,Isiah Kiner-Falefa,0,2,7,True,2018-08-29,Caught,Home,2018
1B,2B,Stolen Base 2B,446334,Evan Longoria,Isiah Kiner-Falefa,4,0,1,False,2018-08-24,Stolen,2B,2018
1B,2B,Stolen Base 2B,457705,Andrew McCutchen,Isiah Kiner-Falefa,4,0,2,False,2018-08-24,Stolen,2B,2018
1B,2B,Stolen Base 2B,457705,Andrew McCutchen,Isiah Kiner-Falefa,4,0,4,False,2018-08-24,Stolen,2B,2018
1B,2B,Stolen Base 2B,657656,Ramón Laureano,Isiah Kiner-Falefa,3,0,6,False,2018-08-21,Stolen,2B,2018
1B,,Caught Stealing 2B,594777,Kole Calhoun,Isiah Kiner-Falefa,0,0,1,True,2018-08-19,Caught,2B,2018
1B,2B,Stolen Base 2B,457708,Justin Upton,Isiah Kiner-Falefa,0,0,1,True,2018-08-17,Stolen,2B,2018
1B,2B,Stolen Base 2B,458913,Eric Young Jr.,Isiah Kiner-Falefa,5,1,5,True,2018-08-17,Stolen,2B,2018
1B,2B,Stolen Base 2B,519306,Steven Souza Jr.,Isiah Kiner-Falefa,1,4,5,True,2018-08-14,Stolen,2B,2018
1B,2B,Stolen Base 2B,519222,Austin Romine,Isiah Kiner-Falefa,0,0,3,False,2018-08-10,Stolen,2B,2018
1B,2B,Stolen Base 2B,516416,Jean Segura,Isiah Kiner-Falefa,7,6,7,True,2018-08-08,Stolen,2B,2018
1B,,Caught Stealing 2B,516416,Jean Segura,Isiah Kiner-Falefa,3,3,12,True,2018-08-06,Caught,2B,2018
1B,2B,Stolen Base 2B,543376,Caleb Joseph,Isiah Kiner-Falefa,6,4,6,False,2018-07-15,Stolen,2B,2018
2B,3B,Stolen Base 3B,643217,Andrew Benintendi,Isiah Kiner-Falefa,8,4,7,False,2018-07-10,Stolen,3B,2018
1B,,Caught Stealing 2B,592444,JaCoby Jones,Isiah Kiner-Falefa,0,1,1,False,2018-07-08,Caught,2B,2018
1B,,Caught Stealing 2B,543308,John Hicks,Isiah Kiner-Falefa,0,2,2,False,2018-07-05,Caught,2B,2018
1B,2B,Stolen Base 2B,609275,Adalberto Mondesi,Isiah Kiner-Falefa,1,2,3,False,2018-06-20,Stolen,2B,2018
1B,,Caught Stealing 2B,641531,Hunter Dozier,Isiah Kiner-Falefa,2,3,9,False,2018-06-20,Caught,2B,2018
