Start_Base,End_Base,Event,runner_id,runner_name,credit,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year
1B,2B,Stolen Base 2B,595777,Jurickson Profar,Joey Bart,3,5,8,True,2020-09-27,Stolen,2B,2020
1B,2B,Stolen Base 2B,622761,Jorge Mateo,Joey Bart,3,5,6,False,2020-09-25,Stolen,2B,2020
1B,,Caught Stealing 2B,596115,Trevor Story,Joey Bart,0,1,3,True,2020-09-23,Caught,2B,2020
2B,3B,Stolen Base 3B,606132,Raimel Tapia,Joey Bart,1,2,5,True,2020-09-23,Stolen,3B,2020
1B,2B,Stolen Base 2B,607680,Kevin Pillar,Joey Bart,0,0,1,True,2020-09-22,Stolen,2B,2020
1B,2B,Stolen Base 2B,461314,Matt Kemp,Joey Bart,1,0,2,True,2020-09-22,Stolen,2B,2020
1B,2B,Stolen Base 2B,607680,Kevin Pillar,Joey Bart,2,0,6,True,2020-09-22,Stolen,2B,2020
1B,2B,Stolen Base 2B,453568,Charlie Blackmon,Joey Bart,2,1,6,True,2020-09-22,Stolen,2B,2020
1B,2B,Stolen Base 2B,621566,Matt Olson,Joey Bart,1,0,4,False,2020-09-19,Stolen,2B,2020
1B,2B,Stolen Base 2B,572122,Kyle Seager,Joey Bart,0,1,2,False,2020-09-17,Stolen,2B,2020
1B,2B,Stolen Base 2B,572122,Kyle Seager,Joey Bart,0,1,2,False,2020-09-16,Stolen,2B,2020
1B,,Caught Stealing 2B,641786,Kyle Lewis,Joey Bart,3,8,5,False,2020-09-16,Caught,2B,2020
1B,,Caught Stealing 2B,641786,Kyle Lewis,Joey Bart,3,8,5,False,2020-09-15,Caught,2B,2020
1B,,Caught Stealing 2B,665487,Fernando Tatis Jr.,Joey Bart,0,0,1,False,2020-09-13,Caught,2B,2020
1B,,Caught Stealing 2B,630105,Jake Cronenworth,Joey Bart,1,1,2,False,2020-09-13,Caught,2B,2020
1B,2B,Stolen Base 2B,595777,Jurickson Profar,Joey Bart,1,1,3,False,2020-09-13,Stolen,2B,2020
1B,2B,Stolen Base 2B,592518,Manny Machado,Joey Bart,2,0,3,False,2020-09-13,Stolen,2B,2020
1B,2B,Stolen Base 2B,622761,Jorge Mateo,Joey Bart,3,5,6,False,2020-09-12,Stolen,2B,2020
1B,,Caught Stealing 2B,665487,Fernando Tatis Jr.,Joey Bart,0,0,1,False,2020-09-11,Caught,2B,2020
1B,,Caught Stealing 2B,630105,Jake Cronenworth,Joey Bart,1,1,2,False,2020-09-11,Caught,2B,2020
1B,2B,Stolen Base 2B,595777,Jurickson Profar,Joey Bart,1,1,3,False,2020-09-11,Stolen,2B,2020
2B,3B,Stolen Base 3B,663757,Trent Grisham,Joey Bart,0,0,1,False,2020-09-10,Stolen,3B,2020
1B,2B,Stolen Base 2B,665487,Fernando Tatis Jr.,Joey Bart,0,0,1,False,2020-09-10,Stolen,2B,2020
1B,2B,Stolen Base 2B,664238,Dylan Moore,Joey Bart,1,4,2,True,2020-09-08,Stolen,2B,2020
1B,2B,Stolen Base 2B,641786,Kyle Lewis,Joey Bart,5,5,5,True,2020-09-08,Stolen,2B,2020
1B,2B,Stolen Base 2B,668942,Josh Rojas,Joey Bart,0,1,2,True,2020-09-05,Stolen,2B,2020
1B,2B,Stolen Base 2B,607680,Kevin Pillar,Joey Bart,1,6,4,False,2020-09-02,Stolen,2B,2020
1B,2B,Stolen Base 2B,596115,Trevor Story,Joey Bart,9,6,8,False,2020-09-02,Stolen,2B,2020
1B,2B,Stolen Base 2B,453568,Charlie Blackmon,Joey Bart,9,6,8,False,2020-09-02,Stolen,2B,2020
1B,2B,Stolen Base 2B,516782,Starling Marte,Joey Bart,0,0,1,True,2020-08-23,Stolen,2B,2020
