Start_Base,End_Base,Event,runner_id,runner_name,credit,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year
1B,2B,Stolen Base 2B,408314,José Reyes,John Baker,0,0,1,False,2008-09-27,Stolen,2B,2008
1B,2B,Stolen Base 2B,451186,Lastings Milledge,John Baker,2,1,1,False,2008-09-23,Stolen,2B,2008
2B,,Caught Stealing 3B,451186,Lastings Milledge,John Baker,2,1,1,False,2008-09-23,Caught,3B,2008
2B,3B,Stolen Base 3B,407483,Willie Harris,John Baker,7,3,8,False,2008-09-23,Stolen,3B,2008
1B,2B,Stolen Base 2B,465668,Roger Bernadina,John Baker,7,3,8,False,2008-09-23,Stolen,2B,2008
2B,3B,Stolen Base 3B,276519,Jimmy Rollins,John Baker,0,0,1,True,2008-09-21,Stolen,3B,2008
2B,3B,Stolen Base 3B,276519,Jimmy Rollins,John Baker,13,6,7,True,2008-09-19,Stolen,3B,2008
1B,2B,Stolen Base 2B,400284,Chase Utley,John Baker,13,6,7,True,2008-09-19,Stolen,2B,2008
1B,2B,Stolen Base 2B,451186,Lastings Milledge,John Baker,0,0,2,True,2008-09-14,Stolen,2B,2008
1B,2B,Stolen Base 2B,451186,Lastings Milledge,John Baker,0,2,6,True,2008-09-14,Stolen,2B,2008
1B,2B,Stolen Base 2B,407483,Willie Harris,John Baker,0,0,2,True,2008-09-12,Stolen,2B,2008
1B,2B,Stolen Base 2B,150029,Jayson Werth,John Baker,1,3,1,False,2008-09-09,Stolen,2B,2008
2B,3B,Stolen Base 3B,150029,Jayson Werth,John Baker,1,3,1,False,2008-09-09,Stolen,3B,2008
1B,2B,Stolen Base 2B,425664,Shane Victorino,John Baker,7,10,6,False,2008-09-09,Stolen,2B,2008
1B,2B,Stolen Base 2B,276519,Jimmy Rollins,John Baker,8,10,6,False,2008-09-09,Stolen,2B,2008
1B,2B,Stolen Base 2B,276519,Jimmy Rollins,John Baker,1,0,1,False,2008-09-08,Stolen,2B,2008
1B,2B,Stolen Base 2B,276519,Jimmy Rollins,John Baker,4,2,2,False,2008-09-08,Stolen,2B,2008
2B,3B,Stolen Base 3B,276519,Jimmy Rollins,John Baker,5,4,4,False,2008-09-08,Stolen,3B,2008
1B,2B,Stolen Base 2B,452121,Brent Lillibridge,John Baker,3,3,5,True,2008-09-03,Stolen,2B,2008
2B,3B,Stolen Base 3B,445988,Martín Prado,John Baker,0,1,1,True,2008-09-02,Stolen,3B,2008
1B,2B,Stolen Base 2B,435263,Brian McCann,John Baker,0,1,1,True,2008-09-02,Stolen,2B,2008
2B,3B,Stolen Base 3B,461811,Josh Anderson,John Baker,3,7,4,True,2008-09-02,Stolen,3B,2008
1B,2B,Stolen Base 2B,461811,Josh Anderson,John Baker,0,0,1,True,2008-09-01,Stolen,2B,2008
1B,2B,Stolen Base 2B,116706,Chipper Jones,John Baker,3,3,5,True,2008-09-01,Stolen,2B,2008
2B,3B,Stolen Base 3B,408314,José Reyes,John Baker,2,3,5,True,2008-08-31,Stolen,3B,2008
1B,,Caught Stealing 2B,502517,Daniel Murphy,John Baker,0,3,4,True,2008-08-30,Caught,2B,2008
