Start_Base,End_Base,Event,runner_id,runner_name,credit,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year
1B,2B,Stolen Base 2B,543939,Kolten Wong,John Ryan Murphy,1,2,9,True,2020-09-20,Stolen,2B,2020
2B,3B,Stolen Base 3B,543939,Kolten Wong,John Ryan Murphy,1,2,9,True,2020-09-20,Stolen,3B,2020
1B,2B,Stolen Base 2B,664056,Harrison Bader,John Ryan Murphy,1,2,9,True,2020-09-20,Stolen,2B,2020
1B,2B,Stolen Base 2B,592200,Curt Casali,John Ryan Murphy,1,0,5,False,2020-09-16,Stolen,2B,2020
1B,,Caught Stealing 2B,673451,Shogo Akiyama,John Ryan Murphy,0,0,1,False,2020-09-14,Caught,2B,2020
1B,,Caught Stealing 2B,593160,Whit Merrifield,John Ryan Murphy,4,0,2,False,2020-09-13,Caught,2B,2020
1B,2B,Stolen Base 2B,571718,Brian Goodwin,John Ryan Murphy,0,0,2,True,2020-09-06,Stolen,2B,2020
1B,,Caught Stealing 2B,605170,Victor Caratini,John Ryan Murphy,0,1,2,True,2020-09-03,Caught,2B,2020
1B,,Caught Stealing 2B,575929,Willson Contreras,John Ryan Murphy,4,2,4,True,2020-09-03,Caught,2B,2020
1B,2B,Stolen Base 2B,605548,Bradley Zimmer,John Ryan Murphy,3,3,9,True,2020-08-18,Stolen,2B,2020
1B,2B,Stolen Base 2B,622682,Victor Reyes,John Ryan Murphy,13,15,11,True,2020-08-07,Stolen,2B,2020
1B,2B,Stolen Base 2B,593871,Jorge Polanco,John Ryan Murphy,0,0,1,True,2020-08-06,Stolen,2B,2020
1B,2B,Stolen Base 2B,596146,Max Kepler,John Ryan Murphy,4,1,4,False,2020-08-04,Stolen,2B,2020
1B,,Caught Stealing 2B,575929,Willson Contreras,John Ryan Murphy,4,0,8,False,2020-08-01,Caught,2B,2020
1B,,Caught Stealing 2B,592885,Christian Yelich,John Ryan Murphy,1,0,6,True,2020-07-27,Caught,2B,2020
1B,2B,Stolen Base 2B,664056,Harrison Bader,John Ryan Murphy,3,1,7,False,2020-07-25,Stolen,2B,2020
1B,2B,Stolen Base 2B,514917,César Hernández,John Ryan Murphy,3,3,5,False,2020-07-20,Stolen,2B,2020
1B,2B,Stolen Base 2B,446334,Evan Longoria,John Ryan Murphy,0,0,1,True,2019-05-19,Stolen,2B,2019
1B,,Caught Stealing 2B,621020,Dansby Swanson,John Ryan Murphy,0,0,1,True,2019-05-10,Caught,2B,2019
1B,2B,Stolen Base 2B,518792,Jason Heyward,John Ryan Murphy,0,5,3,True,2019-04-27,Stolen,2B,2019
1B,2B,Stolen Base 2B,614173,Franchy Cordero,John Ryan Murphy,2,0,1,False,2019-04-02,Stolen,2B,2019
1B,2B,Stolen Base 2B,520471,Freddy Galvis,John Ryan Murphy,0,0,1,False,2018-09-30,Stolen,2B,2018
1B,2B,Stolen Base 2B,622534,Manuel Margot,John Ryan Murphy,2,2,8,False,2018-09-30,Stolen,2B,2018
1B,,Caught Stealing 2B,608671,Travis Jankowski,John Ryan Murphy,1,1,7,False,2018-09-28,Caught,2B,2018
1B,2B,Stolen Base 2B,571976,Wil Myers,John Ryan Murphy,2,2,13,False,2018-09-28,Stolen,2B,2018
1B,2B,Stolen Base 2B,517369,José Pirela,John Ryan Murphy,2,2,14,False,2018-09-28,Stolen,2B,2018
1B,2B,Stolen Base 2B,641355,Cody Bellinger,John Ryan Murphy,3,7,9,True,2018-09-24,Stolen,2B,2018
1B,2B,Stolen Base 2B,643393,Tony Kemp,John Ryan Murphy,3,1,7,False,2018-09-16,Stolen,2B,2018
1B,2B,Stolen Base 2B,502210,Josh Reddick,John Ryan Murphy,2,2,7,False,2018-09-14,Stolen,2B,2018
1B,2B,Stolen Base 2B,467827,Gerardo Parra,John Ryan Murphy,5,1,5,False,2018-09-13,Stolen,2B,2018
