Start_Base,End_Base,Event,runner_id,runner_name,credit,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year
1B,2B,Stolen Base 2B,137005,Kerry Robinson,Kelly Stinnett,4,5,9,True,2001-05-25,Stolen,2B,2001
1B,2B,Stolen Base 2B,115263,Ricky Gutierrez,Kelly Stinnett,3,2,5,False,2001-05-23,Stolen,2B,2001
1B,2B,Stolen Base 2B,110189,Moises Alou,Kelly Stinnett,6,3,8,False,2001-05-19,Stolen,2B,2001
1B,2B,Stolen Base 2B,124523,Tony Womack,Kelly Stinnett,0,0,2,True,2001-05-15,Stolen,2B,2001
1B,2B,Stolen Base 2B,124523,Tony Womack,Kelly Stinnett,1,1,4,True,2001-05-15,Stolen,2B,2001
1B,2B,Stolen Base 2B,124523,Tony Womack,Kelly Stinnett,1,4,8,True,2001-05-15,Stolen,2B,2001
1B,,Caught Stealing 2B,150061,Julio Lugo,Kelly Stinnett,0,0,1,True,2001-05-12,Caught,2B,2001
1B,,Caught Stealing 2B,204020,Lance Berkman,Kelly Stinnett,1,1,4,True,2001-05-12,Caught,2B,2001
2B,3B,Stolen Base 3B,116423,Damian Jackson,Kelly Stinnett,0,3,7,True,2001-05-05,Stolen,3B,2001
1B,2B,Stolen Base 2B,114961,Tom Goodwin,Kelly Stinnett,1,4,5,True,2001-05-03,Stolen,2B,2001
1B,2B,Stolen Base 2B,122111,Gary Sheffield,Kelly Stinnett,3,6,7,True,2001-05-03,Stolen,2B,2001
1B,,Caught Stealing 2B,115210,Mark Grudzielanek,Kelly Stinnett,0,4,2,True,2001-05-02,Caught,2B,2001
1B,2B,Stolen Base 2B,115378,Darryl Hamilton,Kelly Stinnett,2,0,3,True,2001-04-21,Stolen,2B,2001
1B,2B,Stolen Base 2B,115394,Jeffrey Hammonds,Kelly Stinnett,1,5,4,True,2001-04-18,Stolen,2B,2001
1B,,Caught Stealing 2B,119463,James Mouton,Kelly Stinnett,2,2,8,True,2001-04-17,Caught,2B,2001
1B,2B,Stolen Base 2B,136607,Joe McEwing,Kelly Stinnett,0,1,6,False,2001-04-14,Stolen,2B,2001
1B,2B,Stolen Base 2B,111531,Adrian Brown,Kelly Stinnett,0,2,3,False,2001-04-09,Stolen,2B,2001
1B,,Caught Stealing 2B,111742,Jeromy Burnitz,Kelly Stinnett,0,0,2,False,2001-04-06,Caught,2B,2001
1B,2B,Stolen Base 2B,150071,Ronnie Belliard,Kelly Stinnett,3,2,5,False,2001-04-06,Stolen,2B,2001
1B,2B,Stolen Base 2B,116075,Todd Hollandsworth,Kelly Stinnett,0,2,2,False,2000-09-26,Stolen,2B,2000
1B,2B,Stolen Base 2B,114464,Jeff Frye,Kelly Stinnett,1,0,2,False,2000-09-25,Stolen,2B,2000
1B,2B,Stolen Base 2B,122205,Terry Shumpert,Kelly Stinnett,1,1,3,False,2000-09-25,Stolen,2B,2000
1B,,Caught Stealing 2B,279577,Rafael Furcal,Kelly Stinnett,1,2,7,True,2000-09-17,Caught,2B,2000
1B,2B,Stolen Base 2B,115094,Shawn Green,Kelly Stinnett,2,1,9,True,2000-09-13,Stolen,2B,2000
1B,2B,Stolen Base 2B,115094,Shawn Green,Kelly Stinnett,0,4,5,True,2000-09-11,Stolen,2B,2000
1B,2B,Stolen Base 2B,115094,Shawn Green,Kelly Stinnett,1,6,9,True,2000-09-11,Stolen,2B,2000
1B,,Caught Stealing 2B,112116,Luis Castillo,Kelly Stinnett,0,0,1,False,2000-09-09,Caught,2B,2000
1B,2B,Stolen Base 2B,114353,Andy Fox,Kelly Stinnett,0,1,2,True,2000-09-03,Stolen,2B,2000
1B,2B,Stolen Base 2B,114260,Cliff Floyd,Kelly Stinnett,0,2,3,True,2000-09-03,Stolen,2B,2000
1B,2B,Stolen Base 2B,133343,Preston Wilson,Kelly Stinnett,0,3,3,True,2000-09-03,Stolen,2B,2000
1B,2B,Stolen Base 2B,112116,Luis Castillo,Kelly Stinnett,5,3,5,True,2000-09-03,Stolen,2B,2000
1B,2B,Stolen Base 2B,133343,Preston Wilson,Kelly Stinnett,5,4,5,True,2000-09-03,Stolen,2B,2000
1B,2B,Stolen Base 2B,124704,Kevin Young,Kelly Stinnett,2,0,1,False,2000-08-13,Stolen,2B,2000
1B,2B,Stolen Base 2B,110862,Mike Benjamin,Kelly Stinnett,6,6,5,False,2000-08-13,Stolen,2B,2000
1B,2B,Stolen Base 2B,123639,John Vander Wal,Kelly Stinnett,6,7,8,False,2000-08-13,Stolen,2B,2000
2B,3B,Stolen Base 3B,150401,Tomas De La Rosa,Kelly Stinnett,3,2,7,True,2000-08-09,Stolen,3B,2000
1B,2B,Stolen Base 2B,115224,Wilton Guerrero,Kelly Stinnett,3,2,7,True,2000-08-09,Stolen,2B,2000
2B,,Caught Stealing 3B,150395,Peter Bergeron,Kelly Stinnett,3,7,7,True,2000-08-08,Caught,3B,2000
1B,2B,Caught Stealing 3B,119348,Mike Mordecai,Kelly Stinnett,3,7,7,True,2000-08-08,Caught,3B,2000
2B,3B,Stolen Base 3B,112116,Luis Castillo,Kelly Stinnett,1,0,1,False,2000-07-30,Stolen,3B,2000
1B,2B,Stolen Base 2B,112116,Luis Castillo,Kelly Stinnett,1,0,3,False,2000-07-30,Stolen,2B,2000
2B,3B,Stolen Base 3B,121074,Edgar Renteria,Kelly Stinnett,1,3,5,False,2000-07-25,Stolen,3B,2000
1B,2B,Stolen Base 2B,113744,Jim Edmonds,Kelly Stinnett,1,3,5,False,2000-07-25,Stolen,2B,2000
2B,3B,Stolen Base 2B,113744,Jim Edmonds,Kelly Stinnett,1,3,5,False,2000-07-25,Stolen,2B,2000
1B,2B,Stolen Base 2B,120214,Craig Paquette,Kelly Stinnett,7,3,7,False,2000-07-25,Stolen,2B,2000
1B,2B,Stolen Base 2B,110974,Dante Bichette,Kelly Stinnett,2,4,8,True,2000-06-30,Stolen,2B,2000
1B,2B,Stolen Base 2B,111213,Aaron Boone,Kelly Stinnett,2,5,8,True,2000-06-30,Stolen,2B,2000
1B,2B,Stolen Base 2B,121009,Pokey Reese,Kelly Stinnett,2,5,8,True,2000-06-30,Stolen,2B,2000
1B,,Caught Stealing 2B,119913,Alex Ochoa,Kelly Stinnett,4,5,9,True,2000-06-30,Caught,2B,2000
1B,2B,Stolen Base 2B,150061,Julio Lugo,Kelly Stinnett,1,6,6,True,2000-06-27,Stolen,2B,2000
1B,2B,Stolen Base 2B,116326,Brian L. Hunter,Kelly Stinnett,0,0,4,True,2000-06-24,Stolen,2B,2000
1B,2B,Stolen Base 2B,115394,Jeffrey Hammonds,Kelly Stinnett,0,1,4,True,2000-06-24,Stolen,2B,2000
