Start_Base,End_Base,Event,runner_id,runner_name,credit,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year
2B,,Caught Stealing 3B,547004,Rio Ruiz,Kyle Higashioka,1,1,5,True,2020-09-13,Caught,3B,2020
2B,3B,Stolen Base 3B,624415,Cavan Biggio,Kyle Higashioka,1,2,1,False,2020-09-07,Stolen,3B,2020
1B,2B,Stolen Base 2B,665489,Vladimir Guerrero Jr.,Kyle Higashioka,6,6,6,False,2020-09-07,Stolen,2B,2020
1B,2B,Stolen Base 2B,666971,Lourdes Gurriel Jr.,Kyle Higashioka,6,6,6,False,2020-09-07,Stolen,2B,2020
2B,,Caught Stealing 3B,571740,Billy Hamilton,Kyle Higashioka,7,7,9,False,2020-09-03,Caught,3B,2020
2B,,Caught Stealing 3B,571740,Billy Hamilton,Kyle Higashioka,7,7,9,False,2020-08-23,Caught,3B,2020
1B,2B,Stolen Base 2B,607043,Brandon Nimmo,Kyle Higashioka,2,3,5,False,2020-07-18,Stolen,2B,2020
1B,2B,Stolen Base 2B,666182,Bo Bichette,Kyle Higashioka,0,1,2,False,2021-09-30,Stolen,2B,2021
1B,2B,Stolen Base 2B,572816,Corey Dickerson,Kyle Higashioka,1,1,4,False,2021-09-30,Stolen,2B,2021
1B,2B,Stolen Base 2B,669289,Santiago Espinal,Kyle Higashioka,2,6,9,False,2021-09-30,Stolen,2B,2021
1B,2B,Stolen Base 2B,608070,José Ramírez,Kyle Higashioka,0,0,1,True,2021-09-17,Stolen,2B,2021
1B,2B,Stolen Base 2B,595879,Javier Báez,Kyle Higashioka,0,5,2,False,2021-09-11,Stolen,2B,2021
1B,2B,Stolen Base 2B,650333,Luis Arraez,Kyle Higashioka,1,0,4,True,2021-08-21,Stolen,2B,2021
1B,,Caught Stealing 2B,593871,Jorge Polanco,Kyle Higashioka,0,0,1,True,2021-08-19,Caught,2B,2021
