Start_Base,End_Base,Event,runner_id,runner_name,credit,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year
1B,2B,Stolen Base 2B,596103,Austin Slater,Luis Campusano,0,2,3,True,2021-04-07,Stolen,2B,2021
1B,2B,Stolen Base 2B,573131,Darin Ruf,Luis Campusano,0,2,4,True,2021-04-07,Stolen,2B,2021
1B,2B,Stolen Base 2B,641796,Tim Locastro,Luis Campusano,3,2,7,True,2021-04-02,Stolen,2B,2021
2B,3B,Stolen Base 3B,691023,Jordan Walker,Luis Campusano,2,5,11,True,2023-09-23,Stolen,3B,2023
1B,2B,Stolen Base 2B,672279,Michael Siani,Luis Campusano,2,5,11,True,2023-09-23,Stolen,2B,2023
1B,2B,Stolen Base 2B,666134,Nolan Jones,Luis Campusano,0,0,2,True,2023-09-19,Stolen,2B,2023
2B,3B,Stolen Base 3B,666134,Nolan Jones,Luis Campusano,0,0,2,True,2023-09-19,Stolen,3B,2023
1B,2B,Stolen Base 2B,666134,Nolan Jones,Luis Campusano,0,0,7,True,2023-09-19,Stolen,2B,2023
1B,2B,Stolen Base 2B,665923,Esteury Ruiz,Luis Campusano,2,4,3,False,2023-09-15,Stolen,2B,2023
1B,2B,Stolen Base 2B,680869,Zack Gelof,Luis Campusano,3,5,8,False,2023-09-15,Stolen,2B,2023
1B,2B,Stolen Base 2B,605141,Mookie Betts,Luis Campusano,0,1,1,False,2023-09-13,Stolen,2B,2023
1B,2B,Stolen Base 2B,605141,Mookie Betts,Luis Campusano,0,1,3,False,2023-09-13,Stolen,2B,2023
1B,2B,Stolen Base 2B,676801,Chas McCormick,Luis Campusano,1,0,3,False,2023-09-10,Stolen,2B,2023
1B,2B,Stolen Base 2B,663656,Kyle Tucker,Luis Campusano,4,0,4,False,2023-09-10,Stolen,2B,2023
2B,3B,Stolen Base 3B,663656,Kyle Tucker,Luis Campusano,4,0,4,False,2023-09-10,Stolen,3B,2023
1B,2B,Stolen Base 2B,676801,Chas McCormick,Luis Campusano,4,0,4,False,2023-09-10,Stolen,2B,2023
2B,3B,Stolen Base 3B,655316,Andruw Monasterio,Luis Campusano,2,1,5,False,2023-08-26,Stolen,3B,2023
1B,2B,Stolen Base 2B,621438,Tyrone Taylor,Luis Campusano,2,1,5,False,2023-08-26,Stolen,2B,2023
1B,2B,Stolen Base 2B,677950,Alek Thomas,Luis Campusano,3,6,8,True,2023-08-19,Stolen,2B,2023
2B,3B,Stolen Base 3B,502054,Tommy Pham,Luis Campusano,1,0,1,False,2023-08-12,Stolen,3B,2023
1B,2B,Stolen Base 2B,676609,José Caballero,Luis Campusano,1,1,7,False,2023-08-09,Stolen,2B,2023
1B,2B,Stolen Base 2B,681546,James Outman,Luis Campusano,3,2,7,True,2023-08-04,Stolen,2B,2023
1B,2B,Stolen Base 2B,642708,Amed Rosario,Luis Campusano,3,7,8,True,2023-08-04,Stolen,2B,2023
1B,2B,Stolen Base 2B,605141,Mookie Betts,Luis Campusano,4,7,9,True,2023-08-04,Stolen,2B,2023
2B,,Caught Stealing 3B,680779,Henry Davis,Luis Campusano,1,3,9,True,2023-07-26,Caught,3B,2023
1B,2B,Stolen Base 2B,457705,Andrew McCutchen,Luis Campusano,1,3,3,True,2023-07-24,Stolen,2B,2023
1B,2B,Stolen Base 2B,595281,Kevin Kiermaier,Luis Campusano,0,0,2,False,2023-07-19,Stolen,2B,2023
1B,2B,Stolen Base 2B,680911,Owen Miller,Luis Campusano,0,7,5,True,2023-04-14,Stolen,2B,2023
1B,2B,Stolen Base 2B,641796,Tim Locastro,Luis Campusano,1,2,8,False,2023-04-11,Stolen,2B,2023
2B,3B,Stolen Base 3B,607208,Trea Turner,Luis Campusano,2,2,6,True,2022-09-29,Stolen,3B,2022
1B,2B,Stolen Base 2B,518692,Freddie Freeman,Luis Campusano,2,2,6,True,2022-09-29,Stolen,2B,2022
1B,2B,Stolen Base 2B,621035,Chris Taylor,Luis Campusano,3,0,4,False,2022-09-03,Stolen,2B,2022
1B,2B,Stolen Base 2B,641531,Hunter Dozier,Luis Campusano,8,4,6,False,2022-08-28,Stolen,2B,2022
2B,3B,Stolen Base 3B,641531,Hunter Dozier,Luis Campusano,9,4,6,False,2022-08-28,Stolen,3B,2022
1B,2B,Stolen Base 2B,664728,Kyle Isbel,Luis Campusano,9,4,6,False,2022-08-28,Stolen,2B,2022
2B,3B,Stolen Base 2B,664728,Kyle Isbel,Luis Campusano,9,4,6,False,2022-08-28,Stolen,2B,2022
