Start_Base,End_Base,Event,runner_id,runner_name,credit,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year
1B,2B,Stolen Base 2B,570256,Gregory Polanco,Matt Wieters,0,0,4,True,2020-09-18,Stolen,2B,2020
1B,2B,Stolen Base 2B,570256,Gregory Polanco,Matt Wieters,0,0,4,True,2020-08-12,Stolen,2B,2020
2B,3B,Stolen Base 3B,453056,Jacoby Ellsbury,Matt Wieters,0,3,6,True,2009-08-01,Stolen,3B,2009
1B,2B,Stolen Base 2B,453056,Jacoby Ellsbury,Matt Wieters,0,0,1,True,2009-07-31,Stolen,2B,2009
1B,,Caught Stealing 2B,456030,Dustin Pedroia,Matt Wieters,3,4,5,True,2009-07-31,Caught,2B,2009
1B,2B,Stolen Base 2B,433597,Mark Teahen,Matt Wieters,3,3,11,True,2009-07-28,Stolen,2B,2009
1B,2B,Stolen Base 2B,217100,Willie Bloomquist,Matt Wieters,0,0,1,True,2009-07-27,Stolen,2B,2009
1B,2B,Stolen Base 2B,460086,Alex Gordon,Matt Wieters,1,1,2,True,2009-07-27,Stolen,2B,2009
2B,3B,Stolen Base 3B,453056,Jacoby Ellsbury,Matt Wieters,4,0,2,False,2009-07-25,Stolen,3B,2009
1B,2B,Stolen Base 2B,453056,Jacoby Ellsbury,Matt Wieters,0,0,1,False,2009-07-24,Stolen,2B,2009
1B,2B,Stolen Base 2B,121347,Alex Rodriguez,Matt Wieters,0,1,2,False,2009-07-21,Stolen,2B,2009
1B,2B,Stolen Base 2B,116539,Derek Jeter,Matt Wieters,1,2,3,False,2009-07-21,Stolen,2B,2009
1B,2B,Stolen Base 2B,285068,Cody Ransom,Matt Wieters,5,2,4,False,2009-07-21,Stolen,2B,2009
1B,,Caught Stealing 2B,121347,Alex Rodriguez,Matt Wieters,6,4,7,False,2009-07-21,Caught,2B,2009
1B,2B,Stolen Base 2B,325392,Scott Podsednik,Matt Wieters,6,5,6,False,2009-07-17,Stolen,2B,2009
1B,2B,Stolen Base 2B,340192,Marco Scutaro,Matt Wieters,3,3,12,True,2009-07-11,Stolen,2B,2009
2B,,Caught Stealing 3B,429711,Franklin Gutierrez,Matt Wieters,1,0,2,False,2009-07-06,Caught,3B,2009
1B,2B,Stolen Base 2B,435062,Howie Kendrick,Matt Wieters,6,6,6,False,2009-07-05,Stolen,2B,2009
1B,,Caught Stealing 2B,408210,Chone Figgins,Matt Wieters,3,6,7,False,2009-07-03,Caught,2B,2009
1B,2B,Stolen Base 2B,430895,Maicer Izturis,Matt Wieters,5,1,6,False,2009-07-02,Stolen,2B,2009
1B,2B,Stolen Base 2B,150061,Julio Lugo,Matt Wieters,0,2,1,True,2009-06-30,Stolen,2B,2009
2B,3B,Stolen Base 3B,456030,Dustin Pedroia,Matt Wieters,0,4,2,True,2009-06-30,Stolen,3B,2009
1B,2B,Stolen Base 2B,453056,Jacoby Ellsbury,Matt Wieters,0,1,2,True,2009-06-29,Stolen,2B,2009
1B,2B,Stolen Base 2B,456030,Dustin Pedroia,Matt Wieters,0,1,3,True,2009-06-29,Stolen,2B,2009
1B,2B,Stolen Base 2B,453056,Jacoby Ellsbury,Matt Wieters,0,2,4,True,2009-06-29,Stolen,2B,2009
1B,,Caught Stealing 2B,435038,Anderson Hernandez,Matt Wieters,1,0,3,True,2009-06-28,Caught,2B,2009
1B,2B,Stolen Base 2B,407483,Willie Harris,Matt Wieters,1,2,5,True,2009-06-28,Stolen,2B,2009
2B,3B,Stolen Base 3B,425545,Josh Willingham,Matt Wieters,1,5,8,True,2009-06-28,Stolen,3B,2009
1B,2B,Stolen Base 2B,434670,Hanley Ramirez,Matt Wieters,3,0,3,False,2009-06-25,Stolen,2B,2009
1B,2B,Stolen Base 2B,466988,Emilio Bonifácio,Matt Wieters,4,2,7,False,2009-06-24,Stolen,2B,2009
1B,2B,Stolen Base 2B,434670,Hanley Ramirez,Matt Wieters,4,2,7,False,2009-06-24,Stolen,2B,2009
2B,3B,Stolen Base 3B,425664,Shane Victorino,Matt Wieters,2,3,5,False,2009-06-19,Stolen,3B,2009
2B,3B,Stolen Base 3B,136860,Carlos Beltrán,Matt Wieters,1,0,4,True,2009-06-18,Stolen,3B,2009
1B,2B,Stolen Base 2B,133321,Alex Cora,Matt Wieters,2,3,7,True,2009-06-18,Stolen,2B,2009
1B,2B,Stolen Base 2B,136860,Carlos Beltrán,Matt Wieters,2,4,7,True,2009-06-18,Stolen,2B,2009
1B,2B,Stolen Base 2B,431151,David Wright,Matt Wieters,2,6,9,True,2009-06-16,Stolen,2B,2009
1B,2B,Stolen Base 2B,111851,Orlando Cabrera,Matt Wieters,0,0,1,False,2009-06-07,Stolen,2B,2009
1B,2B,Stolen Base 2B,400085,Ichiro Suzuki,Matt Wieters,3,0,4,False,2009-06-02,Stolen,2B,2009
1B,2B,Stolen Base 2B,429711,Franklin Gutierrez,Matt Wieters,7,1,8,False,2009-06-02,Stolen,2B,2009
3B,,Caught Stealing Home,430605,Ryan Raburn,Matt Wieters,3,6,8,True,2009-05-30,Caught,Home,2009
1B,2B,Caught Stealing Home,408042,Gerald Laird,Matt Wieters,3,6,8,True,2009-05-30,Caught,Home,2009
1B,2B,Stolen Base 2B,641796,Tim Locastro,Matt Wieters,2,0,2,False,2019-09-25,Stolen,2B,2019
1B,2B,Stolen Base 2B,516782,Starling Marte,Matt Wieters,2,2,6,True,2019-08-09,Stolen,2B,2019
1B,2B,Stolen Base 2B,457759,Justin Turner,Matt Wieters,3,0,3,False,2019-08-05,Stolen,2B,2019
1B,,Caught Stealing 2B,543760,Marcus Semien,Matt Wieters,4,0,4,False,2019-08-03,Caught,2B,2019
2B,3B,Stolen Base 3B,595879,Javier Báez,Matt Wieters,0,2,8,True,2019-07-31,Stolen,3B,2019
1B,,Caught Stealing 2B,518792,Jason Heyward,Matt Wieters,1,1,6,True,2019-07-30,Caught,2B,2019
1B,,Caught Stealing 2B,621028,Kevin Newman,Matt Wieters,2,2,6,False,2019-07-22,Caught,2B,2019
1B,2B,Stolen Base 2B,553993,Eugenio Suárez,Matt Wieters,3,2,8,False,2019-07-20,Stolen,2B,2019
1B,2B,Stolen Base 2B,578428,Jose Iglesias,Matt Wieters,3,0,4,False,2019-07-18,Stolen,2B,2019
1B,,Caught Stealing 2B,516782,Starling Marte,Matt Wieters,0,0,4,True,2019-07-16,Caught,2B,2019
1B,,Caught Stealing 2B,621028,Kevin Newman,Matt Wieters,0,1,5,True,2019-07-16,Caught,2B,2019
1B,2B,Stolen Base 2B,573262,Mike Yastrzemski,Matt Wieters,5,1,7,False,2019-07-06,Stolen,2B,2019
1B,,Caught Stealing 2B,664238,Dylan Moore,Matt Wieters,4,3,4,False,2019-07-04,Caught,2B,2019
1B,2B,Stolen Base 2B,519203,Anthony Rizzo,Matt Wieters,0,0,1,False,2019-06-07,Stolen,2B,2019
1B,,Caught Stealing 2B,471865,Carlos González,Matt Wieters,2,0,4,False,2019-06-07,Caught,2B,2019
1B,2B,Stolen Base 2B,623520,David Bote,Matt Wieters,3,0,7,False,2019-06-07,Stolen,2B,2019
1B,2B,Stolen Base 2B,624577,Yasiel Puig,Matt Wieters,1,1,6,True,2019-06-06,Stolen,2B,2019
1B,2B,Stolen Base 2B,606299,José Peraza,Matt Wieters,1,4,5,True,2019-06-04,Stolen,2B,2019
1B,,Caught Stealing 2B,595879,Javier Báez,Matt Wieters,1,1,6,True,2019-05-31,Caught,2B,2019
1B,2B,Stolen Base 2B,621573,Austin Dean,Matt Wieters,2,1,4,True,2018-09-24,Stolen,2B,2018
2B,3B,Stolen Base 3B,642423,Magneuris Sierra,Matt Wieters,5,4,6,False,2018-09-17,Stolen,3B,2018
1B,,Caught Stealing 2B,664023,Ian Happ,Matt Wieters,0,0,3,True,2018-09-13,Caught,2B,2018
1B,,Caught Stealing 2B,664023,Ian Happ,Matt Wieters,0,0,3,True,2018-09-09,Caught,2B,2018
1B,2B,Stolen Base 2B,664056,Harrison Bader,Matt Wieters,1,2,2,True,2018-09-03,Stolen,2B,2018
1B,2B,Stolen Base 2B,621550,Patrick Wisdom,Matt Wieters,1,3,8,True,2018-09-03,Stolen,2B,2018
1B,2B,Stolen Base 2B,592885,Christian Yelich,Matt Wieters,0,2,5,True,2018-09-01,Stolen,2B,2018
1B,2B,Stolen Base 2B,592885,Christian Yelich,Matt Wieters,1,4,5,True,2018-08-31,Stolen,2B,2018
1B,2B,Stolen Base 2B,596451,Roman Quinn,Matt Wieters,0,0,1,False,2018-08-29,Stolen,2B,2018
1B,2B,Stolen Base 2B,514917,César Hernández,Matt Wieters,6,6,7,False,2018-08-29,Stolen,2B,2018
1B,2B,Stolen Base 2B,643446,Jeff McNeil,Matt Wieters,0,0,1,False,2018-08-25,Stolen,2B,2018
1B,,Caught Stealing 2B,642708,Amed Rosario,Matt Wieters,0,0,3,False,2018-08-25,Caught,2B,2018
1B,2B,Stolen Base 2B,642708,Amed Rosario,Matt Wieters,0,0,1,False,2018-08-24,Stolen,2B,2018
1B,2B,Stolen Base 2B,643446,Jeff McNeil,Matt Wieters,3,0,8,False,2018-08-24,Stolen,2B,2018
1B,,Caught Stealing 2B,514917,César Hernández,Matt Wieters,0,2,8,True,2018-08-23,Caught,2B,2018
1B,2B,Stolen Base 2B,543194,Isaac Galloway,Matt Wieters,0,0,2,True,2018-08-19,Stolen,2B,2018
1B,,Caught Stealing 2B,516770,Starlin Castro,Matt Wieters,2,1,4,True,2018-08-18,Caught,2B,2018
2B,,Caught Stealing 3B,542364,Rafael Ortega,Matt Wieters,2,0,4,True,2018-08-17,Caught,3B,2018
1B,2B,Caught Stealing 3B,592663,J.T. Realmuto,Matt Wieters,2,0,4,True,2018-08-17,Caught,3B,2018
1B,,Caught Stealing 2B,519203,Anthony Rizzo,Matt Wieters,1,3,3,False,2018-08-11,Caught,2B,2018
1B,2B,Stolen Base 2B,660670,Ronald Acuña Jr.,Matt Wieters,1,3,3,True,2018-08-08,Stolen,2B,2018
1B,2B,Stolen Base 2B,571740,Billy Hamilton,Matt Wieters,1,6,6,True,2018-08-04,Stolen,2B,2018
1B,2B,Stolen Base 2B,571740,Billy Hamilton,Matt Wieters,1,6,6,True,2018-08-03,Stolen,2B,2018
1B,,Caught Stealing 2B,642708,Amed Rosario,Matt Wieters,0,0,1,True,2018-07-31,Caught,2B,2018
1B,2B,Stolen Base 2B,542979,Keon Broxton,Matt Wieters,1,1,3,False,2018-07-23,Stolen,2B,2018
1B,2B,Stolen Base 2B,621020,Dansby Swanson,Matt Wieters,3,2,4,True,2018-07-22,Stolen,2B,2018
1B,,Caught Stealing 2B,518586,Charlie Culberson,Matt Wieters,3,2,5,True,2018-07-22,Caught,2B,2018
1B,2B,Stolen Base 2B,475247,Ryan Flaherty,Matt Wieters,4,2,7,True,2018-07-22,Stolen,2B,2018
1B,2B,Stolen Base 2B,660670,Ronald Acuña Jr.,Matt Wieters,0,1,1,True,2018-07-20,Stolen,2B,2018
2B,3B,Stolen Base 3B,645277,Ozzie Albies,Matt Wieters,0,2,1,True,2018-07-20,Stolen,3B,2018
1B,2B,Stolen Base 2B,660670,Ronald Acuña Jr.,Matt Wieters,1,2,3,True,2018-07-20,Stolen,2B,2018
1B,2B,Stolen Base 2B,621020,Dansby Swanson,Matt Wieters,2,3,4,True,2018-07-20,Stolen,2B,2018
2B,3B,Stolen Base 3B,642708,Amed Rosario,Matt Wieters,4,1,6,False,2018-07-13,Stolen,3B,2018
1B,,Caught Stealing 2B,516782,Starling Marte,Matt Wieters,2,0,5,False,2018-07-11,Caught,2B,2018
1B,2B,Stolen Base 2B,570256,Gregory Polanco,Matt Wieters,3,0,1,False,2018-07-09,Stolen,2B,2018
1B,2B,Stolen Base 2B,516782,Starling Marte,Matt Wieters,6,1,4,False,2018-07-09,Stolen,2B,2018
1B,2B,Stolen Base 2B,425844,Zack Greinke,Matt Wieters,1,0,5,False,2018-05-10,Stolen,2B,2018
1B,,Caught Stealing 2B,502481,Jarrod Dyson,Matt Wieters,1,1,10,False,2018-05-10,Caught,2B,2018
1B,2B,Stolen Base 2B,519306,Steven Souza Jr.,Matt Wieters,1,2,11,False,2018-05-10,Stolen,2B,2018
2B,,Caught Stealing 3B,622534,Manuel Margot,Matt Wieters,1,1,4,False,2018-05-09,Caught,3B,2018
1B,2B,Stolen Base 2B,622534,Manuel Margot,Matt Wieters,1,1,7,False,2018-05-09,Stolen,2B,2018
2B,3B,Stolen Base 3B,614173,Franchy Cordero,Matt Wieters,2,1,8,False,2018-05-09,Stolen,3B,2018
1B,2B,Stolen Base 2B,520471,Freddy Galvis,Matt Wieters,2,1,8,False,2018-05-09,Stolen,2B,2018
1B,,Caught Stealing 2B,543333,Eric Hosmer,Matt Wieters,0,1,1,False,2018-05-07,Caught,2B,2018
1B,2B,Stolen Base 2B,608671,Travis Jankowski,Matt Wieters,0,1,4,False,2018-05-07,Stolen,2B,2018
1B,,Caught Stealing 2B,520471,Freddy Galvis,Matt Wieters,1,1,5,False,2018-05-07,Caught,2B,2018
1B,2B,Stolen Base 2B,465753,Pedro Florimón,Matt Wieters,1,0,7,True,2018-05-06,Stolen,2B,2018
1B,,Caught Stealing 2B,570256,Gregory Polanco,Matt Wieters,1,0,3,True,2018-04-30,Caught,2B,2018
1B,,Caught Stealing 2B,605113,Nick Ahmed,Matt Wieters,0,2,2,True,2018-04-27,Caught,2B,2018
1B,,Caught Stealing 2B,572008,Chris Owings,Matt Wieters,4,5,7,True,2018-04-27,Caught,2B,2018
1B,,Caught Stealing 2B,621035,Chris Taylor,Matt Wieters,4,3,7,False,2018-04-22,Caught,2B,2018
1B,2B,Stolen Base 2B,624577,Yasiel Puig,Matt Wieters,1,0,5,False,2018-04-21,Stolen,2B,2018
1B,2B,Stolen Base 2B,501571,Juan Lagares,Matt Wieters,2,1,6,False,2018-04-16,Stolen,2B,2018
2B,3B,Stolen Base 3B,501571,Juan Lagares,Matt Wieters,2,1,6,False,2018-04-16,Stolen,3B,2018
1B,,Caught Stealing 2B,642708,Amed Rosario,Matt Wieters,4,1,6,False,2018-04-16,Caught,2B,2018
1B,2B,Stolen Base 2B,572191,Michael A. Taylor,Matt Wieters,3,2,6,False,2015-09-23,Stolen,2B,2015
1B,,Caught Stealing 2B,543484,Mikie Mahtook,Matt Wieters,1,2,8,False,2015-09-19,Caught,2B,2015
