Start_Base,End_Base,Event,runner_id,runner_name,credit,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year
1B,,Caught Stealing 2B,621035,Chris Taylor,Rob Brantly,4,1,5,False,2020-07-24,Caught,2B,2020
1B,2B,Stolen Base 2B,592626,Joc Pederson,Rob Brantly,6,1,7,False,2020-07-24,Stolen,2B,2020
2B,3B,Stolen Base 2B,592626,Joc Pederson,Rob Brantly,6,1,7,False,2020-07-24,Stolen,2B,2020
1B,,Caught Stealing 2B,543760,Marcus Semien,Rob Brantly,3,2,5,True,2020-07-21,Caught,2B,2020
1B,2B,Stolen Base 2B,593160,Whit Merrifield,Rob Brantly,0,3,1,False,2021-08-11,Stolen,2B,2021
1B,2B,Stolen Base 2B,641531,Hunter Dozier,Rob Brantly,1,3,2,False,2021-08-11,Stolen,2B,2021
1B,,Caught Stealing 2B,593160,Whit Merrifield,Rob Brantly,2,5,7,False,2021-08-11,Caught,2B,2021
1B,2B,Stolen Base 2B,572122,Kyle Seager,Rob Brantly,1,4,5,True,2021-08-07,Stolen,2B,2021
1B,,Caught Stealing 2B,614173,Franchy Cordero,Rob Brantly,3,0,7,False,2021-07-24,Caught,2B,2021
1B,,Caught Stealing 2B,434658,Rajai Davis,Rob Brantly,2,3,3,False,2015-09-21,Caught,2B,2015
2B,3B,Stolen Base 3B,453539,Sam Fuld,Rob Brantly,7,7,9,True,2015-09-14,Stolen,3B,2015
1B,,Caught Stealing 2B,116338,Torii Hunter,Rob Brantly,0,0,2,True,2015-09-11,Caught,2B,2015
1B,2B,Stolen Base 2B,543305,Aaron Hicks,Rob Brantly,0,0,3,True,2015-09-11,Stolen,2B,2015
1B,2B,Stolen Base 2B,592230,Kaleb Cowart,Rob Brantly,0,1,5,True,2017-09-28,Stolen,2B,2017
1B,2B,Stolen Base 2B,435079,Ian Kinsler,Rob Brantly,1,0,1,False,2017-09-17,Stolen,2B,2017
1B,,Caught Stealing 2B,592206,Nick Castellanos,Rob Brantly,1,0,1,False,2017-09-17,Caught,2B,2017
1B,2B,Stolen Base 2B,596019,Francisco Lindor,Rob Brantly,4,6,6,True,2017-09-05,Stolen,2B,2017
1B,2B,Stolen Base 2B,502517,Daniel Murphy,Rob Brantly,0,0,1,False,2013-09-14,Stolen,2B,2013
1B,2B,Stolen Base 2B,458913,Eric Young Jr.,Rob Brantly,1,0,2,False,2013-09-14,Stolen,2B,2013
1B,,Caught Stealing 2B,471107,Elliot Johnson,Rob Brantly,1,4,4,True,2013-09-12,Caught,2B,2013
1B,2B,Stolen Base 2B,471107,Elliot Johnson,Rob Brantly,3,4,8,True,2013-09-10,Stolen,2B,2013
1B,2B,Stolen Base 2B,471107,Elliot Johnson,Rob Brantly,0,5,4,True,2013-09-09,Stolen,2B,2013
