Start_Base,End_Base,Event,runner_id,runner_name,credit,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year
1B,2B,Stolen Base 2B,435559,Kurt Suzuki,Robinson Chirinos,3,0,3,False,2020-09-26,Stolen,2B,2020
1B,2B,Stolen Base 2B,435559,Kurt Suzuki,Robinson Chirinos,3,0,3,False,2020-09-25,Stolen,2B,2020
2B,3B,Stolen Base 3B,621563,Joey Wendle,Robinson Chirinos,3,1,7,True,2020-09-22,Stolen,3B,2020
1B,2B,Stolen Base 2B,642715,Willy Adames,Robinson Chirinos,3,1,7,True,2020-09-22,Stolen,2B,2020
1B,2B,Stolen Base 2B,656775,Cedric Mullins,Robinson Chirinos,0,2,2,True,2020-09-09,Stolen,2B,2020
2B,3B,Stolen Base 3B,605141,Mookie Betts,Robinson Chirinos,3,7,7,True,2020-08-29,Stolen,3B,2020
1B,2B,Stolen Base 2B,608369,Corey Seager,Robinson Chirinos,3,7,7,True,2020-08-29,Stolen,2B,2020
1B,2B,Stolen Base 2B,605131,Austin Barnes,Robinson Chirinos,4,7,8,True,2020-08-29,Stolen,2B,2020
1B,2B,Stolen Base 2B,643393,Tony Kemp,Robinson Chirinos,0,1,6,False,2020-08-04,Stolen,2B,2020
1B,2B,Stolen Base 2B,573262,Mike Yastrzemski,Robinson Chirinos,4,2,5,False,2020-07-31,Stolen,2B,2020
1B,2B,Stolen Base 2B,516782,Starling Marte,Robinson Chirinos,0,3,5,True,2020-07-28,Stolen,2B,2020
1B,,Caught Stealing 2B,596115,Trevor Story,Robinson Chirinos,0,0,1,True,2020-07-26,Caught,2B,2020
1B,2B,Stolen Base 2B,596115,Trevor Story,Robinson Chirinos,0,0,1,True,2020-07-24,Stolen,2B,2020
2B,3B,Stolen Base 3B,547180,Bryce Harper,Robinson Chirinos,4,2,5,False,2021-09-15,Stolen,3B,2021
1B,2B,Stolen Base 2B,592663,J.T. Realmuto,Robinson Chirinos,4,2,5,False,2021-09-15,Stolen,2B,2021
1B,,Caught Stealing 2B,547180,Bryce Harper,Robinson Chirinos,4,2,7,False,2021-09-15,Caught,2B,2021
1B,,Caught Stealing 2B,592325,Ben Gamel,Robinson Chirinos,0,1,2,True,2021-09-05,Caught,2B,2021
2B,3B,Stolen Base 3B,668804,Bryan Reynolds,Robinson Chirinos,7,6,5,True,2021-09-05,Stolen,3B,2021
1B,,Caught Stealing 2B,621439,Byron Buxton,Robinson Chirinos,1,1,1,False,2021-08-31,Caught,2B,2021
1B,2B,Stolen Base 2B,593934,Miguel Sanó,Robinson Chirinos,1,2,2,False,2021-08-31,Stolen,2B,2021
1B,,Caught Stealing 2B,641658,Garrett Hampson,Robinson Chirinos,0,2,2,True,2021-08-25,Caught,2B,2021
1B,2B,Stolen Base 2B,641658,Garrett Hampson,Robinson Chirinos,5,6,6,True,2021-08-25,Stolen,2B,2021
1B,,Caught Stealing 2B,641658,Garrett Hampson,Robinson Chirinos,0,2,2,True,2021-08-24,Caught,2B,2021
1B,2B,Stolen Base 2B,641658,Garrett Hampson,Robinson Chirinos,5,6,6,True,2021-08-24,Stolen,2B,2021
1B,2B,Stolen Base 2B,572191,Michael A. Taylor,Robinson Chirinos,0,1,1,True,2021-08-21,Stolen,2B,2021
1B,2B,Stolen Base 2B,670032,Nicky Lopez,Robinson Chirinos,0,4,7,True,2021-08-21,Stolen,2B,2021
3B,score,Stolen Base Home,593160,Whit Merrifield,Robinson Chirinos,0,4,7,True,2021-08-21,Stolen,Home,2021
2B,3B,Stolen Base 3B,670032,Nicky Lopez,Robinson Chirinos,0,4,7,True,2021-08-21,Stolen,3B,2021
2B,3B,Stolen Base 3B,642423,Magneuris Sierra,Robinson Chirinos,1,0,5,False,2021-08-15,Stolen,3B,2021
1B,2B,Stolen Base 2B,595751,Jorge Alfaro,Robinson Chirinos,2,1,6,False,2021-08-15,Stolen,2B,2021
1B,2B,Stolen Base 2B,656371,Isan Díaz,Robinson Chirinos,5,4,2,False,2021-08-13,Stolen,2B,2021
1B,2B,Stolen Base 2B,662139,Daulton Varsho,Robinson Chirinos,4,2,7,False,2021-07-18,Stolen,2B,2021
1B,2B,Stolen Base 2B,668942,Josh Rojas,Robinson Chirinos,4,2,8,False,2021-07-18,Stolen,2B,2021
1B,2B,Stolen Base 2B,544369,Didi Gregorius,Robinson Chirinos,0,1,2,True,2021-07-08,Stolen,2B,2021
3B,score,Stolen Base Home,592663,J.T. Realmuto,Robinson Chirinos,0,1,2,True,2021-07-08,Stolen,Home,2021
1B,2B,Stolen Base 2B,502054,Tommy Pham,Robinson Chirinos,0,0,1,True,2022-09-11,Stolen,2B,2022
1B,2B,Stolen Base 2B,643376,Danny Jansen,Robinson Chirinos,1,7,6,True,2022-09-05,Stolen,2B,2022
1B,2B,Stolen Base 2B,642350,Jose Siri,Robinson Chirinos,4,2,4,False,2022-08-13,Stolen,2B,2022
2B,3B,Stolen Base 3B,642350,Jose Siri,Robinson Chirinos,4,2,4,False,2022-08-13,Stolen,3B,2022
1B,2B,Stolen Base 2B,643376,Danny Jansen,Robinson Chirinos,1,7,6,True,2022-08-10,Stolen,2B,2022
1B,2B,Stolen Base 2B,668804,Bryan Reynolds,Robinson Chirinos,1,3,6,True,2022-08-07,Stolen,2B,2022
1B,2B,Stolen Base 2B,643396,Isiah Kiner-Falefa,Robinson Chirinos,0,5,8,True,2022-07-24,Stolen,2B,2022
1B,,Caught Stealing 2B,608070,José Ramírez,Robinson Chirinos,4,2,4,True,2022-06-04,Caught,2B,2022
1B,2B,Stolen Base 2B,643396,Isiah Kiner-Falefa,Robinson Chirinos,6,5,9,True,2022-05-19,Stolen,2B,2022
2B,3B,Stolen Base 3B,656537,Derek Hill,Robinson Chirinos,2,0,2,False,2022-05-15,Stolen,3B,2022
1B,,Caught Stealing 2B,596146,Max Kepler,Robinson Chirinos,0,0,2,True,2022-05-05,Caught,2B,2022
1B,,Caught Stealing 2B,624503,Nick Gordon,Robinson Chirinos,1,2,7,True,2022-05-02,Caught,2B,2022
1B,2B,Stolen Base 2B,641796,Tim Locastro,Robinson Chirinos,5,2,8,False,2022-04-27,Stolen,2B,2022
1B,,Caught Stealing 2B,660271,Shohei Ohtani,Robinson Chirinos,6,3,4,False,2022-04-24,Caught,2B,2022
1B,2B,Stolen Base 2B,542194,Christian Bethancourt,Robinson Chirinos,0,1,2,False,2022-04-19,Stolen,2B,2022
1B,2B,Stolen Base 2B,643393,Tony Kemp,Robinson Chirinos,0,1,3,False,2022-04-19,Stolen,2B,2022
1B,2B,Caught Stealing 2B,642715,Willy Adames,Robinson Chirinos,0,0,1,True,2022-04-12,Caught,2B,2022
1B,,Caught Stealing 2B,457705,Andrew McCutchen,Robinson Chirinos,4,5,7,True,2022-04-12,Caught,2B,2022
1B,2B,Stolen Base 2B,669374,Keston Hiura,Robinson Chirinos,2,0,4,True,2022-04-11,Stolen,2B,2022
1B,2B,Stolen Base 2B,677551,Wander Franco,Robinson Chirinos,0,0,1,False,2022-04-10,Stolen,2B,2022
2B,,Caught Stealing 3B,623912,Harold Ramírez,Robinson Chirinos,4,0,4,False,2022-04-10,Caught,3B,2022
