Start_Base,End_Base,Event,runner_id,runner_name,credit,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year
1B,2B,Stolen Base 2B,543333,Eric Hosmer,Tyler Heineman,2,5,9,True,2020-09-26,Stolen,2B,2020
2B,3B,Stolen Base 3B,641658,Garrett Hampson,Tyler Heineman,3,2,4,True,2020-09-24,Stolen,3B,2020
1B,2B,Stolen Base 2B,606132,Raimel Tapia,Tyler Heineman,3,2,4,True,2020-09-24,Stolen,2B,2020
1B,2B,Stolen Base 2B,641658,Garrett Hampson,Tyler Heineman,3,2,6,True,2020-09-24,Stolen,2B,2020
1B,,Caught Stealing 2B,453568,Charlie Blackmon,Tyler Heineman,4,4,9,True,2020-09-24,Caught,2B,2020
1B,,Caught Stealing 2B,666176,Jo Adell,Tyler Heineman,1,4,4,False,2020-08-18,Caught,2B,2020
1B,,Caught Stealing 2B,664702,Myles Straw,Tyler Heineman,0,1,5,False,2020-08-12,Caught,2B,2020
2B,,Caught Stealing 3B,596117,Garrett Stubbs,Tyler Heineman,6,5,8,False,2020-08-11,Caught,3B,2020
1B,2B,Stolen Base 2B,656541,Sam Hilliard,Tyler Heineman,1,0,3,False,2020-08-05,Stolen,2B,2020
1B,,Caught Stealing 2B,606132,Raimel Tapia,Tyler Heineman,2,3,5,False,2020-08-05,Caught,2B,2020
2B,3B,Stolen Base 3B,462101,Elvis Andrus,Tyler Heineman,0,0,1,True,2020-08-01,Stolen,3B,2020
1B,2B,Stolen Base 2B,608336,Joey Gallo,Tyler Heineman,0,2,1,True,2020-08-01,Stolen,2B,2020
1B,2B,Stolen Base 2B,453943,Todd Frazier,Tyler Heineman,0,2,1,True,2020-08-01,Stolen,2B,2020
1B,2B,Stolen Base 2B,595777,Jurickson Profar,Tyler Heineman,0,3,4,True,2020-07-30,Stolen,2B,2020
1B,2B,Stolen Base 2B,665487,Fernando Tatis Jr.,Tyler Heineman,1,6,7,True,2020-07-30,Stolen,2B,2020
2B,3B,Stolen Base 3B,663757,Trent Grisham,Tyler Heineman,1,6,7,True,2020-07-30,Stolen,3B,2020
1B,2B,Stolen Base 2B,605141,Mookie Betts,Tyler Heineman,0,1,3,False,2020-07-26,Stolen,2B,2020
1B,,Caught Stealing 2B,592885,Christian Yelich,Tyler Heineman,0,0,1,True,2023-06-01,Caught,2B,2023
1B,2B,Stolen Base 2B,686894,Joey Wiemer,Tyler Heineman,3,0,5,True,2023-06-01,Stolen,2B,2023
1B,2B,Stolen Base 2B,680911,Owen Miller,Tyler Heineman,3,0,6,True,2023-06-01,Stolen,2B,2023
1B,2B,Stolen Base 2B,676801,Chas McCormick,Tyler Heineman,0,0,3,True,2023-04-12,Stolen,2B,2023
1B,2B,Stolen Base 2B,663853,Romy Gonzalez,Tyler Heineman,1,0,5,True,2023-04-09,Stolen,2B,2023
1B,2B,Stolen Base 2B,607043,Brandon Nimmo,Tyler Heineman,2,1,6,False,2022-09-16,Stolen,2B,2022
1B,2B,Stolen Base 2B,596019,Francisco Lindor,Tyler Heineman,2,1,6,False,2022-09-16,Stolen,2B,2022
1B,2B,Stolen Base 2B,605253,Terrance Gore,Tyler Heineman,4,3,8,False,2022-09-16,Stolen,2B,2022
1B,,Caught Stealing 2B,641512,Ben DeLuzio,Tyler Heineman,4,4,8,True,2022-09-10,Caught,2B,2022
1B,2B,Stolen Base 2B,665489,Vladimir Guerrero Jr.,Tyler Heineman,0,1,3,True,2022-09-04,Stolen,2B,2022
1B,2B,Stolen Base 2B,665489,Vladimir Guerrero Jr.,Tyler Heineman,0,2,4,True,2022-09-02,Stolen,2B,2022
1B,,Caught Stealing 2B,669289,Santiago Espinal,Tyler Heineman,0,2,6,True,2022-09-02,Caught,2B,2022
1B,2B,Stolen Base 2B,669003,Garrett Mitchell,Tyler Heineman,0,0,3,False,2022-08-29,Stolen,2B,2022
1B,2B,Stolen Base 2B,516416,Jean Segura,Tyler Heineman,6,0,3,False,2022-08-27,Stolen,2B,2022
1B,2B,Stolen Base 2B,543257,Robbie Grossman,Tyler Heineman,0,2,3,True,2022-08-24,Stolen,2B,2022
1B,,Caught Stealing 2B,657077,Alex Verdugo,Tyler Heineman,2,0,2,True,2022-08-18,Caught,2B,2022
1B,2B,Stolen Base 2B,592885,Christian Yelich,Tyler Heineman,0,0,1,True,2022-08-03,Stolen,2B,2022
2B,3B,Stolen Base 3B,457705,Andrew McCutchen,Tyler Heineman,2,4,5,True,2022-08-03,Stolen,3B,2022
1B,,Caught Stealing 2B,663837,Matt Vierling,Tyler Heineman,1,0,5,True,2022-07-29,Caught,2B,2022
1B,,Caught Stealing 2B,542364,Rafael Ortega,Tyler Heineman,0,0,1,False,2022-07-25,Caught,2B,2022
1B,,Caught Stealing 2B,676369,Nelson Velázquez,Tyler Heineman,2,2,7,False,2022-07-25,Caught,2B,2022
1B,2B,Stolen Base 2B,668709,JJ Bleday,Tyler Heineman,0,0,2,True,2022-07-24,Stolen,2B,2022
1B,2B,Stolen Base 2B,621563,Joey Wendle,Tyler Heineman,2,3,8,True,2022-07-24,Stolen,2B,2022
1B,,Caught Stealing 2B,663743,Nick Fortes,Tyler Heineman,0,0,6,True,2022-07-23,Caught,2B,2022
1B,2B,Stolen Base 2B,641857,Ryan McMahon,Tyler Heineman,0,0,2,False,2022-07-16,Stolen,2B,2022
1B,2B,Stolen Base 2B,641505,Jonathan Davis,Tyler Heineman,0,1,2,True,2022-07-02,Stolen,2B,2022
1B,2B,Stolen Base 2B,645302,Victor Robles,Tyler Heineman,1,0,2,False,2022-06-28,Stolen,2B,2022
1B,,Caught Stealing 2B,666624,Christopher Morel,Tyler Heineman,0,0,1,True,2022-06-23,Caught,2B,2022
1B,2B,Stolen Base 2B,663845,Alfonso Rivas III,Tyler Heineman,6,7,8,True,2022-06-23,Stolen,2B,2022
1B,2B,Stolen Base 2B,670768,Luis González,Tyler Heineman,1,1,2,True,2022-06-18,Stolen,2B,2022
1B,2B,Stolen Base 2B,670768,Luis González,Tyler Heineman,5,6,9,True,2022-06-18,Stolen,2B,2022
1B,,Caught Stealing 2B,642731,Thairo Estrada,Tyler Heineman,0,2,4,True,2022-06-17,Caught,2B,2022
1B,,Caught Stealing 2B,669242,Tommy Edman,Tyler Heineman,0,2,1,False,2022-06-15,Caught,2B,2022
1B,2B,Stolen Base 2B,641933,Tyler O'Neill,Tyler Heineman,2,5,6,False,2022-06-13,Stolen,2B,2022
1B,2B,Stolen Base 2B,671739,Michael Harris II,Tyler Heineman,2,4,5,False,2022-06-11,Stolen,2B,2022
1B,2B,Stolen Base 2B,660670,Ronald Acuña Jr.,Tyler Heineman,2,0,3,False,2022-06-09,Stolen,2B,2022
1B,2B,Stolen Base 2B,595879,Javier Báez,Tyler Heineman,1,2,4,True,2022-06-07,Stolen,2B,2022
1B,2B,Stolen Base 2B,666158,Gavin Lux,Tyler Heineman,2,4,4,False,2022-05-31,Stolen,2B,2022
1B,2B,Stolen Base 2B,669242,Tommy Edman,Tyler Heineman,0,1,1,True,2022-05-22,Stolen,2B,2022
1B,2B,Stolen Base 2B,542340,Jonathan Villar,Tyler Heineman,2,2,4,False,2022-05-18,Stolen,2B,2022
1B,2B,Stolen Base 2B,668227,Randy Arozarena,Tyler Heineman,5,2,8,False,2022-05-13,Stolen,2B,2022
1B,2B,Stolen Base 2B,592450,Aaron Judge,Tyler Heineman,0,0,1,True,2022-05-02,Stolen,2B,2022
1B,2B,Stolen Base 2B,518934,DJ LeMahieu,Tyler Heineman,0,0,3,True,2022-05-02,Stolen,2B,2022
1B,2B,Stolen Base 2B,641796,Tim Locastro,Tyler Heineman,2,2,9,True,2022-05-02,Stolen,2B,2022
1B,,Caught Stealing 2B,668804,Bryan Reynolds,Tyler Heineman,1,2,5,False,2022-04-01,Caught,2B,2022
1B,2B,Stolen Base 2B,607043,Brandon Nimmo,Tyler Heineman,0,0,1,False,2019-09-26,Stolen,2B,2019
1B,,Caught Stealing 2B,434658,Rajai Davis,Tyler Heineman,2,3,8,False,2019-09-26,Caught,2B,2019
1B,2B,Stolen Base 2B,474233,Hank Conger,Tyler Heineman,2,5,6,True,2015-04-02,Stolen,2B,2015
1B,2B,Stolen Base 2B,607287,Ruben Sosa,Tyler Heineman,2,7,8,True,2015-04-02,Stolen,2B,2015
