,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year,Arm_Strength,Exchange
0,1B,,Caught Stealing 2B,592685,Drew Robinson,501563,Simon Castro,596059,Rougned Odor,R,Bruce Maxwell,622194,5,0,3,False,2017-09-30,Caught,2B,2017,2018, 80.5, 0.73
1,1B,2B,Stolen Base 2B,596059,Rougned Odor,434672,Chris Smith,592261,Delino DeShields,R,Bruce Maxwell,622194,5,0,4,False,2017-09-30,Stolen,2B,2017,2018, 80.5, 0.73
2,1B,2B,Stolen Base 2B,592419,Jared Hoying,623430,Ryan Dull,592261,Delino DeShields,R,Bruce Maxwell,622194,5,2,6,False,2017-09-30,Stolen,2B,2017,2018, 80.5, 0.73
3,1B,,Caught Stealing 2B,595238,Jacob Hannemann,608665,Kendall Graveman,592325,Ben Gamel,R,Bruce Maxwell,622194,1,0,3,True,2017-09-27,Caught,2B,2017,2018, 80.5, 0.73
4,2B,3B,Stolen Base 3B,592444,JaCoby Jones,501563,Simon Castro,578428,Jose Iglesias,R,Bruce Maxwell,622194,1,7,5,False,2017-09-18,Stolen,3B,2017,2018, 80.5, 0.73
5,1B,2B,Stolen Base 2B,592206,Nick Castellanos,521230,Liam Hendriks,519068,Efren Navarro,R,Bruce Maxwell,622194,2,7,6,False,2017-09-18,Stolen,2B,2017,2018, 80.5, 0.73
6,1B,2B,Stolen Base 2B,543484,Mikie Mahtook,521230,Liam Hendriks,592444,JaCoby Jones,R,Bruce Maxwell,622194,2,7,6,False,2017-09-18,Stolen,2B,2017,2018, 80.5, 0.73
7,1B,2B,Stolen Base 2B,546318,Odúbel Herrera,433586,Santiago Casilla,571830,Tommy Joseph,R,Bruce Maxwell,622194,4,2,8,False,2017-09-16,Stolen,2B,2017,2018, 80.5, 0.73
8,1B,,Caught Stealing 2B,621043,Carlos Correa,596043,Daniel Mengden,493329,Yuli Gurriel,R,Bruce Maxwell,622194,0,0,2,True,2017-09-09,Caught,2B,2017,2018, 80.5, 0.73
9,1B,2B,Stolen Base 2B,545350,Jake Marisnick,521230,Liam Hendriks,457727,Cameron Maybin,R,Bruce Maxwell,622194,7,7,8,True,2017-09-08,Stolen,2B,2017,2018, 80.5, 0.73
10,1B,2B,Stolen Base 2B,545361,Mike Trout,608665,Kendall Graveman,457708,Justin Upton,R,Bruce Maxwell,622194,0,0,1,True,2017-09-05,Stolen,2B,2017,2018, 80.5, 0.73
