,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year,Arm_Strength,Exchange
0,1B,2B,Stolen Base 2B,596019,Francisco Lindor,656605,Mitch Keller,514917,César Hernández,R,Jacob Stallings,607732,1,0,3,False,2020-09-25,Stolen,2B,2020,2021, 81.2, 0.78
1,2B,3B,Stolen Base 3B,457727,Cameron Maybin,656354,Austin Davis,595879,Javier Báez,L,Jacob Stallings,607732,2,1,6,True,2020-09-23,Stolen,3B,2020,2021, 81.2, 0.78
2,1B,2B,Stolen Base 2B,518792,Jason Heyward,656354,Austin Davis,595879,Javier Báez,L,Jacob Stallings,607732,2,1,6,True,2020-09-23,Stolen,2B,2020,2021, 81.2, 0.78
3,1B,2B,Stolen Base 2B,571740,Billy Hamilton,608717,Chris Stratton,518792,Jason Heyward,R,Jacob Stallings,607732,2,1,8,True,2020-09-23,Stolen,2B,2020,2021, 81.2, 0.78
4,1B,,Caught Stealing 2B,664023,Ian Happ,643230,Steven Brault,519203,Anthony Rizzo,L,Jacob Stallings,607732,0,0,1,True,2020-09-22,Caught,2B,2020,2021, 81.2, 0.78
5,1B,,Caught Stealing 2B,673451,Shogo Akiyama,656605,Mitch Keller,592206,Nick Castellanos,R,Jacob Stallings,607732,0,1,1,False,2020-09-14,Caught,2B,2020,2021, 81.2, 0.78
6,1B,2B,Stolen Base 2B,609275,Adalberto Mondesi,592866,Trevor Williams,521692,Salvador Perez,R,Jacob Stallings,607732,4,3,5,False,2020-09-12,Stolen,2B,2020,2021, 81.2, 0.78
7,1B,2B,Stolen Base 2B,609275,Adalberto Mondesi,608717,Chris Stratton,521692,Salvador Perez,R,Jacob Stallings,607732,3,1,7,False,2020-09-11,Stolen,2B,2020,2021, 81.2, 0.78
8,2B,3B,Stolen Base 3B,609275,Adalberto Mondesi,608717,Chris Stratton,596748,Maikel Franco,R,Jacob Stallings,607732,4,1,7,False,2020-09-11,Stolen,3B,2020,2021, 81.2, 0.78
9,1B,2B,Stolen Base 2B,571718,Brian Goodwin,592866,Trevor Williams,673451,Shogo Akiyama,R,Jacob Stallings,607732,0,0,2,True,2020-09-05,Stolen,2B,2020,2021, 81.2, 0.78
10,1B,2B,Stolen Base 2B,571718,Brian Goodwin,592866,Trevor Williams,673451,Shogo Akiyama,R,Jacob Stallings,607732,0,4,3,True,2020-09-05,Stolen,2B,2020,2021, 81.2, 0.78
11,1B,2B,Stolen Base 2B,673451,Shogo Akiyama,592866,Trevor Williams,676480,Jose Barrero,R,Jacob Stallings,607732,2,5,6,True,2020-09-05,Stolen,2B,2020,2021, 81.2, 0.78
12,1B,2B,Stolen Base 2B,519203,Anthony Rizzo,596720,Dovydas Neverauskas,595879,Javier Báez,R,Jacob Stallings,607732,5,6,7,True,2020-09-01,Stolen,2B,2020,2021, 81.2, 0.78
13,1B,2B,Stolen Base 2B,457727,Cameron Maybin,608717,Chris Stratton,663538,Nico Hoerner,R,Jacob Stallings,607732,6,7,10,True,2020-09-01,Stolen,2B,2020,2021, 81.2, 0.78
14,1B,,Caught Stealing 2B,451594,Dexter Fowler,641771,Chad Kuhl,543939,Kolten Wong,R,Jacob Stallings,607732,1,1,5,False,2020-08-27,Caught,2B,2020,2021, 81.2, 0.78
15,1B,2B,Stolen Base 2B,608070,José Ramírez,641341,Tyler Bashlor,596019,Francisco Lindor,R,Jacob Stallings,607732,0,3,8,True,2020-08-19,Stolen,2B,2020,2021, 81.2, 0.78
16,2B,3B,Stolen Base 3B,608070,José Ramírez,641341,Tyler Bashlor,467793,Carlos Santana,R,Jacob Stallings,607732,0,3,8,True,2020-08-19,Stolen,3B,2020,2021, 81.2, 0.78
