,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year,Arm_Strength,Exchange
0,1B,2B,Stolen Base 2B,446334,Evan Longoria,592662,Robbie Ray,607680,Kevin Pillar,L,John Ryan Murphy,571974,0,0,1,True,2019-05-19,Stolen,2B,2019,2020, 81.2, 0.75
1,1B,,Caught Stealing 2B,621020,Dansby Swanson,425844,Zack Greinke,518692,Freddie Freeman,R,John Ryan Murphy,571974,0,0,1,True,2019-05-10,Caught,2B,2019,2020, 81.2, 0.75
2,1B,2B,Stolen Base 2B,518792,Jason Heyward,571863,Matt Koch,543089,Taylor Davis,R,John Ryan Murphy,571974,0,5,3,True,2019-04-27,Stolen,2B,2019,2020, 81.2, 0.75
3,1B,2B,Stolen Base 2B,614173,Franchy Cordero,425844,Zack Greinke,665487,Fernando Tatis Jr.,R,John Ryan Murphy,571974,2,0,1,False,2019-04-02,Stolen,2B,2019,2020, 81.2, 0.75
4,1B,2B,Stolen Base 2B,446334,Evan Longoria,592662,Robbie Ray,607680,Kevin Pillar,L,John Ryan Murphy,571974,0,0,1,True,2019-05-19,Stolen,2B,2019,2020, 81.2, 0.75
5,1B,,Caught Stealing 2B,621020,Dansby Swanson,425844,Zack Greinke,518692,Freddie Freeman,R,John Ryan Murphy,571974,0,0,1,True,2019-05-10,Caught,2B,2019,2020, 81.2, 0.75
6,1B,2B,Stolen Base 2B,518792,Jason Heyward,571863,Matt Koch,543089,Taylor Davis,R,John Ryan Murphy,571974,0,5,3,True,2019-04-27,Stolen,2B,2019,2020, 81.2, 0.75
7,1B,2B,Stolen Base 2B,614173,Franchy Cordero,425844,Zack Greinke,665487,Fernando Tatis Jr.,R,John Ryan Murphy,571974,2,0,1,False,2019-04-02,Stolen,2B,2019,2020, 81.2, 0.75
8,1B,2B,Stolen Base 2B,446334,Evan Longoria,592662,Robbie Ray,607680,Kevin Pillar,L,John Ryan Murphy,571974,0,0,1,True,2019-05-19,Stolen,2B,2019,2020, 81.2, 0.75
9,1B,,Caught Stealing 2B,621020,Dansby Swanson,425844,Zack Greinke,518692,Freddie Freeman,R,John Ryan Murphy,571974,0,0,1,True,2019-05-10,Caught,2B,2019,2020, 81.2, 0.75
10,1B,2B,Stolen Base 2B,518792,Jason Heyward,571863,Matt Koch,543089,Taylor Davis,R,John Ryan Murphy,571974,0,5,3,True,2019-04-27,Stolen,2B,2019,2020, 81.2, 0.75
11,1B,2B,Stolen Base 2B,614173,Franchy Cordero,425844,Zack Greinke,665487,Fernando Tatis Jr.,R,John Ryan Murphy,571974,2,0,1,False,2019-04-02,Stolen,2B,2019,2020, 81.2, 0.75
12,1B,2B,Stolen Base 2B,607208,Trea Turner,477569,Fernando Salas,475582,Ryan Zimmerman,R,John Ryan Murphy,571974,3,1,7,False,2018-04-29,Stolen,2B,2018,2019, --, 0.75
13,1B,2B,Stolen Base 2B,570799,Christian Villanueva,643327,Zack Godley,614173,Franchy Cordero,R,John Ryan Murphy,571974,2,2,3,True,2018-04-21,Stolen,2B,2018,2019, --, 0.75
14,1B,,Caught Stealing 2B,641319,Carlos Asuaje,643327,Zack Godley,622534,Manuel Margot,R,John Ryan Murphy,571974,3,2,4,True,2018-04-21,Caught,2B,2018,2019, --, 0.75
15,1B,,Caught Stealing 2B,593160,Whit Merrifield,425844,Zack Greinke,456715,Lorenzo Cain,R,John Ryan Murphy,571974,0,0,1,False,2017-09-29,Caught,2B,2017,2018, 84.2, 0.74
16,1B,,Caught Stealing 2B,593160,Whit Merrifield,425844,Zack Greinke,456715,Lorenzo Cain,R,John Ryan Murphy,571974,0,0,1,False,2017-09-29,Caught,2B,2017,2018, 84.2, 0.74
17,1B,,Caught Stealing 2B,449181,Paulo Orlando,502043,Kyle Gibson,460086,Alex Gordon,R,John Ryan Murphy,571974,2,1,6,False,2016-09-29,Caught,2B,2016,2017, --, --
18,2B,3B,Stolen Base 3B,502481,Jarrod Dyson,573124,Taylor Rogers,593160,Whit Merrifield,L,John Ryan Murphy,571974,2,2,8,False,2016-09-28,Stolen,3B,2016,2017, --, --
19,1B,2B,Stolen Base 2B,461865,Andrew Romine,542953,Buddy Boshers,457727,Cameron Maybin,L,John Ryan Murphy,571974,1,2,8,True,2016-09-22,Stolen,2B,2016,2017, --, --
20,1B,2B,Stolen Base 2B,461865,Andrew Romine,542953,Buddy Boshers,457727,Cameron Maybin,L,John Ryan Murphy,571974,1,2,8,True,2016-09-21,Stolen,2B,2016,2017, --, --
21,1B,,Caught Stealing 2B,502110,J.D. Martinez,502327,Héctor Santiago,592444,JaCoby Jones,L,John Ryan Murphy,571974,0,0,2,True,2016-09-20,Caught,2B,2016,2017, --, --
